african_american_english,standard_american_english
U ain't going to get no strikes off of me lil daddy u betta try some mo shit,"You're not going to get any strikes off of me, little one. You better try some more stuff."
I have to stop fuckin with oomf she got to b the biggest hoe n Fayette,"I have to stop messing with her, she has to be the biggest hoe in Fayette."
They coming out with ah iPhone 6? Damn I just got ah new iPhone cuh they b wanting ah nigga to go bankrupt,"They're coming out with an iPhone 6? Damn, I just got a new iPhone, they're always wanting a person to go bankrupt."
Love is like ah gun if u keep playing with it it's can cause death or injury,"Love is like a gun, if you keep playing with it, it can cause death or injury."
I don't trust these tat man on the street I got to go to the tattoo place,"I don't trust these tattoo artists on the street, I have to go to the tattoo parlor."
She keep on stressing me bt he keep on blessing me niggas wanna killed me bt I'm protected by the spirit #boosie,"She keeps stressing me, but he keeps blessing me. Guys want to kill me, but I'm protected by the spirit. #boosie"
"Yhu mad? Yea you no not yhu, yhu yea are yhu mad? Well stay mad","Are you mad? Yes, you are mad. Well, stay mad."
Got pussy on my mind...pussy on my breath...shid got enough pussy 2 make ay pussu pot pie!!!,I have pussy on my mind... pussy on my breath... I have enough pussy to make a pussy pot pie!!!
I Put This On Everything I'm Not Fucking With No More Niggas In King #OnGOD.,I'm not messing with any more guys in the king's court. I swear to God.
when you are used to being alone doesnt matter if they come or Gooo #life true tell no #lie,"When you're used to being alone, it doesn't matter if they come or go. #life, tell no #lie."
These niggas out here with lime green puffy jackets on looking like a missy elliot video..,"Those people are out here wearing lime green puffy jackets, looking like they're in a Missy Elliott music video."
@Tankbtw I feel bad idk none of them bad boys... Lol I'm a listen to them though...,"I feel bad, I don't know any of those people. Haha, I'm going to listen to them though."
Gotta Call My Gma Later Andd See If She Gone Give Me Some Money Too Get My Hair Done,I need to call my grandmother later and see if she's going to give me some money to get my hair done.
I Hate When I Try Tooo Piss Somebody Off Andd They Laugh Like Damn Bitch Youu Not Suppose Too Laugh,"I hate when I try to upset someone and they just laugh. Damn, they're not supposed to laugh."
Lmao My Just Came In My Room Andd Said Im Always Woke When Something Happen Shit I Cant Help It,"My [person] just came into my room and said I'm always awake when something happens. Well, I can't help it."
When they see somebody doing something they always say the negative instead of the positive,"When people see someone doing something, they always focus on the negative instead of the positive."
Shout out @redd _bitchh because she likes to write on the desk at Olive Harvey lol,Shout out to @redd_bitchh because she likes to write on the desk at Olive Harvey. Haha.
Im drunk as hell all da boyz over my crib gettn fccd up Me Ivan Sean Monteith Success Ace boogie B Lewis BWard Lil Dee Donnie AJ Ebony &amp; etc,"I'm drunk as hell. All the boys are over at my place getting messed up. Me, Ivan, Sean, Monteith, Success, Ace Boogie, B Lewis, B Ward, Lil Dee, Donnie, AJ, Ebony, and so on."
6 O'Clock Needa Hurry Up im Ready For My @Ravens To Put N Work On Da Cheating A** Patriots!!!,"It's 6 o'clock. I need to hurry up, I'm ready for my Ravens to put in work against the cheating Patriots!"
To be BOLD with things in some guys eyes can be misconstrude for deep emotions that was never there...why do I fall into this category ?!,To be bold with things in some guys' eyes can be misconstrued for deep emotions that were never there...why do I fall into this category?!
Does anyone else like the music that comes on when Olivia and Fitz Re together?#Scandal,Does anyone else enjoy the music that plays when Olivia and Fitz are together? #Scandal
@_ohhNeekBABY I'm so glad you all good for someone who was gonna call me back...Beeeech,I'm so glad you're all good for someone who was going to call me back...Bitch
I'm going to miss my friends that are going back to school..no worries though..im gonna be right with them in the Fall. #TesmISU,I'm going to miss my friends who are going back to school..no worries though..I'm going to be right with them in the Fall. #TesmISU
See I knew Phaedra and Kenya wasn't gonna last too long..it's too different of a match!! 50% up frontmy ass! #RHOA,"I knew Phaedra and Kenya weren't going to last too long..it's too different of a match!! 50% up front, my ass! #RHOA"
I said I was going shopping 20 minutes ago...all I've done is turn over in bed.,I said I was going shopping 20 minutes ago...all I've done is turn over in bed.
The nerve of him to be laying this way and kicking and nudging me like its my fault he's all crowded.,The nerve of him to be lying this way and kicking and nudging me as if it's my fault he's all crowded.
It makes no sense for me to LITERALLY be KMSL the way I was at my OWN joke...in an empty room.,It makes no sense for me to be laughing hysterically the way I was at my own joke...in an empty room.
I guess they figure let's all get along so we can take the team together !!! Lmaoo,I guess they figure let's all get along so we can take the team together!!! Laughing my ass off.
@HBIC_duhh6 right . You was lul flks but mfs change like the weather ! Lbs,@HBIC_duhh6 right. You were laughing at folks but people change like the weather! Laughing but serious.
"@Trese_Mac ok , jus cus u kno what it is dnt mean u kno who . . . Or do u ??","@Trese_Mac okay, just because you know what it is doesn't mean you know who... Or do you??"
We gone see why yo name Deefense . You gone be duckinn &amp; dodgingg all the shots !,You'll see why your name is Defense. You'll be ducking and dodging all the shots!
He juss kno he going to twitter jail . He going down for Twape ! Lbs,He just knows he's going to Twitter jail. He's going down for Twape! Lbs
"For mfs to say they never worry about the next btchh , always worryingg about the next bcth !!","For people to say they never worry about the next girl, they're always worrying about the next girl!!"
He a pisces &amp; yeaa he a freak . But ima scorpio so you kno imma super freak .,"He's a Pisces and yeah, he's a freak. But I'm a Scorpio so you know I'm a super freak."
"Going to see my baby in a few , I hope he ok . . :*","Going to see my baby in a little while, I hope he's okay. :*"
"Lol she tried to talk to me , I hit her asx with that I'm 16 she her face dropped haha","Haha, she tried to talk to me, and I hit her with the fact that I'm 16. Her face dropped, that was funny."
I drove all the way to the mall and left my debit card at the crib -___-,I drove all the way to the mall and left my debit card at home. -___-
@DickEmDownDanny he got a girl at home but on live tv tryna get back wit his ex smh,"@DickEmDownDanny, he has a girl at home but is trying to get back with his ex on live TV. Shaking my head."
We want a man that can get off they ass and cook every now and then too,We want a man who can get off his butt and cook every now and then too.
Soooo glad I didn't go out last night. I def wouldn't have made it out the bed,I'm so glad I didn't go out last night. I definitely wouldn't have made it out of bed.
@Datdudebk23 no way. I had to be up for work now. Aint no way i woulda made it,No way. I had to be up for work now. There's no way I would have made it.
Stop thinking peoples on yout jock tryna act like u got money but u at the bus stop,Stop thinking people are on your back trying to act like you have money but you're at the bus stop.
"Dont believe the lies, look me in my eyes, please dont be scared of me","Don't believe the lies, look me in my eyes, please don't be scared of me."
@ClassyBritt its changed again? Lol....its cool. I just needed to kno to put those days in for work,It's changed again? Lol...it's cool. I just needed to know to put those days in for work.
yesterday &gt;&gt;&gt; wow I'm still shocked didn't really think I wass gonna b koollinnn it .... Ayeee ! #HANK,"Yesterday >>> wow I'm still shocked, didn't really think I was gonna be chilling it.... Ayeee! #HANK"
"wifey ain't tryna pay me no mind , I see how she do . . .","My wife is not trying to pay me any attention, I see how she acts."
"I hate wen Im ohdeee highh n drunk at dha same time , niggahs don't no wat too do !","I hate when I'm extremely high and drunk at the same time, people don't know what to do!"
how you leave keysz &amp; expect me too wait for you too get home .... Fuuckkinn up !,How can you leave your keys and expect me to wait for you to get home... Messing things up!
I never went too skoo If I already had used all mahh new clothes.... hahaaa real shit !,I never went to school if I had already used all my new clothes.... haha real stuff!
"Keep it real lowkey, she ain't tryin' get known..... I love ah young bitch dhat b down to get dha doughh !","Keep it low-key, she's not trying to get known... I love a young woman who is down to get the money!"
walkinnnn ah mission Ina half just for ah blunt lml dha shit I do too get highh,"Walking to the mission in half just for a blunt, lol, the stuff I do to get high."
koollinnn wit dha buzzo hopefully I get dis call out ... I ain't tryna work today !,"Chilling with the homies, hopefully I get this call out... I'm not trying to work today!"
"LiFe HaS mAnY wAyS oF tEsTiNg A pErSoN's WiLL, eItHeR bY hAvInG nOtHiNg HaPpEn At ALL oR bY hAvInG eVeRyThInG hApPeN aT oNcE..","Life has many ways of testing a person's will, either by having nothing happen at all or by having everything happen at once."
Talking about ppl ain't where its at ...Cuz bitch far as I'm concern u ain't got shit either. .,"Talking about people isn't where it's at... Because as far as I'm concerned, you don't have anything either."
Please Don't Judge Me Nd I Won't Judge You Because It Can Get Ugly Before It Get Beautiful,Please don't judge me and I won't judge you because it can get ugly before it gets beautiful.
Can anybody tell me how @Sirstay_Fried gt booked Fck yall supposed to b his boys tell me how my cuzzin gt booked,"Can anyone tell me how @Sirstay_Fried got booked? Y'all are supposed to be his boys, so tell me how my cousin got booked."
Good to be back on the contract for dancing again... I wonder if Sasha still around.,It's good to be back on the contract for dancing again... I wonder if Sasha is still around.
"I,I,I I'm winning, you heard about my image, but I could give a flying mother**** who's offended. #breezy","I'm winning, you've heard about my image, but I could not care less who is offended. #breezy"
"Ok look... I love you, I want to be with you, I'm sorry I didn't text back but I didn't get my phone back until the end of the day....","Okay, look... I love you, I want to be with you, I'm sorry I didn't text back but I didn't get my phone back until the end of the day."
"I thought it was over but glad it's not, thank god. I really love her.","I thought it was over but I'm glad it's not, thank God. I really love her."
"Those females that take pictures of their belly and lip piercing, little tip, it's unattractive.","Those women who take pictures of their belly and lip piercing, a small suggestion, it is unattractive."
"Is It Okay Too Say I Still Miss You , Cause I Do , Alot","Is it okay to say that I still miss you, because I do, a lot."
With makeup on my face I looks evil like I wanna beat a bitch up,"With makeup on my face, I look evil, like I want to beat up a woman."
I decided its 2013 I don't wanna beef with anyone and I can careless about anyone's problems I'm over it #ImJusSayin im forgiving everyone,"I decided it's 2013, I don't want to have conflicts with anyone, and I don't care about anyone's problems, I'm over it. #JustSaying, I'm forgiving everyone."
"she, bripping hard  talkn ab 2 min took from lunch got me fk ed  up","She was talking a lot, saying that 2 minutes were taken from her lunch, which got me messed up."
@ThatPretty_Mfer  I Only Told U I Miss u cuss i Havent Seen U In A Long Time !!!!!!,I only told you I miss you because I haven't seen you in a long time.
@XavierLegit you already too strong for your own good so why must you lift weights? Lbs,"You are already too strong for your own good, so why must you lift weights? Pounds."
Wen u kall a nigga fone n he dont answer dat mean he neva gave a fuck about it,"When you call a person's phone and they don't answer, that means they never cared about it."
I aint tryna see no twerk videos on my TL kuz yall hoes kant twerk fo nun,I'm not trying to see any twerk videos on my timeline because you all can't twerk for anything.
@IAMFREEBARZ_RED lol ur in denial its ok jus have my kash ready kuz we both kno you dont,"Lol, you're in denial, it's okay, just have my cash ready because we both know you don't."
"I told my best friend this summer like man, I would marry quan... Real bitch shit",I told my best friend this summer that I would marry Quan. That's some real serious stuff.
"I'm at Applebee's and its a man in here smoking cigarettes and drinking, I'm like y'all can still smoke in public places here!? I love Texas",I'm at Applebee's and there's a man in here smoking cigarettes and drinking. I'm surprised they still allow that in public places here in Texas. I love Texas.
Valentines day is gonna be crazy... Im gonna chill with a few &amp; tell the rest that I gotta work,Valentine's Day is going to be crazy... I'm going to chill with a few people and tell the rest that I have to work.
I need to call my Quan...but I'll wait till it's later in Washington I'm gonna be drunk bye then. He gone be like bye slut bitch,"I need to call Quan...but I'll wait until it's later in the evening in Washington. I'll probably be drunk by then. He's going to be like 'bye, you slut bitch'."
I'm going to sleep like fuck these niggas! Don't call or text me when the game go off....,I'm going to sleep because I'm done with these people! Don't call or text me when the game is over.
Like I been counting money since I had hand eye coordination the shit is nothing to me I can do it in my sleep,"I've been counting money since I had hand-eye coordination. It's nothing to me, I can do it in my sleep."
I wonder how my life would be different if I would've went to commerce or pv,I wonder how my life would be different if I had gone to commerce or PV.
This aint for not FUCK nigga if u a real nigga then FUCK wit me,"This is not for nothing. If you are a real person, then engage with me."
Getting ready to get dressed jump in the shower dam I can't stand a dick suck I swear.brother dick sucking eachother crazy,"I'm getting ready to get dressed and jump in the shower. I can't stand a dick sucker, I swear. Brother, dick sucking each other is crazy."
"Ppl be having heads fooled! But I just sit back with my legs crossed usually w/ a glass in hand, maybe a Phelps &amp; shake my head! Bye! Lmao","People have their heads fooled! But I just sit back with my legs crossed, usually with a glass in hand, maybe a Phelps, and shake my head! Bye! Laughing my ass off."
They don't have their air on? Pastor is sweating too hard in his house. Geesh #Sisterhood,They don't have their air conditioning on? The pastor is sweating too much in his house. Goodness. #Sisterhood
"In kitchen doing what I do, with a glass of wine blasting King Bey!!!!! Mood: So good","In the kitchen doing what I do, with a glass of wine blasting Queen Beyoncé!!!!! Mood: So good"
"I hate wen people seen a movie det u havent, and tell u wats gon happen while d movie playin. I be gin offended lol","I get annoyed when people have seen a movie that you haven't, and tell you what's going to happen while the movie is playing."
Ashley tex me and said its nap time.. Its 2:11 now n she woke up at 1:55. Lazy ass,Ashley texted me and said it's nap time.. It's 2:11 now and she woke up at 1:55. Lazy person.
I'm talkn grants and Jackson's take me damn near a hour to count dem franklins #ATM,"I'm talking about grants and Jacksons, it takes me nearly an hour to count those hundred dollar bills #ATM"
Tomorrows Way To Far Away So We Can Get Back Yesterday . But Were Young Rn Were Young Rn So Get Up Rn Get Up Rn .,"Tomorrow is too far away for us to get back to yesterday. But we are young right now, we are young right now, so get up right now, get up right now."
"But How You Want Ah Faithful , &amp; Real Relationship When You Only Wanna Make It Nasty .",But how do you want a faithful and real relationship when you only want to make it nasty?
@RichieBaybaee Ayee Um Going Up To The Center Be At My Crib By 4:00 Boii,"Hey, I'm going up to the center. Be at my place by 4:00, boy."
"I been up AALLLLLLLLLLLLLL night now this nigga wanna text me back, after he done had a good nights rest.  Smh, lol....","I've been up all night, and now this guy wants to text me back after he's had a good night's rest. Shaking my head, laughing."
Iam a big fan of @THEREALPAIGION she is a good role model and she is always positive,I am a big fan of @THEREALPAIGION. She is a good role model and she is always positive.
@RoySmooth365 fam I tell him bout his phone bill on twitter every time! Htf ima lame fa dat?? #Goof mind yo Bizness boi!,"Family, I tell him about his phone bill on Twitter every time! How am I lame for that?? Mind your own business, boy!"
In pizza hut and this lady acting a damn fool and eatting her pizza in line,I'm at Pizza Hut and this lady is acting a fool and eating her pizza in line.
"Just remember yall guns aren't toys,&amp; bullets dont have eyes so See Safe Crips Goodnight..!!! :)","Just remember, y'all, guns aren't toys, and bullets don't have eyes, so stay safe, Crips. Goodnight!"
"I'm not even gone trip ,cuhz when u need something BEST TO BELIVE IM NOT GONE BE THERE NO MORE","I'm not even going to trip, because when you need something, you can best believe I won't be there anymore."
"Shyt I mean bestfriend she was talking shit,might as well gone head &amp; catch a fair one with Da bitch","I mean, my best friend was talking shit, so I might as well go ahead and get into a fair fight with that bitch."
"@keonteelove aw ok ok ,clear that shit up real quick ,I was about to say,but shyt brother stay out of trouble please,&amp; be safe !!","Okay, okay, let's clear that up quickly. I was about to say, but hey brother, stay out of trouble please, and be safe!"
Or its shyt I come up with 10 $ &amp; shyt if u tryn blow some thrax with me u better have yo 10$ as well lol,"Or it's like, I come up with $10 and if you're trying to blow some [drugs] with me, you better have your $10 as well, haha."
"If I play on somebody phone,I'm call straight threw, lol I'm childish like that ,have yo ass really think.  Like damm who is this lol","If I play on somebody's phone, I'm going to call straight through, haha. I'm childish like that, have your butt really think. Like, dang, who is this?"
"@YungKing44 awwwwww,I miss you 2;) we use to have funny in 4th hour &amp; nigga I am im goin to Tracie then I'll be back","Aww, I miss you too ;) We used to have fun in 4th hour and, man, I am going to Tracie then I'll be back."
"Da things I do for people,&amp; I get treated like shit in return shrugs life I guss","The things I do for people, and I get treated like crap in return. Shrugs, I guess that's life."
Theses bitches set cha up. Get mad &amp; let they closes kan wett cha up,These women set you up. Get mad and let their close ones deal with you.
"Shyt I guss talayah was rite ,when tf am I GONE LEARN I DID TODAY..!!! THO","I guess Talayah was right, when will I learn that I did today?!? Though."
It ain't like I can just call her back when I want hell she in Da pin,"It's not like I can just call her back whenever I want, she's in jail."
"@Pareezy_Hoe yes mam &amp; parese I need a big favor on god if u loved me u would do it,n anything u want back in return I got u just name it","Pareezy_Hoe, yes ma'am, and Parese, I need a big favor, on God, if you loved me you would do it, and anything you want in return, I've got you, just name it."
Now cum on now Chad uvknow we better then that that ain't how I rock I just don't give out people numbers,"Now come on, Chad, you know we're better than that. That's not how I roll, I just don't give out people's numbers."
"@_b3utyful Imu I Didnt See Youu In Hella Long ! , Were Youu Been ?",I haven't seen you in a really long time! Where have you been?
@CashFlowTay hey can you tell nitti to contact me please ..I really need address to get this over with your the closest I can get to him,"Hey, can you tell Nitti to contact me please? I really need the address to get this resolved, you're the closest I can get to him."
Don't exspect life to just hand you a good girl when your finally ready to settle down &amp; stop being childish,Don't expect life to just hand you a good partner when you're finally ready to settle down and stop being childish.
"stuck with a new piece of furniture and no help to delivery it? call Action Movers Delivery team to pickup, unwrap, and setup 1-877-694-7778","Stuck with a new piece of furniture and no help to deliver it? Call Action Movers Delivery team to pick up, unwrap, and set up - 1-877-694-7778."
Our minds are way beyond our control untamed and pure god knew what he was doing,"Our minds are way beyond our control, untamed and pure. God knew what he was doing."
Smh this is ridiculous he got it so loud in here it's tingling my nose we need a smell proof jar,"This is ridiculous, it's so loud in here that it's tingling my nose. We need a smell-proof jar."
Ahhhh lawd give me the stregnth to get threw this day with peace and positivity,"Lord, give me the strength to get through this day with peace and positivity."
@PorceLaiinDoLL @iamweeza sheta bitch u have a problem it's snowing outside and u shopping after shopping hours,"Hey @PorceLaiinDoLL @iamweeza, if you have a problem, it's snowing outside and you're shopping after hours."
We not prepared and i misplace one of da hoes smh tonight is not my night,We're not prepared and I misplaced one of the items. Tonight is not my night.
I ride this shit out wit u to piss these haters off when they secretly praying for our downfall,I'll ride this out with you to piss these haters off when they're secretly praying for our downfall.
This nigga is 52 years old he look like her 35 or something but still trying to talk to 18-25,"This man is 52 years old but he looks like he's 35 or something, but he's still trying to talk to women aged 18-25."
"Was at a store standing behind a chick in some PJ pants, smelling like Docks Fish (chicagoers know what I'm talking bout) DAMN!","I was at a store standing behind a woman wearing pajama pants, and she smelled like Docks Fish (people from Chicago know what I'm talking about). Wow!"
Why would you want to go home hunting in the swamp in the freezing cold at night?,Why would you want to go home hunting in the swamp in the freezing cold at night?
"You met my family, seen me mad, hair a mess and you're still sticking around. So glad you came around :)","You've met my family, seen me upset, and my hair a mess, and you're still sticking around. I'm so glad you came around."
But Dis My Bruda We Talmbout....... If its got some to do wit him den its got some to do wit me,"But this is my brother we're talking about... If it has something to do with him, then it has something to do with me."
My Father Always Doing Some Dumb Shit Like Why He Anit Leave My Money Here ! ? TF #aggravated,My father is always doing some dumb stuff. Why didn't he leave my money here? What the heck?
That damn everest commerical get on my damn nerves.....really PR person needs to be REPLACED SERIOUSLY,That Everest commercial really gets on my nerves. The PR person seriously needs to be replaced.
@_OctaviaSimone that was suppose to be a tweet lol I don't how the hell I dm that to you my bad lol,"That was supposed to be a tweet, not a direct message. My bad."
I'm not even tired a little bit but come to think of it I never really sleep all night !!!,"I'm not even a little tired, but now that I think about it, I never really sleep all night."
have to make a decision as to where i would either be petty of be stupid smh !!!!,I have to make a decision as to whether I would be petty or be stupid. Shaking my head!
"It's like that sometimes, but it's just the way it is lol make a sermon out of a DMC song !!!","It's like that sometimes, but that's just the way it is. Let me make a sermon out of a DMC song!"
My outlook is different so much has been chopped outta my life by choice and by chance but GOD ............,"My outlook is different. So much has been taken out of my life, by choice and by chance, but God..."
@envymeenvy lol she aint even ask to come homeee nd if she wouldve got in  trouble it would've been on my mama,"She didn't even ask to come home, and if she had, it would have been on my mother."
Make older sister hacking his phone. Since. He can't have it back. Smh y'all young kids grown up too fast.,"Older sister hacking his phone. Since then, he can't have it back. Shaking my head, you young kids are growing up too fast."
My uncle said i cantel smoke his weed nigga i dont smoke regs nomo anyway its 2013,"My uncle said I can't smoke his weed. I don't smoke regular weed anymore anyway, it's 2013."
I remember I had someone to talk to to make me feel better at times like these....but yu know how that goes,I remember I had someone to talk to to make me feel better at times like these....but you know how that goes.
That goes to show that if you're not a Mass Media major or communications CAU really isn't for you but that's my opinion. Kudos though,"That goes to show that if you're not a Mass Media major or communications, CAU really isn't for you, but that's my opinion. Kudos though."
How can someone cut u out of there life like u never meant anything to dem mistakes are made but if ur willing to change that should count,"How can someone cut you out of their life like you never meant anything to them? Mistakes are made, but if you're willing to change, that should count."
"- mad yesterday &amp;&amp; wouldnt talk for the rest of the niqhy ? , then all of a sudden texted me in the morninq ? ! .. thats love thouqh :)","I was mad yesterday and wouldn't talk for the rest of the night, then all of a sudden they texted me in the morning. That's love though."
I'm the WORSE texter ever !!!! I don't know how to have good conversations over text but I'll run a whole in hour head on the phone !,"I'm the worst texter ever! I don't know how to have good conversations over text, but I'll run a whole hour on the phone!"
i was just fucking with you when i said you was bullshitting but no you wanna take that shit all serious for what reason idk,"I was just joking with you when I said you were lying, but now you want to take that seriously for some reason I don't know."
Bad things dont happen in your life for no reason they happen because god is teaching you a life lesson,Bad things don't happen in your life for no reason. They happen because God is teaching you a life lesson.
@SnookieeeeXD but they wasn't even at the game to see what happened so why they suspend you?,"But they were not even at the game to see what happened, so why did they suspend you?"
@7UPNOSODA mess around in gave on of my coworkers ny number.. Smh he ask me everyday whts i never answer or reply. Lol,"I messed around and gave one of my coworkers my number. Shaking my head, he asks me every day what's up, but I never answer or reply. Laughing out loud."
I go to the doctor for every freaking thing!!! I Dont even play bout my health??,I go to the doctor for every little thing!!! I don't even play around when it comes to my health.
She just crying.... smh and an finna do nun about it she should have. Been went to sleep,"She's just crying... shaking my head, and she's about to do nothing about it. She should have gone to sleep already."
Puhh who tf told you ' you in first place ? Bitch you so ugly you Not even QUALIFIED for the race ! #Chelseaa:),"Who the fuck told you you were in first place? Bitch, you're so ugly, you're not even qualified for the race! #Chelseaa:)"
' he's currently mad at me ' ughhh get over it ' cryBABY !. Gn twitter #hisGF ' chelseaa,"He's currently mad at me. Ugh, get over it, crybaby! Good night, Twitter. #hisGF 'chelseaa'"
@LoveGamesOxygen who made amy dress for the finale the red one at the end please tell me,"Who made Amy's dress for the finale, the red one at the end? Please tell me."
"Da Seahawks should've stayed in Washington with this shit, no executoon at all smh... #pats","The Seahawks should have stayed in Washington with this shit, no execution at all, shaking my head... #pats"
@810Workoholic would you rather have me blame you OR me nd Keonte beat yo ass.??,Would you rather have me blame you or have me and Keonte beat your ass?
Im really sleepy. But today should be a good day. I really dont feel like fucking with 1st hour though,I'm really sleepy. But today should be a good day. I really don't feel like dealing with first hour though.
Ain't been on for a minute but b inn bacc n affect...get at numbeme for tats,I haven't been on for a minute but I'm back in effect... get at me for tattoos.
If I have a girl her initials will be L.C.M.F. If I have a boy his initials will be F.D.B.F Jr. I want them to be L.D.I.F.,"If I have a girl, her initials will be L.C.M.F. If I have a boy, his initials will be F.D.B.F Jr. I want them to be L.D.I.F."
I'm on an emotional roller coaster lovin you ain't nothing healthy lovin you was never good for me #vivangreen,I'm on an emotional roller coaster. Loving you isn't anything healthy. Loving you was never good for me. #vivangreen
Why bk called me to come in early idk I'm still sleepy as hell would rather stay in bed all day,"I don't know why my employer called me in early, I'm still very sleepy and would rather stay in bed all day."
Jalapenos and doritoes wild cherry juices hot chocolate did me some good. Now i'm Finna heat up my tomato soup,"Jalapenos, Doritos, wild cherry juices, and hot chocolate helped me feel better. Now I'm going to heat up my tomato soup."
I hate sneaky lien ass hoes. if you fucking with another girl nigga bt you playing the side lines liein about it kill yoself now no respect,"I hate sneaky, lying women. If you're involved with another girl while your partner is unaware, you should reconsider your actions. I have no respect for that."
Layin wit derrick. Ugg I could slap his ass right na. Bt like I said before hoes like playin.the sidelines and ima let em. Dnt even claim em,"I'm spending time with Derrick. Ugh, I could slap him right now. But as I've said before, some women like playing the sidelines and I'm going to let them. I don't even claim him."
I wanna have some jordans same as my BOYFRIEND :) &amp; Take a dope picture......WHERES MY MFINN BOYFRIEND AT ? #Single Ooooh the FUCKERY &gt;.&lt;,"I want to have some Jordans like my boyfriend has, and take a nice picture. But where is my boyfriend? I'm single. Oh, the drama!"
Getting a good morning text can make me smile knowing that someone's thinking about me :),"Getting a good morning text can make me smile, knowing that someone is thinking about me."
@HisEverything__ ;  in chicago ? Thats why i wanna move out of this city -____,I'm in Chicago? That's why I want to move out of this city.
If my brother bro kick me in my but again my shit gone come through his mouth FRFR !,"If my brother kicks me in my butt again, my retaliation will come through his mouth, for real."
"Lol john makinn fun of my coughs sayinn i sound like a man -____- , shut up","Lol, John is making fun of my coughs, saying I sound like a man. Shut up."
"I really wake up thinking about him, about how much i wanna be with him. He always tease me :(","I really wake up thinking about him, about how much I want to be with him. He always teases me."
"I feel like he dont even want to talk to me,  I feel the only thing he staying for is because he love me :/",I feel like he does not even want to talk to me. I feel the only thing he is staying for is because he loves me.
"@TheyyLoveeAvii_ , I miss you too hunny bun :) , did you get your phone back ?","@TheyyLoveeAvii_, I miss you too, honey bun :) . Did you get your phone back?"
I fucking HATE my og. WTF are you ALWAYS bitching about. I promise you i hate her like it aint cause im mad right now I HATE HER !,"I really dislike my ex. What are you always complaining about? I promise you I hate her, it is not because I am mad right now. I HATE HER!"
"I minus well for get about us being in a relationship, i guess we gone just stay the same :/","I might as well forget about us being in a relationship, I guess we will just stay the same."
#MaleLies THEY NOT GOING TO SLEEP 5 mins later they laying on you sleep #JEROME,#MaleLies THEY ARE NOT GOING TO SLEEP 5 minutes later they are laying on you asleep #JEROME
Damn boo you lookin so good wit ur fresh edge up....i just wanna fck ur face off lol ;) oops! Haha,"Wow, you look so good with your fresh haircut. I just want to be intimate with you, haha. Oops!"
Lord i pray tht u will keep me safe on these roads while I'm omw to work...amen,"Lord, I pray that you will keep me safe on the roads while I'm on my way to work. Amen."
Need my hair washed...jerome said he would do it but he said dat some days ago,"I need my hair washed. Jerome said he would do it, but he said that some days ago."
Back in the days when I was young um not a kid anymore but some days I sit and wish I was a kid again,"Back in the days when I was young, I'm not a kid anymore, but some days I sit and wish I was a kid again."
@SHAyR0CkStAr cause u said u was gone get it u had got my hopes up lol,"Because you said you were going to get it, you had got my hopes up, haha."
I feel bad but I get tired of ppl complaining bout the same shit even when I give them advise and they don't wanna listen,"I feel bad, but I get tired of people complaining about the same thing even when I give them advice and they don't want to listen."
I forgive ppl easily but if you do some fucked up shit ill forgive ya but I want have nothing to do with ya,"I forgive people easily, but if you do some messed up stuff, I'll forgive you, but I don't want to have anything to do with you."
I can't wait til March 25 of this year um running to get my tubes tied,"I can't wait until March 25th of this year, I'm running to get my tubes tied."
You got to go to the office to sign a piece of paper for some toilet tissue ?,You have to go to the office to sign a piece of paper for some toilet paper?
Dis is an a nd b conversation so c yo way out before d jump ova e nd f you up lyka g nd call u a h.o.e but ijk,"This is an A and B conversation, so C your way out before D jump over E and F you up like a G and call you an H.O.E but I, J, K."
I saw someone say no schole but i think they need to tke they spelln test,"I saw someone say 'no school', but I think they need to take their spelling test."
My best friend kno i dnt mess wit fb only twitter nd she gon delete her twitter -_-,"My best friend knows I don't mess with Facebook, only Twitter, and she's going to delete her Twitter account."
im dat nikka wit nothn but still u envy cuz of my potential/fact remains im gettn $ but it killum im so confidential/~mrKHADdaGIFT,"I'm that person with nothing, but still you envy me because of my potential. The fact remains I'm getting money, but it kills them because I'm so confident."
Lhh Im Hella Drove I Was Bout To Get Hella Mad Cause I Thought Liyahh Didnt Text Me Back :)),"Wow, I was really driven. I was about to get very upset because I thought Liyahh didn't text me back, but she did."
These Lil Hoes be to thirsty ova Niggas that be fuckin around on they ass &gt;&gt;&gt;&gt;&gt;&gt; Swerve,These little girls are too thirsty over guys that are messing around on them. Swerve.
I'm high koolin watching this #ufc mighty mouse going in on otha foolyon . Knock em on his ass like 3 times in tha 1st round,I'm relaxing and watching this UFC event. Mighty Mouse is dominating the other fighter. He knocked him down like 3 times in the 1st round.
@TeamLilFreak. Right cause u know I can slapp u wit my dick 4rm 79th on soft,"Right, because you know I can slap you with my penis from 79th on soft."
I was scared 2 eat #oomf last night even doe tha kat smellt like water &amp; better days,I was scared to eat my friend's food last night even though the cat smelled like water and better days.
That awkward moment when somebody is doing dishes and you slowly put another dish in the sink.,That awkward moment when somebody is doing dishes and you slowly put another dish in the sink.
If yew say yew crip an yew come by me off the muscle ima check ta see if yew on yo knowledge,"If you say you're a Crip and you come by me off the muscle, I'm going to check to see if you're on your knowledge."
Getting Into School nd Gettin A J O Fuckin B Is Da Only Thing I'm Worried Bout !,The only things I'm worried about are getting into school and getting a job. Fucking bitches is not a priority.
