standard_american_english,aae_from_sae
"Why are they actually showing slow motion highlights and taking injury timeouts for this, laughing my ass off?","Why dey actin' all slow motion highlights an' takin' injury timeouts fo' dis, I'm laughin' my ass off?"
"I am officially a believer in Joe Flacco, he is not a fluke, he is legitimate. Let's hold off on calling him elite, but he is real nonetheless.","I'm officially a believa' in Joe Flacco, he ain't no fluke, he legit. Let's hold off on callin' him elite, but he real nonetheless."
"I understand that is not a given these days, but you have to be more than that.","I unnerstand dat ain't a given dese days, but you gotta be mo' dan dat."
"Dude, I have not even been to California yet and North Korea is trying to end that place, they need to chill.","Yo, I ain't even been to Cali yet an' North Korea tryna end dat place, dey need ta chill."
Te'o is gay just for talking to a man for 3 years on the phone and not knowing it's a man.,Te'o be gay just fo' talkin' to a man fo' 3 years on da phone an' not knowin' it's a man.
"He has a higher ceiling than Granger, but we have to hold off on calling him better. PG has never been top 5 in the NBA in scoring.","He got a higher ceiling than Granger, but we gotta hold off on callin' him better. PG ain't never been top 5 in the NBA in scorin'."
"No, I'm saying that when this year is over, most definitely, but at the same time there is no top 5 team in the East that Boston could not beat in the playoffs.","Nah, Ah'm sayin' dat when dis yeah is ovah, fo' sho', but at da same time dere ain't no top 5 team in da East dat Boston couldn't beat in da playoffs."
"Slight? Rondo was practically Magic Johnson-level in numbers, and they were still losing. I don't know about that.","Nah, Rondo was puttin' up numbers like Magic Johnson, but dey still losin'. I ain't buyin' dat."
Why do guys always try to cook lasagna for a girl? Is that supposed to be impressive? I will cook her the Stouffer's joint and get the same credit.,Why dese dudes always tryna cook lasagna fo' a girl? Ya'll think dat's 'sposed ta be impressin'? Imma just get her dat Stouffer's joint an' get da same credit.
"No, not mashed potatoes with steak, that's some inappropriate behavior. Baked or steamed potatoes, and I don't use A1 sauce.","Nah, ain't no mashed potatoes wit' steak, dat's some inappropriate behavior. Baked or steamed potatoes, an' I ain't usin' no A1 sauce."
I need to see Larry Fitzgerald with a decent quarterback again. But right now I would take A.J. Green and Calvin Johnson before him.,I need ta see Larry Fitzgerald wit' a decent quarterback again. But right now I'd take A.J. Green an' Calvin Johnson 'fore him.
"Wale could have just said his partners are from Virginia Beach, everyone knows they have the best in 75.","Wale coulda just said his partners from Virginia Beach, everybody know dey got da best in 75."
"No, not anything like that though. I'm not some hot-headed blue-collar person, you already know that.","Nah, ain't nothin' like dat tho'. I ain't no hot-headed blue-collar person, you already know dat."
"You say you're ripping it, it's nothing but ashes, girl - you can't even buy the true jeans that fit my body, girl!","You say you rippin' it, it's nothin' but ashes, girl - you can't even buy da true jeans dat fit my body, girl!"
I know way too many people here right now who I didn't know last year - who the heck are you all!,I know way too many folks 'round here now dat I ain't know last year - who da heck y'all be?!
These women are so stupid these days - they'll lay on the ground and let a person walk all over them! Get up and have some dignity for once!,Dem women be actin' real foolish these days - dey be layin' on da ground an' lettin' folks walk all over 'em! Git up an' show some self-respect fo' once!
There are no blessings that can't turn into disasters! And there are no disasters that can't turn into a blessing!,Ain't no blessin's dat can't turn inta disasters! An' ain't no disasters dat can't turn inta a blessin'!
"That kid is good. I saw him versus the New York Rangers. As a Rangers fan, I'm not too excited about seeing him for the next 10 years.","Dat kid be good. I saw 'im play da New York Rangers. As a Rangers fan, I ain't too hyped 'bout seein' 'im fo' da next 10 years."
Who can love you like me? Who can sexually love you like me? Who can lay your body down? (Nobody),Who can love you like me? Who can sexually love you like me? Who can lay yo' body down? (Ain't nobody)
"If you think you're tough, come see me and I'll show you how this 5'1"" woman gets down. You better not, or you'll see what I can do.","If ya think ya tough, come see me an' I'll show ya how dis 5'1"" woman gets down. Ya betta not, or ya gon' see what I can do."
"And if you all want to put your business all over the internet and keep that stuff in your house, people wouldn't have anything to say.","An' if y'all wanna put ya business all ova da internet an' keep dat stuff in ya house, people wouldn' have nothin' ta say."
"Yes, I called your phone because I'm that woman, not you, and who can get it one by one.","Yeah, I called ya phone 'cause I'm dat woman, not you, an' who can get it one by one."
"Oh, I'm good, that's why I only sleep with some of my male cousins because a woman like him is not worth it, but okay Coday, just for you I will.","Oh, I'm good, dat's why I only sleep wit' some a my male cousins 'cause a woman like him ain't worth it, but okay Coday, just fo' you I will."
"I hate having midnight cravings, but I'm trying to watch what I eat and when I eat.","I hate havin' midnight cravins', but I'm tryna watch what I eat an' when I eat."
I am eating hot Cheetos and a cupcake while watching my hand go from the bag to my mouth.,I be eatin' hot Cheetos an' a cupcake while watchin' my hand go from da bag to my mouth.
I need to play somebody who is going to give me a real challenge because that was too easy.,I need ta play somebody who gon' give me a real challenge 'cause dat was too easy.
Stimulating my mind is what really turns me on. Teach me something I didn't know or show me something I've never seen before.,Stimulatin' my mind be what really turns me on. Teach me somethin' I ain't know or show me somethin' I ain't never seen before.
"Everybody needs love, the young and old. My grandmother is in her 50s and she is still dating. She has a 30-year-old boyfriend.","Everybody need love, da young an' old. My grandma in her 50s an' she still be datin'. She got a 30-year-old boyfriend."
"I will try to make my way down there before you leave. If nothing comes up, I'll be there!","I'ma try ta make my way down dere 'fore you leave. If nuthin' come up, I'ma be dere!"
"When I'm high, I eat like two meals plus snacks back to back. It's crazy.","When I'm high, I be eatin' like two meals plus snacks back to back. It's crazy."
"We kept making moves somehow, and I knew I should have been in class.","We kept makin' moves somehow, and I shoulda been in class."
"If you let someone borrow something, you shouldn't have to ask for it back.","If you let someone borrow somethin', you ain't gotta ask for it back."
"My dad and I are seriously texting about this game, play-by-play! We have a wager, his $30 to my $10 lol.","Me and my dad textin' 'bout this game, play-by-play! We got a bet, his $30 to my $10 lol."
"LMFAO, bitch, my mama is bad as fuck and she was on the phone, but yes, your mama is a crackhead.","LMFAO, bitch, my mama bad as fuck and she was on the phone, but yeah, yo' mama a crackhead."
"Aww, good cause my sister lives over there. Lol and I'm moving back with her. You live on West 8 Mile.","Aww, good cause my sista lives ova dere. Lol an' I'm movin' back wit' her. You live on West 8 Mile."
I'm about to sit down and talk to my dad about some stuff and try to clear my head.,I'm 'bout to sit down an' talk to my dad 'bout some stuff an' try to clear my head.
"When I was 8, I was forced to live with my aunt on the Westside. I went to Vernor Elementary and I got along with everybody (3rd grade).","When I was 8, I was forced to live wit' my aunt on da Westside. I went to Vernor Elementary an' I got along wit' everybody (3rd grade)."
I had two fights with the girl who I thought was my role dog but was just a snake.,I had two fights wit' da girl who I thought was my role dog but was just a snake.
"The guy I was talking to was cheating, talking to a girl who was playing on my phone. Basically, I guess she was mad.","Da guy I was talkin' to was cheatin', talkin' to a girl who was playin' on my phone. Basically, I guess she was mad."
"I can't sleep, my stomach is turning. 2013 seems just like 2012 to me so far.","Ain't no sleep fo' me, my stomach all in knots. 2013 ain't no different from 2012 so far."
"Just because he didn't take me up to the school, I better get my nails done today.","Jus' 'cause he ain't take me to the school, I'mma get my nails did today."
"I know Travey is mad at me, but I can't move. I'm lightheaded, keep throwing up, and I can't eat or drink anything. #Period","I know Travey mad at me, but I can't move. I'm feelin' lightheaded, keep throwin' up, an' I can't eat or drink nothin'. #Period"
"It's funny to me how these little female groups really think they can beat these guys in these groups. Like, what? Lmao. Trying to get famous.","It's funny how these lil' female groups really think they can beat these dudes in these groups. Like, what? Lmao. Tryna get famous."
Everybody tune in to the news tonight at 11:00 pm sharp. Channel 7 and watch as my best friend and her family share their tragic story of a loved one.,Y'all tune in to the news tonight at 11 sharp. Channel 7 an' watch as my best friend an' her family share they tragic story 'bout a loved one.
I don't even want to change schools anymore. They just really upset me.,"I ain't even wanna change schools no more. Dey just really got me upset, ya feel me?"
"I had to hang up on him. I'm done with him. #Frff He's so petty, I swear.","I had ta hang up on 'im. I'm done wit' 'im. #Frff He so petty, I swear."
"@Gawgeous__ yeah, you know. That's probably why you haven't given me anything in so long ^=____^ #dead","@Gawgeous__ yeah, you know. Dat's prob'ly why you ain't gave me nothin' in so long ^=____^ #dead"
@juicyandprada I should have been about to open the door and let you out at your stop.,@juicyandprada I shoulda been able ta open da door an' let you out at yo' stop.
"I'm trying to go back to school, I have to get my son situated back in Murphy Shaw first.","I'm tryna go back ta school, I gotta get my son situated back in Murphy Shaw first."
"Haha, I'm on lockdown can't go out for 3 more months then I'll match a whole matchbox with you.","Haha, I'm on lockdown can't go out fo' 3 mo' months den I'll match a whole matchbox wit' you."
"Yes, they do. We can get along for the kids' sake. We'll be best friends one day, these kids are going to need each other.","Yeah, dey do. We can get along fo' da kids' sake. We'll be best friends one day, dese kids is gon' need each other."
I've been dealing with kids all day and have to get up early in the morning. I need to go.,I been dealin' wit' kids all day an' gotta get up early in da mornin'. I gotta go.
Kicking butt on Ruzzle and then got my butt kicked. I'm too damn tired to be playing.,Kickin' butt on Ruzzle an' den got my butt kicked. I's too damn tired ta be playin'.
"If I wake her up, she's going to be whining and we still won't find them.","If I wake her up, she's gon' be whinin' an' we still won't find 'em."
"What are you saying now? Give it to me, baby. 1 and 2 and 3 and 4...","Aight, let's get it poppin'! 1, 2, 3, 4..."
"I can show you how nice of a guy I can be. I open doors for you and pull out your chair. See, that's nice.","I can show you how much of a real one I can be. I hold the door for you and pull out your chair. See, that's how I do."
"@SONIXWHITE, I'm about to finish school. I have 10 days left. Are you going to NYC next weekend?","@SONIXWHITE, I'm 'bout to finish school. Got 10 days left. You goin' to NYC next weekend?"
"@AlwayzDave, that's true. I like being busy with work and school. So much good comes from it.","@AlwayzDave, that's true. I stay busy with work and school. Lot of good come from that."
"You have so much money because you live at home with your mom, sleeping on a twin-size bed. And you call yourself a boss.","You got all that money 'cause you livin' at home with yo' mama, sleepin' on a twin bed. And you callin' yourself a boss?"
"I cannot deal with a Jamaican person, they always want to wear loafers and lace-up dress shoes! Shaking my head.","I can't deal wit' a Jamaican person, dey always wanna wear loafers an' lace-up dress shoes! Shake mah head."
"It doesn't matter at @106andpark @Beyonce, we know her skills, it was cold, I got you B!","It don't matter at @106andpark @Beyonce, we know her skills, it was cold, I got you B!"
"I have a bottle, I have a model, I have my money, and I'm going to show off!","I got a bottle, I got a model, I got mah money, an' I'ma show off!"
"How I'm feeling is greater than, but since I don't have anybody to fix that problem, it's less than.","How I'm feelin' is greater dan, but since I ain't got nobody ta fix dat problem, it's less dan."
"F is for friends who do stuff together, U is for you and me, N is for anywhere and anytime at all, down here in the deep blue sea!","F is fo' friends who do stuff togethah, U is fo' you an' me, N is fo' anywhere an' anytime at all, down here in da deep blue sea!"
Dude got mad at me because I didn't help him at school when he was about to fight.,Da brotha got mad at me 'cause I ain't help 'im at school when he 'bout ta fight.
"This is the kind of weather for cuddling, kissing, cooking, making love, watching movies, and laying in that person's arms.","Dis da kinda weather fa cuddlin', kissin', cookin', makin' love, watchin' movies, an' layin' in dat person's arms."
"Haha, you know when it snows in Jackson, they celebrate it like it's a holiday! Lol","Haha, ya know when it snows in Jackson, dey celebrate it like it's a holiday! Lol"
"Some people will do anything for likes, posting revealing photos of themselves just for attention. It's sad.","Some folks'll do anythin' fa likes, postin' revealin' photos a demselves just fa 'tention. It's sad."
"I'm good, I had a snack, and I'm going to Buffalo Wild Wings when I drop him off at practice.","I'm good, I had a snack, an' I'm gon' ta Buffalo Wild Wings when I drop 'im off at practice."
"Lord, please let whatever issue this is with my car not cost much and not take long to fix.","Lawd, I hope dis issue wit' mah car ain't gon' cost too much an' take too long ta fix."
"@Blue_Balty, the one that I want is black with a 17-inch screen and is $400.","@Blue_Balty, da one I want be black wit' a 17-inch screen an' cost $400."
"I'm so glad that Mehlville gets out 2 hours early today, so hurry up 12:05.","I'm so glad Mehlville lettin' out 2 hours early today, so hurry up 12:05."
"I think I should stay home today, but I have a project due for Parenting 2. Well, that's just great. #Sick","I think I oughta stay home today, but I got a project due fo' Parentin' 2. Well, dat's just great. #Sick"
I will have friends if people just text me fast. I hate slow text. *SingleLifee*,I'mma have friends if folks jus' text me quick. I hate slow text. *SingleLifee*
"I don't know, what are you up to? Everything is closed and yes, I'm going to tweet about it.","I dunno, what you be up to? Everythin' closed an' yeah, I'ma tweet 'bout it."
"Some of these women need to be disciplined, but know your limits when you're leaning.","Some a' dem women need ta be disciplined, but know yo' limits when you leanin'."
"When you break up with someone you love and see that they've moved on, you want them back.","When you break up wit' someone you love an' see dey done moved on, you wan' 'em back."
"Bitch, I'm going to beat your ass, you hit me with that 40 [caliber gun], lol I just got hip [to it].","Bitch, I'ma beat yo' ass, you hit me wit' dat 40 [caliber gun], lol I just got hip [to it]."
"I know that's my bro and we're going to ride for him, but he did some dumb shit.","I know dat's my bro an' we gon' ride fo' 'im, but he did some dumb shit."
This store is so ghetto. How the heck did they knock a whole bathroom door off the hinges? Shaking my head.,Dis store be so ghetto. How dey done knock a whole bathroom door off da hinges? Shaking mah head.
"I do not care about anything anymore. If it is not about this money, do not bother me with it.","I ain't care 'bout nothin' no mo'. If it ain't 'bout dis money, don't bother me wit' it."
I think I lost a friend because we could not agree on some situations. That is crazy.,I think I lost a friend 'cause we couldn't agree on some situations. Dat's crazy.
"It has been a long day and tomorrow will be even longer. We are putting down on our townhome, which is the first step towards our new life.","It been a long day an' tomorrow gon' be even longer. We puttin' down on our townhome, which da first step towards our new life."
"She has her own home, her own car, she takes care of her kids, has a good job, she is about her business in the street but in the bedroom she is a pornstar.","She got her own home, her own car, she take care of her kids, got a good job, she 'bout her business in da street but in da bedroom she a pornstar."
"Kv just made me think about the Odyssey, that person used to be very lively and energetic.","Kv done made me think 'bout dat Odyssey, dat person used ta be real lively an' energetic."
I can't wait until I get on my own. A person better not ask me for anything.,I can't wait 'til I get on my own. A person betta not ask me fa nothin'.
"Leaving Wingood, finally heading to the game, I guess. See what's going on up here.","Leavin' Wingood, finally headin' ta da game, I guess. See what's goin' on up in here."
"This is too funny. I feel bad for Te'o, but it's hard to believe he allowed it to happen. Where is Scooby Doo when you need him? Haha.","Dis too funny. I feel bad fa Te'o, but it's hard ta believe he let dat happen. Where Scooby Doo when ya need him? Haha."
My mother and her friends stay talking about people. That's where I get it from.,My mama an' her friends stay talkin' 'bout folks. Dat's where I git it from.
To be lied to all these years! I would ask why? They still lie! #ItsCrazyHow,"Fo' real, dey been lyin' to me all dis time! I'd ask why? Dey still be lyin'! #ItsCrazyHow"
"Even though I don't like you right now, happy new year. I love you, best friend @quantrent.","Even though I ain't feelin' you right now, happy new year. I love you, best friend @quantrent."
"Just talk to Adrion, she told me she loves me. Ziya said I love you little booty.","Just talk to Adrion, she told me she loves me. Ziya said I love you lil' booty."
"Y'all going at it for no reason when neither one of you has anything to do with it. Let it go, it is what it is @D2_Athlete.","Y'all goin' at it fo' no reason when neither one a' y'all got nothin' to do wit' it. Let it go, it is what it is @D2_Athlete."
What if I be with you until I'm 21 lbs... Thinking!,What if I be wit' you 'til I'm 21 lbs... Thinkin'!
"Some people act like their mother looks like their sister, even though their mother looks old.","Some folks be actin' like dey mama look like dey sista, even though dey mama look old."
"I have a thing for guys who would come to my house to chill, watch movies, and snack, without trying to have sex all the time.","I like guys who come chill at my place, watch movies, and snack, without always tryna have sex."
"I'm tired of these fronting, wannabe hoe, stupid, sorry, sour guys who have nothing for me.","I'm tired of these frontin', wannabe hoes, stupid, sorry, sour guys who ain't got nothin' for me."
"I don't understand how they mistake my godson as a girl, even though he has braids and is wearing boy clothes.","I don't get how they mistake my godson for a girl, even though he got braids and wearin' boy clothes."
I'm not stressing about anything because I was true when I gave you my love.,I ain't stressin' 'bout nothin' 'cause I was real when I gave you my love.
"I laughed and told that woman 'no, I'm a hard-working person. I'm focused on my goals.'","I laughed an' told dat woman 'nah, I'm a hard-workin' person. I'm focused on my goals.'"
The way a Black woman can carry herself with confidence and poise is truly amazing! #blackgirlsrock #fistpump,Da way a Black woman can carry herself wit' confidence an' poise is truly amazin'! #blackgirlsrock #fistpump
"So I'm on the @RcLifestyleMktg Instagram account, but he has so many names and accounts that I can't keep up! Really!","So I'm on da @RcLifestyleMktg Instagram account, but he got so many names an' accounts dat I can't keep up! Fo' real!"
"I see Frank Gore didn't have time to get his son a haircut this week! Lol And that's cool, he's going to be a cool guy.","I see Frank Gore ain't had time ta get his son a haircut dis week! Lol An' dat's cool, he gon' be a cool guy."
So my mom just told me to take a break and she'll call me back in the morning! I'm amused lol,So my mama jus' told me ta take a break an' she'll call me back in da mornin'! I'm amused lol
"I saw you... Well, the back of your head. Laughing my ass off, I didn't feel like calling your name.","I saw you... Well, da back of yo' head. Laughin' my ass off, I ain't feel like callin' yo' name."
"I love you. I love you, VeeVee. Laughing out loud.","I love you. I love you, VeeVee. Laughin' out loud."
"Well, I'm not leaving for school until tomorrow. I guess I'll be at the Carver/Prep game tonight.","Well, I ain't leavin' fo' school 'til tomorrow. I guess I'ma be at da Carver/Prep game tonight."
"No doubt, I thought you had a problem on your hands or something. Laughing out loud, how's everything going?","No doubt, I thought you had a problem on yo' hands or somethin'. Laughin' out loud, how's everythin' goin'?"
"Oh, don't be trying to get all mushy. Laughing out loud... I love you too, cuz.","Oh, don't be tryin' to get all mushy. Laughin' out loud... I love you too, cuz."
"Hoes are always talking shit and don't know what they're talking about. Why are you worrying about mine anyway, huh?","Them hoes always be talkin' mess an' don' know what dey talkin' 'bout. Why you worryin' 'bout mine anyway, huh?"
"I do not associate with or have any interest in you, you old, thirsty, crusty, dusty groupie.","I ain't got no time fo' you, you ol', thirsty, crusty, dusty groupie."
The best funeral ever is so funny! These people are celebrating a funeral at a fair. They are carrying a jar of ashes on a ride. I am highly amused.,Dat funeral party be so funny! Them folks celebratin' a funeral at a fair. Dey carryin' a jar a' ashes on a ride. I be cryin' laughin'.
"I had to do Markia, she just wanted some attention, so we let her have it. Check my last couple of pictures if you want to see the big woman.","I had ta do Markia, she jus' wanted some 'tention, so we let her have it. Check my las' couple a' pics if you wanna see da big woman."
The social shakedown is really exciting me right now. I've been lounging in my bed playing games all day! Haha.,Dat social shakedown got me all excited right now. I been layin' in my bed playin' games all day! Haha.
2012 was an amazing year for me! I hope that 2013 exceeds it! #optimistic,2012 wuz an amazin' year fo' me! Ah hope dat 2013 be betta! #optimistic
"Okay, glad you made it safely..lol I will definitely do that for you! Have fun and enjoy yourself!","Aight, glad ya made it safe..lol Ah sho' will do dat fo' ya! Have fun an' enjoy yaself!"
Trying to get away so I can relax.....Mr. Andre is not having it lol,Tryna get away so Ah kin relax.....Mr. Andre ain't havin' it lol
"He asks me why I ignore him all the time, it's because I'm focused on my work","He be askin' me why Ah ignore 'im all da time, it's 'cause Ah be focused on mah work"
"Every time this doctor comes into this room, she is on the phone asking another doctor a question","Ev'ry time dis doc'tah come inta dis room, she be on da phone askin' anudder doc'tah a question"
"I'm just sitting here thinking about the things I did in 2012 and it was some messed up stuff and drama, but that's not coming in 2013. #Team Single.","Yo, I be thinkin' 'bout the wild stuff I did back in 2012, but dat ain't comin' in 2013. #TeamSingle."
Good morning Twitter family and friends. What a day to be alive and well. It's raining and I just want to cuddle up with somebody all day.,Mornin' Twitter fam and friends. It's a good day to be livin' and breathin'. It's rainin' and I just wanna cuddle up wit' somebody all day.
"I don't love my boyfriend, but he understands that I care a lot about him.","I ain't feelin' my boyfriend, but he know I care 'bout him a lot."
I would change my name on Twitter but I don't know how long I'm not going to be single.,"I'd change my Twitter name, but I don't know how long I'ma be single fo'."
I'm about to cut off all my old friends and get some new friends.,Finna cut off all my old friends and get some new ones.
"So what if we get drunk, so what if we smoke weed, that's how it's supposed to be. Young, wild, and free, bitches.","So what if we get drunk, so what if we smoke weed, dat's how it's s'posed to be. Young, wild, an' free, bitches."
"He's not a real man if he lies about having a girlfriend. Never, big dog!","He ain't a real man if he lie 'bout havin' a girlfriend. Neva, big dog!"
"One thing I hate is a worthless man who thinks he's the shit. Get out of here, dust bunny.","One thang I hate is a worthless man who think he da shit. Get outta here, dust bunny."
"I don't fight over a man, I leave that to you broke hoes.","I ain't fightin' ova a man, I leave dat to y'all broke hoes."
"I always find things out. I may not say it right away, but I know!","I always find thangs out. I may not say it right away, but I know!"
I'm frustrated. My mom's boyfriend doesn't know when to be quiet.,My mama's boyfriend don't know when to shut his mouth. I'm frustrated.
"My only wish is that my friend Keith was here to handle the situation. I've been in a 'I don't care about the world' kind of mood lately, to be honest.","All I want is fo' my boy Keith to be here to handle this. I ain't been carin' 'bout the world lately, fo' real."
"I just want to sleep with your best friend for one night only. And if I do sleep with your best friend, you better not sleep with my friend.","Yo, I just wanna hit it wit yo bestie fo' one night, ya feel me? An' if I do, you betta not be messin' wit my homie, aight?"
"That's messed up, I have to go all the way downstairs to light my blunt.","Dang, I gotta go all da way downstairs jus' ta light my blunt? Dat's messed up."
"Hey, you're a low-life. Get off my timeline, all you do is talk trash. Show me something.","Yo, you a straight-up busta, man. Get off my timeline, all you do is run yo' mouth. Show me somethin' real."
I have never had anyone to show me all the things that you have shown me.,I ain't never had nobody show me all the stuff you done showed me.
"He left his cookies in a box on the floor, and Sami went in there and took a bite off each cookie.","He left his cookies in a box on the floor, and Sami went in there and took a bite outta each cookie."
I am about to delete this music off my computer because it is making my computer run slow.,I 'bout to delete this music off my computer 'cause it makin' my computer run slow.
"The trip was $600. It's in 2 weeks. My cousin can't go, and I have an open spot. I'm just asking for $400.","The trip was $600. It's in 2 weeks. My cousin can't go, and I got an open spot. I'm just askin' for $400."
"The price is $20, which includes bowling for 90 minutes, food, shoe rental, laser tag, and drinks. I'm sorry, but it is at 10:30 PM on January 18th.","The price is $20, which includes bowlin' for 90 minutes, food, shoe rental, laser tag, and drinks. I'm sorry, but it's at 10:30 PM on January 18th."
"I'm taking my niece, nephew, and little cousin @__DollyFace to Cedar Point in June. I just booked my reservations.","I'm takin' my niece, nephew, an' lil' cousin @__DollyFace to Cedar Point in June. I jus' booked my reservations."
"Well, it's time for me to hit the road and really celebrate my birthday in the Bahamas! See you later, Chicago. Oh yeah, my birthday is on Sunday!","Well, it's time fo' me to hit the road an' really celebrate my birthday in the Bahamas! See ya later, Chicago. Oh yeah, my birthday be on Sunday!"
"I ball multiple ways, which means I'm athletic. You've been hustling for 5 years, which means you're bad at it.","I ball multiple ways, which mean I'm athletic. You been hustlin' fo' 5 years, which mean you bad at it."
@ChrisBrownRCA just needs to move on and stop acting like she is the only real hood chick that he's ever going to get.,@ChrisBrownRCA jus' need to move on an' stop actin' like she the only real hood chick that he ever gon' get.
"Why do people say they're about to run to the store, but in reality, they're just walking into the store?","Why do people say they 'bout to run to the sto', but in reality, they jus' walkin' into the sto'?"
"Damn, 95.5 is jamming. For real, I've been locked up all day. Music feels good for the soul.","Dang, 95.5 be bumpin'. Fo' real, I been cooped up all day. Dat music feel good fo' da soul."
"You're a fool, 'gone JJ', get that $500 million, laughing my butt off. You know I'm rocking with you on @Hot1041.","You a fool, 'gone JJ', get dat $500 million, I be laughin' my butt off. You know I be rockin' wit' you on @Hot1041."
They've got me in here doing the south Dallas swagger. I haven't done that since last spring.,Dey got me in here doin' dat south Dallas swagger. I ain't done dat since las' spring.
Repo Men come and take an organ until your payments are back in order!,Repo Men come an' take an organ 'til yo' payments be back in order!
"Same old stuff, bro. Trying to make money and stay true! We've got to have a little something to drink soon though. New Year, let's get into some new stuff!!","Same ol' stuff, bro. Tryna make money an' stay true! We gotta have a lil' sumthin' to drink soon tho. New Year, let's get into some new stuff!!"
"Man, I crack myself up and I swear I'm not even trying, to be honest.","Dawg, I be crackin' myself up an' I swear I ain't even tryna, fo' real."
"I hope you can understand when I say, pay before you play with me.","I hope you can unnerstand when I say, pay 'fo you play wit' me."
What are you talking about?! Just bring a woman something because I'm hungry.,What you talkin' 'bout?! Jus' bring a sista' somethin' 'cause I'm hungry.
"Oh, all of you are going on the shit list. You all went to Hong Kong and didn't bring a woman a french fry.","Oh, all y'all goin' on the shit list. Y'all went to Hong Kong an' ain't bring a sista' a french fry."
"@RESPECTmyflaws @_noLOVE_jstLUST @Luh_Boosie, y'all better come get your cousin, that woman hit me in the face with a snowball.","@RESPECTmyflaws @_noLOVE_jstLUST @Luh_Boosie, y'all betta' come git yo' cousin, dat sista' hit me in da face wit' a snowball."
Your unattractive self did not answer the phone last night. We are coming over there today. It will be around 6 or 7 o'clock.,"Yo, you ain't answer da phone last night, lookin' all ugly n' stuff. We comin' over dere today, 'round 6 or 7 o'clock."
"When you have a partner, there are only a few ways that you can keep them.","When you got a partner, dere's only a few ways you can keep 'em."
"I am grateful to be here another day. In case you have not heard it today, Kiaphia loves you.","I'm grateful ta be here 'nother day. In case you ain't heard it today, Kiaphia loves you."
I am still taking this woman over there and throwing this woman as far as I can.,I'm still takin' dis woman over dere an' finna throw her as far as I can.
"Yes, he is, but Melo might kill him and he can't shoot for anything. You would be better off with a Chris Paul.","Yeah, he is, but Melo might kill 'im an' he can't shoot fo' nothin'. You'd be betta off wit' a Chris Paul."
"Laughing my ass off, but I'll call it a fat one day though, real talk, so it's something back there.","Lawd, I'm laughin' so hard my butt cheeks is shakin'! But I'mma call it a phat one later, fo' real, 'cause there's somethin' back there."
"Laughing my ass off, Shana, what do you mean? I don't be saying that, girl, what do you mean?","Lawd, Shana, what you mean? I ain't be sayin' that, girl, what you talkin' 'bout?"
"But when I first played that song, Swagg, you said you didn't like it.","But when I first played that song, Swagg, you said you ain't like it."
"Man, I'm about to take me a little nap, I'll call you later and your ass better answer.","Aight, 'bout to take me a lil' nap, I'mma call you later an' yo' butt betta answer."
"Just got off the phone with my guy, goodnight, 9:30 class in the morning!","Just got off the phone wit' my boy, night night, got a 9:30 class in the mornin'!"
"Wanda must be hot because she is tossing and turning in her bed, the woman just yelled out!","Wanda must be hot 'cause she tossin' an' turnin' in her bed, da woman jus' yelled out!"
"My friend @SpaldinOutBxtch and I can never be by each other in the waiting room, she is too jokey, laughing my ass off!","Me an' my friend @SpaldinOutBxtch can nevah be by each othah in da waitin' room, she too jokey, laughin' my ass off!"
"I work hard to get where I am at, these women do not want to see you get these stacks of money!","I work hard ta get where I'm at, dese women ain't wanna see you get dem stacks a money!"
"I hear Wanda asking everybody if they are waking up in the morning, haha not I said the cat!","I hear Wanda askin' everybody if dey be wakin' up in da mornin', haha not me said da cat!"
"I cannot wait until his big head gets off work, I miss him.","I cain't wait 'til his big head get off work, I miss 'im."
"You can tell when people don't have a life and are miserable, they do and say some of the dumbest things, shaking my head!","You can tell when people ain't got no life and they miserable, they be doin' and sayin' some real dumb stuff, I'm just shaking my head!"
"Cierra, bye, you then shut up, keep my baby's name out of your mouth, okay! Okay.","Cierra, bye, you betta shut yo mouth, keep my baby's name out yo mouth, aight! Aight."
"I swear by the time I get to Brooklyn, the ball will be dropping, laughing my ass off, like what the fuck.","I swear by the time I get to Brooklyn, the ball gon' be droppin', I'm laughin' my ass off, like what the fuck."
"@tameeekkss, bitch, I swear you're half Chinese, you stay giving Asian almost blind realness, laughing my ass off.","@tameeekkss, bitch, I swear you half Chinese, you always be givin' that Asian almost blind realness, I'm laughin' my ass off."
"Laughing my ass off, these tweets, but why am I in a car to get food, laughing my ass off, something I'm missing everything.","I'm laughin' my ass off at these tweets, but why am I in a car tryna get some food, I'm laughin' my ass off, must be missin' somethin'."
"Haha, God always sends me the most incompatible men to like me. Haha, like God, where are the compatible ones?","Haha, God always be sendin' me da most incompatible brothas ta like me. Haha, like God, where da compatible ones at?"
"No, bye, this guy stinks. Why is he sitting next to me? My nose is like, what is happening right now, man.","Nah, bye, dis dude stank. Why he sittin' next ta me? My nose be like, what's goin' on right now, man."
"So I'm talking to a Capricorn, haha. I need the 411 on them, Stash.","So I'm talkin' ta a Capricorn, haha. I need da 411 on dem, Stash."
"Shawty had me up all night, all night, all night, doing the nasty. (French Montana voice) Hahaha.","Shawty had me up all night, all night, all night, doin' da nasty. (French Montana voice) Hahaha."
"Haha, me and Nuria are going to the being fresh store. I gotta get some things.","Haha, me an' Nuria gon' ta da bein' fresh store. I gotta get some thangs."
