standard_american_english,african_american_english
"Because when things go wrong, brother, whether it's next year, 10 years, or 20 years from now, you will never be able to say these men lied to you!","Cause when it hits the fan brotha whether its next yr, 10 yrs, 20 yrs from now. You'll never be able to say these brothers lied to you JACK!"
"Sean Lee is our leading tackler and defensive leader. He got injured in preseason, but he will be back, and I am excited about Duane Harris.",@almodovar516 Sean Lee is our leading tackler &amp; defensive leader he got injured he preseason he will be back &amp; im excited about Duane Harris
"The NFC East also had the toughest schedule in the league this year, and with a new defensive coordinator who actually blitzes, I feel good about it.","@almodovar516 the NFC east also had the toughest schedule in league this year, a new Dcoordinator that actually blitzes I feel good about it"
"Trust me, Jerry Jones isn't finished; he has more money to spend! That loss to the Redskins made him sick.","@almodovar516 trust me Jerry Jones isn't finished, he's got more money to spend! That's Skins lost made him sick."
"Cam Newton's durability alone makes him better than RG3. Additionally, Cam doesn't have Alfred Morris in the backfield, and his stats are better.",Cam Newton's durability alone makes him better than RG3. In addition Cam doesn't have Alfred Morris in the backfield &amp; his stats are better.
"The Pacers' offense is terrible in 2K and in real life, lol. I get really into it because of my skills.",Pacers offense is Garb on 2K &amp; I'm real life lol I be gettin jiggy w em cuz my skills
"Definitely a top 10, maybe even top 5 NFL game of all time for me. That was crazy!",Definitely a top 10 maybe even top 5 NFL Game all-time for me. That was crazy!
"No way, this little Dejuan Harris guy on GB is really messing things up for Marshawn, who is rushing for 120 yards.",@BeezbDolo hell no this lil Dejuan Harris nigga on GB is fuckin em up Marshawn rushin 120
"Okay, well Marshawn can break tackles just like that, and he does it regularly. He and MJD are the closest thing to Adrian Peterson.","@BeezbDolo ok well MRshawn can break the same way and he breaks out on the reg, him MJD closest thing to AP"
"Well, Bink! produced DNDress, not Ye, and Bink came up under Just Blaze, but most people say Just Blaze took a lot of Bink's sound when he was working with him.",@KmobIv well BINK! prod DNDress not Ye and Bink came up under JB but most say Just Blaze ripped a lot of Binks sound when he workin w him
"Man, I'm just pretending to be crazy. You know very well that Nas and Big are in the top 5, and I'm not really into Pac or Eminem.",@KmobIv son I'm fakin crazy u kno damn well Nas &amp; Big top 5 and Im not into Pac or Em
"The government needed a reason to enforce gun laws on the citizens, and a situation like Sandy Hook makes it more acceptable. It's a game of chess.",@LiveFromTheFive gov't needed a reason press gun laws on the citizens and a situation like SandyH makes it more accepting. Game of chess
"@KevLo_ Do you see this big guy? Lol, he was an old high school football player and now he is just a hospital technician.",@KevLo_ u see this big ass nigga? Lol he old high school fball player and he jus a hospital technician now
"@fivefifths Obviously. But now tragedy has put gun control at the forefront, right behind the debt ceiling; the plan worked to perfection.","@fivefifths obviously. But now tragedy as put gun control at the forefront right behind the debt ceiling, the planned worked to perfection."
"@fivefifths I wish I could give more, but this 140 characters is just not enough. I'm not someone who went to WSHH and jumped on the bandwagon though, lol.",@fivefifths I wish I could give more but this 140 characters just not enough. Im not someone who went to WSHH &amp; hopped on the wave tho lol
"@fivefifths Believe what you want, the history is there. When stricter gun laws are passed this year, I will be sure to @ you, haha.","@fivefifths believe what you want, the history is there. when stricter guns laws are passed this year I will be sure to @ you haha"
"@TriniSmilez5 I will check when I get on the computer in a second, but the battle is over, ha.",@TriniSmilez5 ima check when I get on comp in a sec but the battle is over ha
"@KevLo_ I haven't even been home right now. I don't mind rainy, cold days.","@KevLo_ ha not even, im not even at the crib right now. I dont mind rainy cold days"
"D'Antoni is going to have to make a decision about having Dwight in during the 4 or 5 minute mark; this situation is getting serious, lol.","D'Antoni is gonna have to make a decision about having Dwight in under 4 or 5 minute mark, this shit is gettin serious lol"
Meek Mill too; these guys are just one slight mistake away from death in those situations.,"Meek Mill too, these niggas be one slight mistake away from death on them shits"
"I don't care about Stephen Davis and Duce Staley being in the club with me, lol, what the heck.",I don't give a fuck about about Stephen Davis &amp; Duce Staley being in the club w/ me lol wtf
"Back when Jay-Z and Nas were the ones to be, I was in my teens trying to be bigger than Meech.","Back when Jigga &amp; Nas was the niggas to be, I was in my teens tryna be bigger then Meech."
"You can never just recklessly pour yourself some juice or Kool-Aid in this guy's house because 80% of the time it's liquor, lol. Shaking my head.",You can't never just recklessly pour yourself some juice or kool-aid in this nigga crib cuz 80% of the time it's liq lol smh
"Why are they actually showing slow-motion highlights and taking injury timeouts for this, laughing my ass off?",Why are are they actually showing slow motions highlights &amp; taking injury timeout for this lmaoo
"I am officially a believer in Joe Flacco. He's not a fluke; he's legitimate. Let's hold off on calling him elite, but he is real nonetheless.","I am officially a believer in Joe Flacco, he's no fluke he's legit, let's hold off on elite. But real nonetheless"
"I understand that's not a given these days, but you have to be more than that.",I understand thats not a given these days but u gotta be more then that
"Bro, I haven't even been to California yet, and North Korea is trying to end that situation. They need to chill.",Bruh I ain't even been to Cali yet &amp; NKorea tryna end that joint they gotta chill
TE'O is gay just for talking to a man for three years on the phone and not knowing it's a man.,TE'O is gay just for talkin to a man for 3 years on the phone &amp; not knowin it's a man.
"@jayzonicle he has a higher potential than Granger, but I have to hold off on calling him better. Paul George has never been in the top 5 in NBA scoring.","@jayzonicle he has a higher ceiling than granger but gotta hold off on calling him better, PG has never been top 5 in NBA in scoring"
"@MahLee_ no, I'm saying when this year is over, most definitely, but at the same time, there is no top 5 team in the East that Boston could beat in the playoffs.","@MahLee_ no im sayin when this yr is over most definitely, but at the same time there is no top 5 team in East Boston could beat in playoffs"
"@MahLee_ slight? Rondo was a little guy with numbers almost like Magic Johnson, and they were still losing, lol. I don't know about that.",@MahLee_ slight? nigga Rondo was lil nigga damn near w Magic Johnson  numbers and they was still losing lol idk bout that
Why do people always try to cook lasagna for a girl? Is that supposed to be impressive? I will just cook her the Stouffer's version and get the same credit.,"Why niggas always try to cook lasagna for a girl, is that some impressive shit? I will cook her the Stouffers joint &amp; get the same cred."
"No, not mashed potatoes with steak, that's not my style, haha. I prefer baked or steamed potatoes, and I don't like A1 sauce.",@KevLo_ nah not mashed potatoes w steak that's some nigga shit lol baked or steamed potatoes &amp; I don't fuck w A1
"I need to see Larry Fitzgerald with a decent quarterback again. But right now, I would take A.J. Green and Megatron before him.",I need to see Larry Fitz w a decent QB again. But right now I would take AJ Green &amp; Megatron before him
Wale could have just said his girls are from Virginia Beach; everyone knows they have the best in the 757.,Wale could've just said his hoes from VA Beach everyone know they got the best in 75.
"No, not anything like that, haha. I'm not a typical blue-collar guy, you already know that.",@SUPREMEdeem nah not no shit like that tho lol Im not no hot Blue Collar nigga u already know that ha
"You say you're living it up, but you can't even afford the true designer brands I have!",You say you /ripping it aint nuntin but /ash shawty -- you can't even buy the trues on my ass shawty!!
I know way too many people here right now who I didn't know last year -- who are all of you?!,I know way too many ppl hear right now who I didn't know last year -- who the fuck is y'all!!
These people are so foolish these days -- they'll lie on the ground -- and let someone walk all over them!! Get up and have some dignity for once!!,These hoes so stupid these days -- they'll lay on the ground -- and let a Nigah walk all over them!! Get up and have sum dignity for once!!
There are no blessings that can't turn into disasters!! And there are no disasters that can't turn into a blessing!!,Their are no blessings that can't turn into disasters !! And their are no disasters that can't turn into a blessing!!
"@TSNBobMcKenzie That kid is good. I saw him against the New York Rangers. I'll tell you, as a Rangers fan, I'm not too excited about seeing him for the next 10 years.","@TSNBobMcKenzie That kid is GOOD. saw him vs NYR. I'll tell ya, as a ranger fan I'm not too excited about seeing him for the next 10 years."
Who can love you like I do? Who can satisfy you like I do? Who can lay your body down? (NOBODY),Who can luv u like me who can sex luv u like me who can lay ur body down (NOBODY)
"If you think you're tough, come see me and I'll show you how this 5'1"" girl gets down. You better not back down.",@GibsonBoyGI btch if u think u bad btch cum see me an btch ima show u How this 5'1 btch get down u better nor better yet u seen back cum
"If you all want to put your business online and keep that stuff in your house, people wouldn't have anything to say.",@GibsonBoyGI an if y'all want put y'all business all on the net an keep that shit n y'all house people wouldn't have shit to say
"Yes, I called your phone because I'm that girl. You and whoever else can get it one by one.",Ya I called ur phone cause I'm that btch na u an who can get it one by one
"I'm good, that's why I only hang out with some of my male cousins because of a coward like him. But okay, just for you, Coday, I will.",@Coday24 @GibsonBoyGI o I'm gud that y I only fuck with some of my male cuzzin cause a pussy btch like him but OK coday just for u I will
"I hate having midnight cravings, but I'm trying to watch what I eat and when I eat.",I hate having midnight cravings...  But I'm trying to watch what I eat and when I eat
I'm eating hot Cheetos and a cupcake while watching my hand go from the bag to my mouth.,I'm eatin hot Cheetos and cupcake watching my hand go from the bag to my mouth...
I need to play against someone who will give me a challenge because that was too easy.,I need to play somebody who gon give me a run for my money cuz that was too easyyyy
Stimulate my mind. That's what really turns me on. Teach me something I didn't know or show me something I've never seen.,Stimulate my mind . That's what REALLY turns me on .. Teach me something I didn't know or show me something I've never seen.
"@Kev_A1RealRude boy, everybody needs love. The young and the old. My grandma is in her 50s and she is still dating... She has a 30-year-old boyfriend, lol.",@Kev_A1RealRude boy everybody need love . The young &amp; old .. My gma 50 sumn &amp; she dating still... Got her a 30 yr old lol
"@D_ICON I'm going to try to make my way down there before you leave, if nothing comes up!",@D_ICON Ima try to make my way down there before you leave there . If nothing comes up! :)
"When I'm high, I eat like two meals plus snacks back to back. It's crazy.",When I'm high I eat like two meals plus snacks back to back .. Shit be crazy
"We always seem to be making moves somehow, and I knew very well that I needed to be in class.",We stayed having moves somehow &amp; I knew damn well I needed to be n class..
"If you let someone borrow something, you shouldn't have to ask for it back.","If you let someone borrow something , you shouldn't have to ask for the shit back .."
"My dad and I are seriously texting about this game, play-by-play! We have a wager of his 30 to my 10, lol.","My dad &amp; I are seriously texting about this game , play-by-play ! We got a wager his 30 to my 10 lol .."
"@PrinCessBandss_ LOL, my mom is really attractive and she was on point, but yes, your mom has issues.",@PrinCessBandss_ LMFAO BITCH MY MAMA BAD ASF AND SHE WAS OTP BUT YES YO MAMA IS A CRACKHEAD
"Aww, good because my sister lives over there, lol, and I'm moving back with her. You live on West 8 Mile.",@_____LovePretty Aww Good Cause My Sista Live Over There Lol And Im Moving Back W. Her.  You Live On W. 8mile
I'm about to sit down and talk to my dad about some things and try to clear my head.,Im About Too Sit down &amp;&amp;'Talk Too My Dad about Some Stuff &amp;' Try Too Clear My Head
"When I was 8, I was forced to live with my aunt on the West Side. I went to Vernor Elementary and I got along with everybody in 3rd grade.",When I Was 8 I was Forced Too Live W. My Aunt On The WESTSIDE. I Went To Vernor Elementary And I Got Along W. Everybody (3rd Grade)
I had two fights with the girl who I thought was my best friend but was just a snake.,I Had Two Fights W. The Girl Who I Thought Was My role dog but was just a snake
"The guy I was talking to was cheating and talking to a girl who was playing on my phone. Basically, I guess she was mad.",The Guy I Wastalki 2  Was cheating talking to  A girl  who was playing on my phone.  Basically i guess she was mad
I can't sleep; my stomach is turning. 2013 seems just like 2012 to me so far.,"I CANT Sleep,  My Stomach Turning.  2013 Seem Just Like 2012 Too Me So Far"
"Just because he didn't take me to school, I better get my nails done today.","Just Because He Didn't Take Me Up To The School,  I Better Get My Fucking Nails Done Today."
"I know Travey is mad at me, but I can't move. I'm lightheaded, keep throwing up, and I can't eat or drink anything.","I Know TRAVEY Mad At Me,  But I CANT Move. Im Light Headed,  Keep Throwing Up,  &amp;&amp;'I CANT Eat Or Drink Nothing #Period"
"It's funny to me how these little female groups really think they can beat these guys in these groups. Like, what the heck? Lmao. Trying to get famous.",Its Funny Too Me How These Lil Female Groups Really think They Can Beat these Niggas In These Groups.  Like Wtf Lmao. Tryna Get Famed Up.
Everybody tune in to the news tonight at 11:00 PM sharp on Channel 7 and watch my best friend and her family share their tragic story of a loved one.,Everybody Tune In2 The News Tonite At 11:00pm Sharp.Channel 7 &amp;&amp;'Watch Ass My Bestfriend &amp;Her Family Share Their Tragic Story Of A Loved One
I don't even want to change schools anymore. They just made me really angry.,I Dont Even Wanna change Schools No More. They Just Pissed Me The Fuck Off.
"I had to hang up on him. I'm done with him. #ForReal He is so petty, I swear.",Had Too Hang Up On Him. Im Straight On Him #Frff He Fucking Petty Dawg I Swear
"@Gawgeous__ yeah, you know. That's probably why you haven't given me anything in so long. ^=____^ #dead",@Gawgeous__ yeah u no. That's probably why u AINT gave me non in so long ^=____^ #dead
@juicyandprada I should have opened the door and let you out at your stop.,@juicyandprada I shoul was Fina open tha door n let yu out at yr stop
I'm trying to go back to school. I need to get my son settled back in Murphy Shaw first.,I'm tryna go bak to skool gotta get my son situated bak n Murphy Shaw 1st
"LOL, I can't burn. Lockdown for 3 more months, then I'll match a whole matchbox with you.",@Ewash1984 lol I'm on can't burn lock down 3 more months den ill match a whole match box witcha
"Yes, they do. We can get along for the kids' sake. We have to be best friends one day; these kids are going to need each other.",@_ThatGirl_JL0 yes dey do we can get along fa tha kids sake wen gotta b bffs 1 day dese kids gon need each other
I've been dealing with kids all day and I have to get up early in the morning. I need to go.,@BMB_Stanka I been dealin wit kids allday n gotta get up early n tha morn I need to go
"Kicking butt on Ruzzle and then got my butt kicked, so I'm too tired to be playing.",Kicken azz on Ruzzle n dun got my azz kicked to I'm to damn tired to b playin
"If I wake her up, she is going to be whining, and we still aren't going to find them.",If I wake ha up she gon b wining n we still ain't gon find em
"What do you say now? Give it to me, baby? One, two, three, and four...",What You Say Now? give It To Me Baby??? 1 and 2 and 3 and 4 ...
"I can show you how nice of a guy I can be. I open doors for you and pull out your chair. See, that's nice.",I can show you how nice of a guy I can be I open doors for you pull out your chair ... See that's nice
@SONIXWHITE I'm about to finish school; I have 10 days left. Are you going to New York City next weekend?,@SONIXWHITE  bout to finish school got 10 days left are u going to NYC next weekend
"@AlwayzDave It's true, I like being busy with work and school. So much good comes from it.",@AlwayzDave true I like being busy with work n school ... So Much good comes from it ....
"You have so much money because you live at home with your mom, sleeping on a twin size bed... And you call yourself a boss.",You got so much money cause you live at home with ya Mom sleeping on a Twin size bed ... And u called ya self a BOSS
I can't deal with a Jamaican guy; they always want to wear loafers and lace-up dress shoes! Shaking my head.,"I Can't Zeal Wit A Jamaican Nigga, niggas always wanna wear loafers n lace up dress shoes! Smh"
"@106andpark @Beyonce It doesn't matter; she would sound the same. We know her skills. It was cold. I got you, B!",@106andpark @Beyonce doesnt matter ..she wud sound the same..we know her skills..it was cold..I gotchu B!
"I have a bottle, I have a model, I have my money, and I show off!","Got a Bottle , Got A Model Got My Money And ii Stunt BALL !"
This is how I'm feeling. But since I don't have anyone to solve that problem...,How im feeling &gt;&gt;&gt; But since I don't have anybody to fix that problem &lt;&lt;&lt;
"F is for friends who do things together, U is for you and me, N is for anywhere and anytime at all! Down here in the deep blue sea!",F - Are For Friends Who Do Stuff Together U- Are For You &amp; Me N- Is For Anywhere &amp; anytime at all ! Down Here In The Deep Blue Sea !
I am so upset because my friend got mad at me because I didn't help him at school when he was about to fight!,"Kms , Dudee Got Mahd At Me Cuss I Ainn Help Hym At Skoo When He Was Finnah Fite !"
"This is the kind of weather for cuddling, kissing, cooking, making love, watching movies, and laying in that person's arms!","This That Cuddle, Kiss, Cook, Make Love , Watch Moives, Lay In That Person Arms &lt;&lt;&lt;&lt; Kinda Weather!!!!!!"
"Laughing my ass off! You know when it snows in Jackson, they celebrate it like it's a holiday!",Lmao You Know When It Snow It Jackson!!  Lol They Celebrate It Like Its An Holiday!!!
"Some people will do anything for likes. They expose themselves, take half-naked pictures, and bend over right in front of the camera just for likes. #Sad","Bit*hes Do ANY &amp; Everything For Likes,Have They Azz All On The Sink, Take Pics Have Way Naked, Bent Over All In The Camera JustForLike #Sad"
"I'm good. I had a snack, and I'm going to Buffalo Wild Wings when I drop him off at practice.",I'm good...I had a snack...and I'm going to Buffalo Wild Wing when I drop him off at practice...
"Lord, please let whatever issue this is with my car not cost much and not take long to fix.",Lord plz let whateva issue this is wit my car don't cost much and don't take long to fix...
"@Blue_Balty, the one that I want is black with a 17-inch screen and costs $400.",@Blue_Balty the one that I want is black with a 17 in screen and is $400
"I'm so glad that Mehlville gets out 2 hours early today, so hurry up, 12:05.","I'm so glad that Mehlville gets out 2 hours early today, so hurry up 12:05"
"I think I should stay home today, but I have a project due for Parenting 2. Well, that's just great. #Sick","I think I should stay home today, but I have a project due for parenting 2, well that just great #Sick"
I will have friends if people just text me quickly. I hate slow texting. #SingleLife,*.*i Will Hav Friend If ppl just text meh fast ..i hate slow text  *SingleLifee*
"I don't know what you have going on. Everything is closed, and yes, I'm about to tweet it.","@fckthese_niggas shidddd ion know , what you you got up?  Everythang closed  and yea im finna tweet it"
"Some of these women need to be treated poorly, but know your limits when you are leaning.","Some These hoes need to be Dawged , But Know Ya Backbone When You Leaning."
"When you break up with someone you love and see that they have moved on, you want them back.","When you break up with somebody you love , see that they moved on , you want them back."
I can't believe you hit me with that 40; I just got hit.,@Hp_Dale bitch im beatn yo ass u hit me wit dat 40 lol i jst gt hip.
"I know that's my brother, and we are going to support him, but he did something foolish.",@CashYouTheShit ik dats my bro n we gone ride for him bt he did sum dumb shit.
This store is so run-down. How could you knock an entire bathroom door off the hinges? Shaking my head.,This store so ghetto .. how the hell u knock a whole bathroom door off the hinges smh
"I don't care about anything anymore. If it isn't about making money, leave me out of it!",I don't give af bout shit nomore . If it ain't bout this money MISS ME w / it !
I think I lost a friend because we couldn't agree on some situations. That is crazy.,think i lost a friend because we couldnt agree on some situations that ish crazy
"It has been a long day, and tomorrow will be even longer. We are putting down roots in our townhome; it's the first step towards our new life.",Long day nd tomoro will b even longer. Putin down on our townhome its the first step towards our new life.
"She has her own apartment, her own car, she takes care of her kids, has a good job, and is focused on her business in the street, but in the bedroom, she is a pornstar.","She got ha own crib , ha own car, she take care her kids, got a good job , she bout her business in the street but in the bed she a pornstar"
"KV just made me think about The Odyssey, that girl used to be really excited, lol.","Kv just made me think about the odyssey , dat hoe use to b turnt up lol"
I can't wait until I get on my own; nobody better ask me for anything.,"I cant wait till i get on my own, a muthfucca bet not ask for shit ,"
"Leaving Wingood, I am finally heading to the game, I guess. Let's see what's going on up here.","Leaving wingood fina head to the game iGuess , see wats going on up here"
"This is too funny. I feel bad for Te'o, but it's hard to believe he allowed it to happen. Where is Scooby-Doo when you need him? Lol.",This is too funny #teoing... feel bad for Te'o but it's hard to believe he allow it to happen. Where is Scooby doo when you need them. Lol
My mom and her friends always talk about people; that's where I get it from.,"My Mama And Her Friends Stay Talking About Folks , That's Where I Get It From ."
To be lied to all these years! I would ask why? They still lie!,To be lied to all these years! I would ask y? They still lie!.   #ItsCrazyHow
"Even though I don't like you right now, Happy New Year! Love you.",EVEN DOE I DNT LIKE U RIGHT NOW HAPPY NEW YEARS LOVE U                                     B.E.S.T.F.R.I.E.N.D @quantrent
"I just talked to Adrion. She told me she loves me. Ziya said she loves you, little buddy.",JUS TALK TO ADRION SHE TOLD ME SGE LOVE ME ..........ZIYA SAID LOVE U LIL BOOTY
@D2_Athlete You all are going at it for no reason when neither one of you has anything to do with it. Let it go; it is what it is.,@D2_Athlete YALL GOIN AT IT FOR NO REASON WEN DNT EITHA ONE OF GOT ANYTHING TO DO WIT IT LET IT GO IT IS WAT IT IS
What if I am with you until I weigh 21 pounds? Just thinking!,What If I Be w / You Until Im 21 lbs . . . Thinking !
"People act like my mom looks young enough to be my sister, even though they know she looks really old.","Niggass Be Like , My Momma Look Like She Could Be My Sister .. Knowing They Momma Look OLD af' .."
"I have a thing for guys who would come to my house to hang out, watch movies, snack on something, and not try to have sex all the time!",IGottaThing4..for guys who wud cum to chill at my hse ..watch movies..snack on sum..n not try to have SEX all da dam time!!#
"Because these tired, fronting, attention-seeking, foolish, disrespectful, and sour individuals have nothing to offer me!",CUZZ DESE TIRED ASS..FRONTIN ASS..WANNA B HOE ASS..STUPID ASS..BITCH ASS..SORRY ASS...SOUR ASS NIGGAS AINT GOT SHIT FA ME!!!#
"I don't understand how they mistake my godson for a girl; sure, he has braids, but he's wearing boy's clothes.",I dont understand how they mistake my godson as a girl granted he got braids but he got on boy clothes
I am not stressing about anything because I was genuine when I gave you my love.,Ain't I ain't stressin bout a doggone thang cuz I was True when I gave you My love.
"I laughed and told that person, ""No, I am a hard worker. I am on my grind. I handle my business.""",I laughed and told that hoe nooooo ima hard ass worker. Im on my grind. I handle my b.I. tf
The way a Black woman can wear it like it's real and work it like it's expensive never ceases to amaze me! #blackgirlsrock #fistpump,The way a black a black woman can rock it like its real and work it likes it's expensive never ceases to amaze me! #blackgirlsrock #fistpump
"So I follow @RcLifestyleMktg on Instagram, but he has so many names and accounts that I can't keep up! Really!",So I @RcLifestyleMktg on ig but he has so many names and accounts I can't keep up! Really!
"I see Frank Gore didn't have time to get his son a haircut this week! Lol, and that's fine; he's going to be a cool guy regardless. Lol.",I see Frank Gore had no time to get his son a hair cut this week! Lol N that's cool he's gonna be a cool dude reg lol
"So my mom just told me to take several seats and she'll call me back in the morning! I'm weak, lol.",So my mom just told me to have several seats and she'll call me back in the morning! I'm weak lol
"@MacDaddy_Ken I saw you... well, the back of your head. Laughing my ass off, I didn't feel like calling your name.","@MacDaddy_Ken i Saw you . . Well the back of your head . lmfao , i ain feel like callin your name ."
"@HoneyVee___ @__Dezznutz @OGkaaywabii_ I love you. I love you, VeeVee! :* :* Lol.",@HoneyVee___ @__Dezznutz @OGkaaywabii_ I love you . i love youuuuu VeeVee :* :* . lol .
"Well, I'm not leaving for school until tomorrow. I guess I'll be at the Carver/Prep game tonight.",Well not leaving for school til tomar .. Guess I'll be at the carver/prep game tonight.
"@backitupchrish No doubt, I thought you had a problem on your hands or something. Lol, how's everything going?","@backitupchrish no doubt, I thought you had a problem on your hands or something. Lol how's everything going ?"
"@SexyChiick84 Aww, don't be trying to get all mushy, lol... I love you too, cousin.",@SexyChiick84 awlll dnt be trying to get all mushy lol... I love u too cuz..
People always talk negatively and don't know what they are talking about. Why are you worried about my life anyway?,Hoes always talkin SHIT ' An don't know what tf they talkin bout why you worring about mines anyways HUH ' ?
"I don't care about any of you. We don't associate with you at all, you desperate and unappealing individuals!",#Bitch fuck yall all yall we don't fuck wit yall not at all old thirsty ass crusty ass dusty ass #Groupie ass bitch!!
The best funeral ever is so funny! These people are celebrating a funeral at a fair. They are carrying a jar of ashes on a ride. I'm so amused!,The #BestFuneralEver is so FUNNY! These People Celerbrating A Funeral At A Fair. They Carrying A Jar Of Ashes On A Ride. I'm #TooTickled
"I had to deal with Markia; she just wants some attention, so we let her. Check my last couple of pictures if you want to see them. That big girl is hilarious!",I had to do Markia jus want some attention so we let hve check my last couple of pixs if u wanna see the. Big bitch lls
The social shakedown is giving me so much joy right now. I'm in bed relaxing and playing all day! Lol.,The #socialshakedown is giving me life right now. In my bed dipping I plays all day!!! Lol
2012 was an amazing year for me! I pray that 2013 surpasses it! #optimistic,2012 was an amazing year for me!  I pray that 2013 blows it away! #optimistic
"@oldskoolchik Oh, okay, cool! I'm glad you made it safely. Lol, I will definitely do that for you! Have fun and enjoy yourself!",@oldskoolchik O ok kool glad u made it safely..lol i will definitely do that for u! Have fun n enjoy urself!
"I'm trying to sneak away so I can relax... Mr. Andre is not having it, lol.",Tryin to duck off so i can chill.....mr andre ass is not havin it lol
He asked me why I ignore him all the time. Because I am focused on my goals.,HE ASK ME Y I IGNORE HIM ALL DA TIME&lt;&lt;&lt;&lt; CAUSE I B ON MY GRIND
"Every time this doctor comes into this room, she is on the phone asking another doctor a question.",EVERYTIME THIS DOCTOR CUM IN THIS ROOM SHE ON DA PHONE ASKIN ANOTHER DOC A ?
"I'm just sitting here thinking about the things I did in 2012, and it was some messed up stuff and drama, but that's not coming in 2013. #TeamSingle.",Damn im jus sittin here thinkin abt tha shit i did n 2012 &amp; it was sum fck up shit &amp; drama but thtz not cumin n 2013.. #Team Single..
"Good morning Twitter family and friends. What a day to be alive and well. It's raining, and I just want to cuddle up with somebody all day.",Goodmornin tweeter fam &amp; friendz.. Wat a day 2 b alive &amp; well.. Itz raining &amp; i jus wanna cuddle up wit sumbody alday..
"I don't love my boyfriend, but he understands that I care a lot about him.","I dont love my boyfriend , but he understands I care alot about him ."
"I would change my name on Twitter, but I don't know how long I'm going to be single.",I would change my name on twitter but I dont know how long im not gone be single .
I'm about to cut all my old friends off and get some new friends!,", i'm bouta cut all my old niggas off &amp; get some new niggas !!"
"So what if we get drunk? So what if we smoke weed? So what if we go out? That's how it's supposed to be. Young, wild, and free!",", so what we get drunk , so what we smoke weed , so what we go out thatd how its suppose to be .. Young wild free biotchhhhs (;"
"He's not a real man if he lies about having a girlfriend. Never, big dog!",", He not ah real nigga if he lie about having a girlfriend .... Nevvvvvver big dawggg !!!!"
One thing I hate is a worthless guy who thinks he's something special. Get lost!,", one thing I hate is a nothing ass nigga . That thinks he's the shit !! Beat ya feet dust bunny"
I don't fight over men; I leave that to you broke women!,"I Dont Fight over Dick , I Leave that Shit to you Broke Hoes !"
"I always find things out. I might not say it right away, but I know!","I always find shit out. I might not say it right away, But I know !"
I am aggravated. My mom's boyfriend doesn't know when to be quiet.,"Im AGRAVATED , My Mom bf dont know When to SHUT THE FUCK UP ."
My only wish is that my friend Keith was here to handle things. I've been feeling very frustrated with the world lately.,My onli wish my nigga keith was here to kill shyt # I been on some fuck the world shyt lately nbs
"I just want to sleep with your best friend for one night only, and when I do, you better not mess with my friend.","I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE"
It's frustrating that I have to go all the way downstairs to light my blunt.,thats fuckd up i gotta go all the way dwn stairs to lite my blunt
You are a lowlife. Get off my timeline. All you do is talk trash; show me something.,BITCH ur a low life get the fuck off my tl all yo do is tlk shit show me somthing
I have never had anyone to show me all the things that you have shown me.,I anit never had nobody to show all the thing that u done showd me
"@ItsYoungBTW_ he left his cookies in a box on the floor, and Sami went in there and took a bite out of each cookie.",@ItsYoungBTW_ it left his cookies in a box on the floor Sami went in there and took a bite off each cookie
I'm about to delete this music off my computer because it's making my computer run slow.,About to delete this music off my computer because it got my shit going slow @ItsYoungBTW_
"It's in two weeks. My cousin can't go, and I have an open spot. The trip costs $600. I'm just asking for $400.",It's in 2weeks. My cousin can't go n I got a open spot. The trip was $600. I'm just asking for $400.
"The price is $20, which includes bowling for 90 minutes, food, shoe rental, laser tag, and drinks. I'm sorry, but it is at 10:30 PM on January 18!","The price is $20 which includes bowling for 90 mins, food, shoes rental, lazer tag n drinks. N I'm sorry but it is at 10:30pm on Jan 18!!!!"
"I am taking my niece, nephew, and little cousin @__DollyFace to Cedar Point in June. I just booked my reservations.","Taking my niece, nephew n lil cousin @__DollyFace to Cedar point in June. Just booked my reservations."
"Well, it's time for me to hit the road and really celebrate my birthday in the Bahamas! See you later, Chicago. Oh yeah, my birthday is on SUNDAY!",Well time for me to hit the road n really celebrate my bday in the Bahamas!!!! See you later chi city. Oh yea bday is on SUNDAY!!!!!
"I ball in multiple ways, which means I am athletic. I have been hustling for 5 years, which means I am not bad at it.","ii BaLL muLtipLe wayz whicKh mean im athLetiK, uu Been hustLin foR 5 yeaRz whicKh mean uu Bad at it"
@ChrisBrownRCA just needs to move on and stop acting like she is the only real hood girl he will ever get.,@ChrisBrownRCA just thank that he need to move on stop acting like she is the only real hood chick that he ever going to get.
"Why do people say they are about to run to the store, but in reality, they are walking into the store?",Why people say am about to run and the store but real you walking in the store. . .
"Damn, @OldSchool955, 95.5 is jamming. Honestly, I have been locked in all day. Music feels good to your soul.",@boogie_d damn @OldSchool955 95.5 jamming. Real talk I bn locked n all day. Music feels good to yo soul
"@mzjanee, you are a fool. Go get that 500 million! Laughing my butt off, you know I'm rocking with you on @Hot1041.",@mzjanee u a fool ' gone JJ' get that 500 million'lmbo u know I'm rocking witcha on @Hot1041
They have me in here doing the South Dallas swag. I haven't done that since last spring.,They got me in here doin the south Dallas swag. I ain't do dat since last spring
"@MsXaviB, Repo Men come and take an organ until your payments are back in order!",@MsXaviB Repo Men Come &amp; Take An Organ Until Your Payments Are Back In Order!!!
