aae_from_sae,standard_american_english
"I swear you ain't never gonna find a squad like ours, a squad that shine bright in the dark like we do.","I swear you will never find a squad like ours, a squad that shines bright in the dark like we do."
"@StanTheWiseMan oh for real, you done stole somebody's girl yet? 'Cause you know they love them guys up top, lol.","@StanTheWiseMan oh really, have you stolen someone's girl yet because you know they love those guys up top, lol."
"Lol, that's cool. Can we push the food to 7 though? I might be cuttin' it too close at 6, lol.","Lol, cool. Well, can we push the food to 7? I might cut it too close at 6, lol."
"Folks be talkin' 'bout movin' to Atlanta, sayin' they 'bout to come up. Two months pass and reality hit: that cost of livin' ain't no joke. #WelcomeToATL",People say they're moving to Atlanta and are about to come up. Two months go by and the truth becomes reality: the cost of living. #WelcomeToATL
"Just got off work, my son knocked out, and I got my drink poured. The green ready to be rolled up, and the Xbox on. #trippy #turnup","I just got off work, my son is in bed, and I have my drink poured. The green is ready to be rolled up, and the Xbox is on. #trippy #turnup"
"Who walk in the house and don’t say nothin'? Just lookin' at you like they takin' up space. For real, fix your face.","Who comes into the house and doesn't say anything? Just looks at you like they're taking up space. Seriously, straighten your face."
"Why folks want you to bow down, change your life, tellin' you who to be friends with, and dictatin' what you do? But let the right person come through and they do whatever they want.","Why do people want you to bow down, change your life, tell you who to be friends with, and dictate what you do? But let the right person come along and they do whatever they want."
I can't stand when folks think material stuff define who you are. Just 'cause somebody got money don't mean they livin' a rich life. Only the things with souls is us.,I hate when people think material things define a person. Just because someone is wealthy in possessions does not mean they have a rich life. Only physical things with souls are us.
So Manti Te'o was in a whole online/phone relationship with a dude actin' like a girl. -_- #DrPhil,So Manti Te'o was having an online/phone relationship with a guy pretending to be a female. -_- #DrPhil
"@_SWAGGLESS_ 'cause sometimes I ain't sure when we comin' over there, but I got you though! Lol","@_SWAGGLESS_ because sometimes I don't know when we are coming over there, but I got you though! Lol"
"@Hard_2plz I miss you too! I'ma be down here for a minute, so I'ma try to bring Niya her gifts, all late, lol.","@Hard_2plz I miss you too! I will be down here for a while, so I will try to come bring Niya her gifts, all late, lol."
"@Doobies_iRollemvl Ain't nothin' chill, then I'm gettin' my hair and nails done tomorrow, then headin' to Charlotte with Taylor tomorrow.","@Doobies_iRollemvl Nothing chill, then going to get my hair and nails done tomorrow, then to Charlotte with Taylor tomorrow."
"So @taaylor5 went to the shop without me. Smh, I was ready to get my hair and nails done today... :-)","So @taaylor5 decided to go to the shop without me. Smh, ready to get my hair and nails done today... :-)"
"High as a kite, drunk as a skunk, but I'm 'bout to enjoy this cookout tray though. #OutwestStyle #Smashing","High as a kite, drunk as a skunk, about to enjoy this cookout tray though. #OutwestStyle #Smashing"
I'm grateful the Lord blessed me and mine to see another day. Y'all be blessed today! :-),Grateful the Lord blessed me and mine to see another day. Y'all be blessed today! :-)
"#RealTalk - when you been wantin' to hit somebody, but when you finally do, you go soft.","#RealTalk - when you've been wanting to hit someone, but when you finally do, you go soft."
"If you out here thugging in the streets like you say you is, you gotta accept everything that come with it.","If you're thugging in the streets like you say you are, you have to accept everything that comes with it."
"Now he done texted me, cursing me out before it could even hit 12, doing the most.","Now he texted me cursing me out before it could even turn 12, doing the most."
"I'm laughin' so hard, he need to be cut off. This dude is too funny, talkin' trash and then watchin' what go down. I'll fight a coward in a heartbeat.","I am laughing so hard, he needs to be cut off. This guy is too funny, talking trash and then watching what happens. I'll fight a coward in a heartbeat."
"I ain't sad no more; I just don't care no more. I think I might be overreactin', but folks say I ain't. But good mornin' anyway.","I'm not sad anymore; I just don't care anymore. I think I might be overreacting, but others say I'm not. But good morning anyway."
Forget that dude you love so much. I know you still think 'bout the times we had. ~ Drake,Forget that guy that you love so much. I know you still think about the times we had. ~ Drake
"It’s almost here, and he stayin’ up with me all night. I really love him.","It's almost here, and he is staying up with me all night. I really love him."
"Evangelist Rosetta Wright - God is good! Romans 1:16. Hey my dear brother, God bless you! (hugs)","Evangelist Rosetta Wright - God is good! Romans 1:16. Hi my dear brother, God bless you! (hugs)"
"I be procrastinatin'... shakin' my head, I gotta break this habit... it ain't healthy and it's a hard habit to break, but in 2013 I’m gon' TRY... key word TRY.","I am a procrastinator... shaking my head, I need to break this habit... it's not healthy and it's a hard habit to break, but in 2013 I will TRY... key word TRY."
"@ChefBlite26 Yeah, it really is funny, strange though... you pull out all the stops but then you be like blah! Haha.","@ChefBlite26 Yes, it really is funny, strange though... you pull out all the stops but then you're like blah! Haha."
"@_livinglovinme_ Not too many... let’s go after these folks! Haha... by the way, I’m feelin' like some waffles tomorrow.","@_livinglovinme_ Not too many... let's go after these guys! Haha... by the way, I'm in the mood for waffles tomorrow."
Laughin' out loud... KG said Lala taste like Honey Nut Cheerios! Honey Nut got a bad aftertaste when you burp.,Laughing out loud... KG said Lala tastes like Honey Nut Cheerios! Honey Nut has a bad aftertaste when you burp.
"@_livinglovinme_ you see how fast it hit Redbox? Ain't even get no Golden Globe nominations. They just handin' them out, lol.","@_livinglovinme_ did you see how quickly it came to Redbox? It didn't even receive any Golden Globe nominations. They nominate anything, lol."
"@LuvDatLaceFront you too! Man, my OG took me to see that movie, 'A Thin Line Between Love and Hate,' and 'Waiting to Exhale.' Those is some good movies! Lol.","@LuvDatLaceFront you too! Man, my original gangsta took me to see that movie, 'A Thin Line Between Love and Hate,' and 'Waiting to Exhale.' Those are good movies! Lol."
That little dude knew he was on probation. He knew they was filmin' and he definitely knew them folks was real eager. He knew he was 'bout to mess up.,That little guy knew he was on probation. He knew they were filming and definitely knew those people were really eager. He knew he was going to mess up.
"Wow, I kinda want them Shaq Attaqs, along with the Questions and the Kamikaze. Those the only Reeboks I'm feelin'.","Wow, I kind of want those Shaq Attaqs, along with the Questions and the Kamikaze. Those are the only Reeboks I'm interested in."
"I like my cookies like I like my lady's backside... that's right, HARD! Lmao.","I like my cookies like I like my lady's backside to be... that's right, HARD! Lmao."
"Ayo, what matters is he got one and gon' have two after this year. Folks doubted Michael Jordan, but once he broke through, you know how that go, fam.","Hey, what matters is that he has one and will have two after this year. People doubted Michael Jordan, and once he broke through, well, you know the rest, bro."
That person need to stop tweetin' 'bout Libras. What I look like eatin' Long John Silver's?,That person should not tweet about Libras anymore. What do I look like eating Long John Silver's?
"LOL, this real random, but I remember this girl was interning with me, didn’t wanna mess with nobody at work, so I hit her with a... (Continued) ","Laughing out loud, this is very random, but I remember when this girl was interning with me and didn't want to get involved with someone at work, so I hit her with a... (Continued)"
"I’m tryin' to get this 'I don’t care' vibe goin', but it ain't really workin'; it just ain't me. Ugh.","I'm trying to develop this ""I don't care"" attitude, but it's kind of not working; it's just not me. Ugh."
"I know I be actin' up and you made some mistakes too, but we still got some room to grow.","I know I misbehave and you made mistakes, but we still have some room to grow."
"I want some cookies, pineapples, and a Sprite... I wish I had somebody to run to the store for me.","I want some cookies, pineapples, and a Sprite... I wish I had someone to run to the store for me."
"@Its_BenColeman she 'bout to introduce me to some women, and they got what I wanna major in.","@Its_BenColeman she is going to introduce me to some women, and they have what I want to major in."
"#ImSingleBecause SHYD, I'm too young to be talkin' 'bout settlin' down with no woman right now.","#ImSingleBecause SHYD, I'm too young to be talking about settling down with a woman right now."
"@Brick_4House you gon' like it, and you left yo' sweater at my friend house.","@Brick_4House you will like it, and you left your sweater at my friend's house."
"My dad just called and gave me some advice, tellin' me I need to keep my head on straight and stay focused on college.","My dad just called and gave me some advice, telling me I need to keep my head on straight and stay focused on college."
"My hand ain't got no feelin', but neither do the rest of my body.","My hand has absolutely no feeling, but neither does the rest of my body."
I got kicked out the gentlemen's club in Atlanta for tryin' to light up in there.,I did get thrown out of the gentlemen's club in Atlanta for trying to light up in there.
"@nieceygirl12 this lil' girl ain't gon' win; I'm the king of this, she betta fall back.","@nieceygirl12 this little girl isn't going to win; I am the king of this, she better fall back."
"I'm tired of the nonsense; it's just me, my fishin' rod, and a couple of others.","I'm tired of the nonsense; it's just me, my fishing rod, and a couple of others."
"Shoutout to the freshmen... on Instagram, just showin' off! I took a Molly, I'm sweatin'... WOO! I took a Molly, I'm sweatin'... WOO!","Shoutout to the freshmen... on Instagram, just showing off! I took a Molly, I'm sweating... WOO! I took a Molly, I'm sweating... WOO!"
"If I see another white person without no pants on, I'ma laugh at 'em! LOL.","If I see another white person without pants on, I'm going to laugh at them! LOL."
"What’s goin' on, Beyoncé? Callin' Blue Ivy. Blue bust, blue crayon, and all that. I'm dyin' laughin'!","What is going on, Beyoncé? Calling Blue Ivy. Blue bust, blue crayon, etc. I'm dying laughing!"
"A year ago, I prayed for the day I could look back and laugh... it’s finally here! Shakin' my head... Never fall in love with potential. #EveryoneGot Some Potential","A year ago, I prayed for the day I could look back and laugh... it's finally here! Shaking my head... Never fall in love with potential. #EveryoneHasSomePotential"
"Phase 1! At noon today, we put the first face to the words of #BLKSunday. Stay tuned!","Phase 1! At noon today, we put the first face to the words of #BLKSunday. Stay tuned!"
I'ma sit back and sip this purple drink while these folks still actin' foolish.,I'm going to sit back and sip this purple drink while these guys are still acting foolish.
Don’t make me pull out my strap and make you say hi to my lil friend.,Don't make me get my gun and make you say hello to my little friend.
"Bill Gates: A billion, a billion, a billion. Jay-Z: Half a billion, half a billion, half a billion. Lil Wayne: A million, a million, a million. Me: A dollar, a dollar, a dollar.","Bill Gates: A billion, a billion, a billion. Jay-Z: Half a billion, half a billion, half a billion. Lil Wayne: A million, a million, a million. Me: A dollar, a dollar, a dollar."
"If yo girl got more dough than me, my kicks cost two grand each.","If your girl has more money than I do, my tennis shoes cost two thousand dollars each."
I wish he’d just keep it real with me so I can know where we stand.,I wish he would just tell me how he feels so I can understand where we are.
I stay lowkey; I let my paper do the talkin’ 'cause I keep it quiet.,I stay quiet; I let my money do the talking because I remain silent.
"Oh, it's a must 'cause he got you on lock. I'ma come over there one of these days when I ain't dealin' with this dude.","Oh, it's a must because he got you on lock. I'm going to come over there one of these days when I'm not dealing with this guy."
"I don't care how you feel if I put your name out there, and my phone ain't tryna spell your name like that, so hush.","I don't care how you feel if I put your name out there, and my phone doesn't want to spell your name like that, so be quiet."
"Since we bein' real, don't expect your man not to cheat or think 'bout cheatin' if you ain't givin' no head.","Since we're being honest, don't expect your man not to cheat or think about cheating if you don't perform oral sex."
"Most of my folks think money rule, and I'll mess up hairstyles like it's a pair of shoes.","Most of my friends think money rules, and I'll mess up hairstyles like it's a pair of shoes."
"I don't believe in blowin' up phones, so if you don't text me back, then oh well.","I don't believe in blowing up phones, so if you don't text me back, then oh well."
"I stay focused on my grind, don’t care what nobody think.",I am always focused on my career and not caring about what people think.
I was gettin' my dance on by myself 'til my mama came home with a case of Bud Light Margarita... that joint is fire.,I was dancing by myself until my mom came home with a case of Bud Light Margarita... that is delicious.
"He up there right now, and I’m down here gettin' ready; it’s about to go down, goodnight.","He is upstairs right now and I am down here getting ready; it's about to go down, goodnight."
"Folks just ain't wakin' up on the other side of the world, like in China and all that!","People are just not waking up on the other side of the world, in China and such!"
Forget a new year; it ain't gon' change nothin'. We still gon' be strugglin' to make ends meet.,Forget a new year; it isn't going to change anything. We will still be struggling to make ends meet.
"I been makin' five figures this year, and I'm tryna hit six figures. #DREAMTEAM","I've been making five figures this year, and I'm trying to reach six figures. #DREAMTEAM"
"I'm watchin' TV with my girl, and she snorin'. She gotta go to physical therapy at 5:30 in the mornin', but I'm still up. What’s poppin' in #HINESVILLE on a #THURSDAY?","I'm watching TV with my partner, and she is snoring. She has to go to physical therapy at 5:30 in the morning, but I'm still awake. What is there to do in #HINESVILLE on a #THURSDAY?"
I just played two games of Fun Run... she quit both times 'cause I came in first.,I just played two games of Fun Run... she quit both times because I came in first place.
What get on my nerves 'bout some women is they do the most and act like ain't nothin' happen. Smh.,What frustrates me about some women is that they do the most and act like nothing happened. Smh.
My wild cousin just came in here all naked and screamin' that she wearin' bras now.,My lively cousin just came in here completely naked and screaming that she wears bras now.
"If she had told my mama where I was, I coulda been at home in my own bed.","If she had told my mom where I was, I could have been at home in my own bed."
"Wanna keep me happy? Don’t annoy me, don’t embarrass me no kinda way, and don’t step on my shoes.","Want to keep me happy? Don't annoy me, don't embarrass me in any way, and don't step on my shoes."
Ain’t nobody fussin’ or tryin’ to see what was goin’ on when my shoes was all bent up with a hole in the front.,Nobody was fussing or trying to see what was going on when my shoes were bent up with a hole in the front.
Dwyane Wade be frustratin’ me with that weak pump fake; he should just shoot the ball.,Dwyane Wade frustrates me with that ineffective pump fake; he should just shoot the ball.
You can also use your toothbrush to gently get rid of them tonsil stones you can see.,You can also use your toothbrush to gently remove tonsil stones that you can see.
"I gotta be on this every day 'cause I see folks talkin' behind my back, but I’m still in control 'cause both him and I know where we stand.","I will have to be on this every day because I see people talking behind my back, but I am still in control because both he and I know where we stand."
"I might just get up and bounce, but God saved that girl today. He musta known; Lord, you better stay with her 'cause she 'bout to get the best slap.","I might just get up and go, but God saved that girl today. He must have known; Lord, you better stay with her because she is going to get the best slap."
"I’m chillin' and feelin' like my day 'bout to be bad, but I’m gon' get up, take a shower, and just throw on some clothes.","I am chilling and have a feeling that my day is going to be bad, but I am going to get up, take a shower, and just put some clothes on."
Back to makin' money tomorrow mornin'. Enough of this couch potato life. That ain't my thing. I gotta get back to my hustle. #IneedACheck,Back to making money tomorrow morning. Enough of this couch potato lifestyle. It’s not my thing. I have to get back to my hustle. #IneedACheck
"People so lazy, man. How come more than ten folks botherin' three freshmen? Do somethin' with your life!",People are so incredibly lazy. How can more than ten people be bothering three freshmen? Do something with your life!
Humans in a mob? What’s a mob to a king? What’s a king to a God? What’s a God to a non-believer? Who don’t believe in nothin’?,Human beings in a mob? What is a mob to a king? What is a king to a God? What is a God to a non-believer? Who does not believe in anything?
"@Meaka_Said_It smh. Meaka, I don’t even know what to say 'bout you. But you do teach folks 'i' before 'e'.","@Meaka_Said_It shaking my head. Meaka, I don't know what to say about you. Well, you do teach people 'i' before 'e'."
"Lol, I linked up with them and we gettin’ to the money all together!","Lol, I linked up with them and we are getting to the money all as one!"
"I mean, dependin’ on the beauty supply store you hit up, you can get Remy hair for 'bout $40 a pack.","I mean, depending on the beauty supply store you go to, you can get Remy hair for about $40 a pack."
"I ain't in the mood for nothin'—no food, no drinks, no drugs, no sex... sheesh, where Gerrae at?","I'm not in the mood for anything—no food, no drinks, no drugs, nor sex... sheesh, where is Gerrae at?"
"So, I asked myself what was wrong, and all the stuff on my dresser just fell off. I guess that meant everything.","So, I asked myself what was wrong, and all the things on my dresser fell off. I guess that meant everything."
I am who I am. Just got done apologizin'. I'm doin' it for Shaquille O'Neal and my kids. That's my vibe this year. #GoKingGo or move aside.,I am who I am. Just fresh out of apologizing. I'm doing it for Shaquille O'Neal and my kids. That's my attitude this year. #GoKingGo or move aside.
"This natural hair is cool, but I can't wait to get my sew-in back.","This natural hair is okay, but I can't wait to get my sew-in back."
"My girl @KillerKae_ know she invited to come, but @HeyyItssLeola, my mama 'bout to get you.","My friend @KillerKae_ knows she is invited to come, but @HeyyItssLeola, my mom is going to get you."
"I got my own; I don't need you to take care of me, but the thought is real nice. #GetYourOwn","I have my own; I don't need you to take care of me, but the thought is quite refreshing. #GetYourOwn"
"Milk and eggs be the right mix. Mix it up, then dip yo' bread in it, and then cook it in a pan with some butter.","Milk and eggs is the right mix. Mix it, then dip your bread in it, and then cook it in a pan with butter."
"If you stopped judgin' everything and everybody by a standard you ain't even close to, yo' life would get way better.","If you stopped judging everything and everyone by a standard that you don't even come close to, your life would improve significantly."
"I got more love for the team, but a whole lotta passion for these colts! #future","I have more love for the team, but a lot of passion for these colts! #future"
I'm mad at you right now 'cause you told me you wasn't goin' to the game!,I'm mad at you right now because you told me you weren't going to the game!
"I can't stop laughin', girl, you so silly! #WhoIsTheDaddy or #PorchePregnant, which one you think gon' be the biggest trend?","I can't stop laughing, girl, you are so silly! #WhoIsTheDaddy or #PorchePregnant, which one do you think will be the biggest trend?"
"@IamAmaniac831 Good mornin'! You comin' to school? I ain't; it's rainin' too hard, and I'm just gon' stay home.","@IamAmaniac831 Good morning! Are you coming to school? I'm not; it's raining too badly, and I'm just going to stay at home."
"@KiKiPinkDiamond After I take my first block of the year, them lights can do whatever they wanna do. That’s my whole reason for goin' to school.","@KiKiPinkDiamond After I take my first block of the year, those lights can do whatever they want. That's my entire purpose for going to school."
"When them tests and trials start weighin' you down, just remember you got a friend named Jesus!","When your tests and trials seem to get you down, remember there's a friend named Jesus!"
"Me: Mom, I ate all the hot pockets. MOM: I don't care; I'm goin' to get some more. Me: Aight, can I eat 'em too? MOM: Mhm. ME: Okay *smiles*.","Me: Mom, I ate all the hot pockets. MOM: I don't care; I'm going to get some more. Me: Alright, can I eat them too? MOM: Mhm. ME: Okay *smiles*."
"I just scroll up and down my timeline, and whatever I like or think is funny, I just retweet it, lol.","I just scroll up and down my timeline, and whatever I like or think is funny, I just retweet it, lol."
"Laughin' out loud, she worried 'bout my sexuality... I ain't bisexual; why you wanna know?","Laughing out loud, she is concerned about my sexuality... I'm not bisexual; why do you want to know?"
But the Celtics got plenty of players and makin' moves behind the scenes to get bigger.,But the Celtics have plenty of players and are making moves behind the scenes to get bigger.
Ain't nobody hearin' or seein' Gucci boy like me bringin' that stuff to your front door.,Nobody hears or sees Gucci boy like me bringing that stuff to your front door.
"I ate some cake before I left the house to hit the bus stop, and that really messed up my stomach.","I ate cake before I left the house to go to the bus stop, and that really messed up my stomach."
"Now, boy, I know you got my back, and you know I got yours too.","Now, boy, I know you have my back, and you know I have yours too."
"Bad girl, I think I can get used to you. I might have to get your number when I'm done with you.","Bad girl, I think I can get used to you. I might have to take your number when I'm done with you."
I ain't feelin' good. Ain't come outta my room all day. Ain't nobody checkin' in to see if I'm alright. Crazy family.,I don't feel good. I didn't come out of my room all day. Nobody checked in to see if I'm okay. Crazy family.
"I really wonder what they thinkin', but after a shower, it's back to the game!","I really wonder what they are thinking, but after a shower, it's back to the game!"
"@TeAmo_Lily I feel you, but what if you lose again? You win some, you lose some, oh well.","@TeAmo_Lily I feel you, but what if you lose again? You win some, you lose some, oh well."
"If your girl ask you a question 'bout you and another girl, trust she askin' just to see if you gon' tell her the truth, 'cause she already know.","If your girl asks you a question about you and another girl, trust that she is asking just to see if you will tell her the truth, because she already knows."
I’ma be on QVC with Dr. Tabor tomorrow from 6 to 7 AM (EST) and again from 3 to 4 PM. He gon’ be showin’ off his new Beauty Shakes.,I will be on QVC with Dr. Tabor tomorrow from 6 to 7 AM (EST) and again from 3 to 4 PM. He will be presenting his new Beauty Shakes.
"Most of them girls I thought I was madly in love with, we don’t even talk no more.","Most of the girls I thought I was madly in love with, we don't even communicate anymore."
"During them hard times, when you see only one set of footprints, that’s when I was carryin’ you.","During your times of trial and suffering, when you see only one set of footprints, it was then that I carried you."
"Man, get them sorry Colts outta here. Talkin’ ‘bout luck gon’ expose you. Flacco exposin’ that sorry secondary.","Man, get these terrible Colts out of here. Talking about luck is going to expose you. Flacco is exposing that terrible secondary."
"People get called 'bitches' ‘cause they act like 'bitches,' so I’ma call you 'bitches.'","People are called 'bitches' because they act like 'bitches,' so therefore I will call you 'bitches.'"
"I just talked to my lil bro, he wild... it's crazy I'm 'bout 10 years older than him and he bigger than me.","I just talked to my little brother, he's wild... it's crazy that I'm almost 10 years older than him and he's bigger than me."
"@TEAMNEVERFOLD that's what's up my dude, did your lil man impress everybody with that outfit you showed me?","@TEAMNEVERFOLD that's what's up my friend, did your little man impress everyone with that outfit you showed me?"
"Wow man, 16 ounces gone just like that... tomorrow ain't gon' be a good day at all.","Wow man, 16 ounces all gone like that... tomorrow won't be a good day at all."
"@ONLY1LILLEE @longflight87 I told you Tasha, he ain't KT no more, he Kevin, and Kevin don't roll with our kind.","@ONLY1LILLEE @longflight87 I told you Tasha, he isn't KT anymore, he's Kevin, and Kevin doesn't associate with our kind."
"Well, ain't no need to wait... I told everybody when Cundiff missed last year that we was gon' be back.","Well, no need to wait... I told everyone when Cundiff missed last year that we would be back."
"Man, I was 'posed to go with my partner today, but plans done changed!","Man, I was supposed to go with my partner today, but plans changed!"
"For him to tell me stuff his mama don’t really know, I’m his keeper!","For him to tell me things that his mother doesn't really know, I'm his keeper!"
"Rumors and more rumors, damn I must be popular; folks got my name in they mouths. I ain't trippin', just rumors is rumors, and I'm a grown man now.","Rumors and more rumors, damn I must be popular; people have my name in their mouths. I'm not tripping, just rumors are rumors, and I'm a grown man now."
"You actin' foolish with your taxes, but when April roll around, you back to chillin'.","You're acting foolish with your taxes, but when April comes around, you're back to relaxing."
The people who know the least 'bout you got the most to say.,The people who know the least about you have the most to say.
That ain't what she sayin'. That was said. What's the point in lyin'?,That's not what she is saying. That was said. What's the point in lying?
"Lmao! I know! I seen her name like 5 minutes ago, and I was like, ""What the actual heck!?""","Lmao! I know! I saw her name like 5 minutes ago, and I was like, ""What the actual heck!?"""
"Is it bad that every time my laptop actin' up, I take the battery out?","Is it bad that every time my laptop acts up, I take the battery out?"
Now I gotta change my settings so my messages don't pop up no more. Unbelievable.,Now I have to change my settings so my messages don't pop up anymore. Unbelievable.
"Wow, you know how long it been since a dude watched Little Bear? Lmao, Nick Jr. takin' me back!","Wow, you know how long it has been since a guy watched Little Bear? Lmao, Nick Jr. is taking me back!"
I hope folks ain't actin' like no cowards. I'm hittin' up the Marriott tomorrow. Hope they talkin' 'bout somethin' important #jobhunting,I hope people don't act like cowards. I'm going to the Marriott tomorrow. I hope they are discussing something important #jobhunting
"Yes girl, you got a winner, but the only way I'ma win is if you standin' at the finish line.","Yes girl, you have a winner, but the only way I will win is if you are standing at the finish line."
"Have I told you I love you? Have I told you you mean the world to me? Have I told you I love you? I'ma be your wishin' well, just tell me what you want.","Have I told you I love you? Have I told you that you mean the world to me? Have I told you I love you? I will be your wishing well, just tell me what you want."
"I know Slug gon' help me. Not that I'm expectin' his help, I just know he gon' support me.","I know Slug is going to help me. Not that I am expecting his help, I just know he is going to support me."
"Juanita is weak. We all get weak over a dude, but come on now. The last dude you should be stuck on is my daddy.","Juanita is weak. We all get weak over a guy, but come on. The last guy you should be stuck on is my father."
"Love be mad scary, ya know? Once you fall for somebody, you basically givin' 'em the green light to mess it all up.","Love is so incredibly scary. Because once you fall for someone, you basically give them the permission to mess things up."
"I'ma tell him soon. I'ma put his book to the test; it’s just what I needed, Formula 50. Soon, I’ll have them pics of the Xerveo loss.","I will tell him soon. I will put his book to the test; it is exactly what I needed, Formula 50. I will soon have pictures of the Xerveo loss."
"As I go through this body transformation usin' his Book formula 50, I’ma keep everybody updated. I’m still usin' Xerveo motion.","As I go through the transformation of my body using his Book formula 50, I will keep everyone updated. I will still be using Xerveo motion."
"Formula 50 and Xerveo Motion gon' be some of the topics for my show soon. Who knows, maybe I can get 50 to try out Xerveo Motion. Lol.","Formula 50 and Xerveo Motion will be one of the topics for my show soon. Who knows, maybe I will get 50 to use Xerveo Motion. Lol."
I don’t know how folks like me so quick; maybe it’s 'cause I’m just too friendly or just too happy.,I don't know how people like me so quickly; maybe it's because I'm too friendly or just too happy.
Folks always think I'm just happy all the time. If only they knew what be goin' on in my head... Hm.,People always think I'm always happy. If you only knew what I was thinking in my head... Hm.
"@chikki_kush I was ready to bounce, so I just hopped on my bus.","@chikki_kush I was ready to go home, so I just went and got on my bus."
I only mess with one person in PE; the rest I either ain't feelin' or I just don't vibe with them.,I only talk to one person in PE; the rest I either don't like or I don't connect with them.
"These silly, dry-mouthed, lonely folks, Jazz and Bree, mad 'cause I ain't feelin' Angel.","These foolish, dry-mouthed, lonely people, Jazz and Bree, are mad because I don't like Angel."
@__CarmenKash I need that right now. I can't handle this mess with your boyfriend no more.,@__CarmenKash I need that right now. I can't deal with this situation with your boyfriend anymore.
And they wonder why I throw it back! Then you let him hit for a minute!,And they wonder why I throw it back! Then you let him hit for some time!
"They think I’m hard on 'em, but I just don’t want 'em to be no failures!","They think I am hard on them, but I just don't want them to be failures!"
@CHeLLe_LiSCiouS and you ain't even call to check on me when I said I’d be back.,@CHeLLe_LiSCiouS and you didn't call to check on me when I said I would be back.
"@U_Sound_Goofy when you ready, bro, and I ain't forgot 'bout that win neither, bro, you good?","@U_Sound_Goofy when you are ready, bro, and I haven't forgotten about that win either, bro, are you good?"
"@Mekiaaa RIGHT, and he loved 'em so much, get real, he actin' like a little boy.","@Mekiaaa RIGHT, and he loved them so much, get real, he acts like a little boy."
"I swear folks be losin' their lives like this. Don’t mess with my siblings, or I’m gon' hurt you!","I swear people lose their lives like this. Don't mess with my siblings, or I will hurt you!"
"@Mr_Str8Forward That ain't right, and I thought you was better than that. Mekia need to know what was said 'bout her, but whatever, I’m done.","@Mr_Str8Forward That's unfair, and I thought you were better than that. Mekia deserves to know what was said about her, but whatever, I'm done."
"@_LickMyWetness Ain't nobody even talkin' to you. You asked a question, I answered, so chill on that. You don’t talk to us.","@_LickMyWetness Nobody was even talking to you. You asked a question, I answered, so chill on that. You don't talk to us."
I’m just gon' have him go to the store for me 'cause I want some snacks.,I'm just going to have him go to the store for me because I want some snacks.
This woman said she scared of her daughter. I got no respect for either of 'em.,This woman said she is scared of her daughter. I have no respect for either of them.
"Lol, you gotta have a lil' somethin'. My butt ain't little; it's flat.","Lol, you have to have a little something. My butt is not little; it's flat."
Women be gettin' mad 'cause their boyfriends like other women's pics. I swear some women just insecure!,Women get upset because their boyfriends like other women's pictures. I'm convinced that some women are insecure!
"Five years from now, they still gon' be there, and you still gon' be tryin' to make it. #LiveForYou","Five years from now, they will still be there, and you will still be trying to make it. #LiveForYou"
"School be one thing I take serious. I hate askin' for favors, but when I do, don’t play games with me. *shakes head*","School is one thing that I take seriously. I hate asking for favors, but when I do, don't play games with me. *shakes head*"
"I think it's sad we can do business together, but can't build a relationship. Smh #blood","I think it's sad that we can do business together, but we can't build a relationship. Smh #blood"
Forget everybody else; my son the only man in my life and he come before everything.,Forget about anyone else; my son is the only man in my life and comes before everything.
I love my son every second of every day more than anything in this world. #MothersLove,I love my son every second of every day more than anything in this world. #MothersLove
"Nah, I don't. I need our generation to be more brave, to have a soul, and to stop floodin' my timeline with the same ol' sentimental stuff. But what's good though?","No, I don't. I need our generation to be more courageous, to have a soul, and to stop flooding my timeline with the same sentimental stuff. But what's up though?"
"People ain't my equals. If I roll with you, it's only 'cause you can vibe with me and what I got goin' on.","People are not my equals. If I associate with you, it's only because you can relate to me and what I have going on."
"I’m gon’ handle you, but I’m gon’ do it real careful. Ain’t nobody gettin’ past these folks!","I will deal with you, but I will do so cautiously. I won't let anything pass these people!"
"If I was fake, shady, and bitter, I could say some stuff that’d make you wanna hurt yourself.","If I were a fake, shady, spiteful person, I could say things that would make you want to harm yourself."
"I done lost a few friends on the way, but they ain’t really ride or die with me.","I have lost a few friends along the way, but they weren't truly with me all the way. #ForgetThem"
"Only little girls get all in they feelings and wanna put your baby in the middle, actin’ like she can’t come over no more just ‘cause you and her ain’t together.","Only little girls get upset with you and want to put your baby in the middle, acting like she can't come over anymore just because you and her are not together."
"@TheRealAntonia, don’t make me call you out in the bathroom, laughin’ out loud.","@TheRealAntonia, don't let me expose you in the bathroom, laughing out loud."
Why I gotta stop bein' friends with her just 'cause you got a problem with her?,Why should I stop being friends with her just because you have a problem with her?
"Hold up, boo! Chill! I just asked a question! Ain't no need for all that!","Hold up, boo! Freeze! I just asked a question! You don't have to do all that!"
When the last time the Texans won the Super Bowl? Is it never? Just curious.,When was the last time the Texans won the Super Bowl? Is it never? Just wondering.
"I got one date I hold on to like no other 'cause with that one person, I still feel like there's a chance for some unfinished love.","I have one date that I hold on to like no other because with that one person, I still feel like there's a chance for unfinished love."
"Me and my friend took half a pill. I don't know why, but that's just how it is. Then we catch a flight back home and make love like two college kids.","My friend and I took half a pill. I don't know why, but that's how it is. Then we take a flight back home and make love like two college kids."
