standard_american_english,african_american_english
"@MahLee_ No, what I'm saying is that when this year is over, most definitely, but at the same time, there is no top 5 team in East Boston that could beat in the playoffs.","@MahLee_ no im sayin when this yr is over most definitely, but at the same time there is no top 5 team in East Boston could beat in playoffs"
"@MahLee_ Slight? Rondo was a young player with numbers almost comparable to Magic Johnson, and they were still losing lol, I don't know about that.",@MahLee_ slight? nigga Rondo was lil nigga damn near w Magic Johnson  numbers and they was still losing lol idk bout that
Why do guys always try to cook lasagna for a girl? Is that supposed to be impressive? I'll just cook her the Stouffer's frozen lasagna and get the same recognition.,"Why niggas always try to cook lasagna for a girl, is that some impressive shit? I will cook her the Stouffers joint &amp; get the same cred."
"@KevLo_ No, not mashed potatoes with steak; that's just ridiculous, laughable. I prefer baked or steamed potatoes, and I don't go for the expensive stuff.",@KevLo_ nah not mashed potatoes w steak that's some nigga shit lol baked or steamed potatoes &amp; I don't fuck w A1
"I need to see Larry Fitzgerald with a competent quarterback again. However, at this moment, I would prefer A.J. Green and Calvin Johnson before him.",I need to see Larry Fitz w a decent QB again. But right now I would take AJ Green &amp; Megatron before him
Wale could have simply stated that his partners from Virginia Beach are well-known for being the best since 1975.,Wale could've just said his hoes from VA Beach everyone know they got the best in 75.
"@SUPREMEdeem no, that's not true though, lol. I'm not a hot blue-collar guy, you already know that, ha.",@SUPREMEdeem nah not no shit like that tho lol Im not no hot Blue Collar nigga u already know that ha
"You say you're ripping it isn't anything, but sweetheart -- you can't even buy the truths on my ass, sweetheart!",You say you /ripping it aint nuntin but /ash shawty -- you can't even buy the trues on my ass shawty!!
I know way too many people right now who I didn't know last year - who are you all!,I know way too many ppl hear right now who I didn't know last year -- who the fuck is y'all!!
These people are so foolish these days - they'll lie on the ground and let a disrespectful person walk all over them! Get up and have some dignity for once!,These hoes so stupid these days -- they'll lay on the ground -- and let a Nigah walk all over them!! Get up and have sum dignity for once!!
There are no blessings that can't turn into disasters! And there are no disasters that can't turn into blessings!,Their are no blessings that can't turn into disasters !! And their are no disasters that can't turn into a blessing!!
"@TSNBobMcKenzie That kid is really good. I saw him play against the New York Rangers. I'll tell you, as a Rangers fan, I'm not too excited about seeing him for the next ten years.","@TSNBobMcKenzie That kid is GOOD. saw him vs NYR. I'll tell ya, as a ranger fan I'm not too excited about seeing him for the next 10 years."
"Who can love you like I do, who can passionately love you like I do, who can lay your body down (nobody)",Who can luv u like me who can sex luv u like me who can lay ur body down (NOBODY)
"@GibsonBoyGI If you think you're good, come see me. I'll show you how this 5'1 individual gets down. You're better off not coming back.",@GibsonBoyGI btch if u think u bad btch cum see me an btch ima show u How this 5'1 btch get down u better nor better yet u seen back cum
"If you want to put your business on the internet and keep that stuff in your own house, people wouldn't have anything to say.",@GibsonBoyGI an if y'all want put y'all business all on the net an keep that shit n y'all house people wouldn't have shit to say
"Yes, I called your phone because I am the one who can handle it one by one.",Ya I called ur phone cause I'm that btch na u an who can get it one by one
"@Coday24 @GibsonBoyGI I'm glad that you only associate with some of my male cousins because of a difficult person like him, but okay, Coday, just for you, I will.",@Coday24 @GibsonBoyGI o I'm gud that y I only fuck with some of my male cuzzin cause a pussy btch like him but OK coday just for u I will
I dislike having late-night cravings... But I'm attempting to monitor my diet and eating schedule.,I hate having midnight cravings...  But I'm trying to watch what I eat and when I eat
I'm eating hot Cheetos and cupcakes while watching my hand move from the bag to my mouth...,I'm eatin hot Cheetos and cupcake watching my hand go from the bag to my mouth...
I need to play someone who is going to challenge me because that was too easy.,I need to play somebody who gon give me a run for my money cuz that was too easyyyy
Stimulate my mind. That's what really excites me. Teach me something I didn't know or show me something I've never seen.,Stimulate my mind . That's what REALLY turns me on .. Teach me something I didn't know or show me something I've never seen.
@Kev_A1RealRude Everyone needs love. The young and old... My grandmother is 50 something and she's still dating... She has a 30-year-old boyfriend.,@Kev_A1RealRude boy everybody need love . The young &amp; old .. My gma 50 sumn &amp; she dating still... Got her a 30 yr old lol
@D_ICON I'm going to try to make my way down there before you leave. If nothing comes up! :),@D_ICON Ima try to make my way down there before you leave there . If nothing comes up! :)
"When I'm high, I consume the equivalent of two meals and snacks consecutively... It's quite extraordinary.",When I'm high I eat like two meals plus snacks back to back .. Shit be crazy
"We managed to have fun somehow, and I knew very well that I needed to be in class.",We stayed having moves somehow &amp; I knew damn well I needed to be n class..
"If you lend someone something, you shouldn't have to ask for it back.","If you let someone borrow something , you shouldn't have to ask for the shit back .."
"My father and I are seriously texting about this game, play-by-play! We have a bet, he's at 30 and I'm at 10, lol.","My dad &amp; I are seriously texting about this game , play-by-play ! We got a wager his 30 to my 10 lol .."
"@PrinCessBandss_ LMAO, my mother is amazing, and she was my ultimate favorite, but yes, she struggles with addiction.",@PrinCessBandss_ LMFAO BITCH MY MAMA BAD ASF AND SHE WAS OTP BUT YES YO MAMA IS A CRACKHEAD
"@_____LovePretty Aww, that's a good cause. My sister lives over there, lol. And I'm moving back to the west side with her. You live on West 8 Mile.",@_____LovePretty Aww Good Cause My Sista Live Over There Lol And Im Moving Back W. Her.  You Live On W. 8mile
"I'm about to sit down and talk to my dad about some stuff, and try to clear my head.",Im About Too Sit down &amp;&amp;'Talk Too My Dad about Some Stuff &amp;' Try Too Clear My Head
"When I was 8, I was forced to live in West. My aunt lived on the Westside. I attended Vernor Elementary and got along well with everyone in the 3rd grade.",When I Was 8 I was Forced Too Live W. My Aunt On The WESTSIDE. I Went To Vernor Elementary And I Got Along W. Everybody (3rd Grade)
"I had two altercations with the girl whom I believed to be my girlfriend, but she turned out to be deceitful.",I Had Two Fights W. The Girl Who I Thought Was My role dog but was just a snake
"The guy I was talking to was cheating by conversing with a girl who was using my phone. Essentially, I suppose she was upset.",The Guy I Wastalki 2  Was cheating talking to  A girl  who was playing on my phone.  Basically i guess she was mad
"I can't sleep, my stomach is turning. 2013 seems just like 2012 to me so far.","I CANT Sleep,  My Stomach Turning.  2013 Seem Just Like 2012 Too Me So Far"
"Just because he didn't take me to school, I feel like I should get my nails done today.","Just Because He Didn't Take Me Up To The School,  I Better Get My Fucking Nails Done Today."
"I know TRAVEY is mad at me, but I can't move. I'm light-headed, keep throwing up, and I can't eat or drink anything #Period.","I Know TRAVEY Mad At Me,  But I CANT Move. Im Light Headed,  Keep Throwing Up,  &amp;&amp;'I CANT Eat Or Drink Nothing #Period"
"It's amusing to me how these small female groups really think they can outperform these guys in these groups. Like, what? Laughing out loud. They're trying to gain fame.",Its Funny Too Me How These Lil Female Groups Really think They Can Beat these Niggas In These Groups.  Like Wtf Lmao. Tryna Get Famed Up.
Everyone tune in to the news tonight at 11:00 PM sharp. Channel 7 and watch as my best friend and her family share their tragic story of a loved one.,Everybody Tune In2 The News Tonite At 11:00pm Sharp.Channel 7 &amp;&amp;'Watch Ass My Bestfriend &amp;Her Family Share Their Tragic Story Of A Loved One
I don't even want to change schools anymore. They have just really upset me.,I Dont Even Wanna change Schools No More. They Just Pissed Me The Fuck Off.
I had to hang up on him. I'm straight on him. #Frff He's being so petty. I swear.,Had Too Hang Up On Him. Im Straight On Him #Frff He Fucking Petty Dawg I Swear
"@Gawgeous__ Yes, I understand. That's probably why you haven't given me any attention in so long ^=____^ #dead",@Gawgeous__ yeah u no. That's probably why u AINT gave me non in so long ^=____^ #dead
@juicyandprada I should have been finished opening the door and letting you out at your stop.,@juicyandprada I shoul was Fina open tha door n let yu out at yr stop
I'm trying to go back to school; I need to get my son settled back at Murphy Shaw 1st.,I'm tryna go bak to skool gotta get my son situated bak n Murphy Shaw 1st
"@Ewash1984 lol I'm on, can't burn, lockdown for 3 more months, then I'll match a whole matchbox with you.",@Ewash1984 lol I'm on can't burn lock down 3 more months den ill match a whole match box witcha
"@_ThatGirl_JL0 Yes, they do. We can get along for the sake of the kids. When we have to be best friends one day, these kids are going to need each other.",@_ThatGirl_JL0 yes dey do we can get along fa tha kids sake wen gotta b bffs 1 day dese kids gon need each other
@BMB_Stanka I have been dealing with kids all day and I have to get up early in the morning; I need to go.,@BMB_Stanka I been dealin wit kids allday n gotta get up early n tha morn I need to go
Kicking ass on Ruzzle and I got my ass kicked so I'm too damn tired to keep playing.,Kicken azz on Ruzzle n dun got my azz kicked to I'm to damn tired to b playin
"If I wake her up, she's going to win, and we still aren't going to find them.",If I wake ha up she gon b wining n we still ain't gon find em
"What do you say now? Give it to me, baby? One, two, three, four...",What You Say Now? give It To Me Baby??? 1 and 2 and 3 and 4 ...
"I can demonstrate how kind of a person I can be; I open doors for you, pull out your chair... That's being considerate.",I can show you how nice of a guy I can be I open doors for you pull out your chair ... See that's nice
@SONIXWHITE I'm about to finish school; I have 10 days left. Are you going to New York City next weekend?,@SONIXWHITE  bout to finish school got 10 days left are u going to NYC next weekend
"@AlwayzDave True, I enjoy being busy with work and school... So much good comes from it...",@AlwayzDave true I like being busy with work n school ... So Much good comes from it ....
You have so much money because you live at home with your mom on a twin-sized bed... and you call yourself a boss.,You got so much money cause you live at home with ya Mom sleeping on a Twin size bed ... And u called ya self a BOSS
"I can't understand the preference of a Jamaican man, as men often want to wear loafers and lace-up dress shoes! Shaking my head.","I Can't Zeal Wit A Jamaican Nigga, niggas always wanna wear loafers n lace up dress shoes! Smh"
"@106andpark @Beyonce it doesn't matter... she would sound the same. We know her skills. It was cold. I've got you, B!",@106andpark @Beyonce doesnt matter ..she wud sound the same..we know her skills..it was cold..I gotchu B!
"I have a bottle, I have a model, I have my money, and I have my stunt ball!","Got a Bottle , Got A Model Got My Money And ii Stunt BALL !"
"How I'm feeling > > > But since I don't have anybody to fix that problem <<<""

(Note: The tweet appears to be using emoticons and symbols to express the intensity of the feelings. The conversion to Standard American English retains the original meaning but removes the non-standard symbols.)",How im feeling &gt;&gt;&gt; But since I don't have anybody to fix that problem &lt;&lt;&lt;
"F - For Friends Who Do Things Together; U - For You and Me; N - Anywhere, Anytime at All! Down Here in the Deep Blue Sea!",F - Are For Friends Who Do Stuff Together U- Are For You &amp; Me N- Is For Anywhere &amp; anytime at all ! Down Here In The Deep Blue Sea !
"Kids, dude, got mad at me because I wouldn't help her at school when he was finishing fighting!","Kms , Dudee Got Mahd At Me Cuss I Ainn Help Hym At Skoo When He Was Finnah Fite !"
"This cozy, kissing, cooking, lovemaking, movie-watching, snuggling in that person's arms kind of weather!!!!!","This That Cuddle, Kiss, Cook, Make Love , Watch Moives, Lay In That Person Arms &lt;&lt;&lt;&lt; Kinda Weather!!!!!!"
"LOL, you know when it snows in Jackson, they celebrate it like it's a holiday!",Lmao You Know When It Snow It Jackson!!  Lol They Celebrate It Like Its An Holiday!!!
"Girls do anything for likes; they have everything exposed, take pictures, and pose provocatively just for likes. It's sad.","Bit*hes Do ANY &amp; Everything For Likes,Have They Azz All On The Sink, Take Pics Have Way Naked, Bent Over All In The Camera JustForLike #Sad"
I'm doing well...I had a snack...and I'm going to Buffalo Wild Wings after I drop him off at practice...,I'm good...I had a snack...and I'm going to Buffalo Wild Wing when I drop him off at practice...
"Lord, please let whatever issue this is with my car not cost much and not take long to fix.",Lord plz let whateva issue this is wit my car don't cost much and don't take long to fix...
@Blue_Balty The one I want is black with a 17-inch screen and costs $400.,@Blue_Balty the one that I want is black with a 17 in screen and is $400
"I'm so glad that Mehlville is letting out two hours early today, so hurry up at 12:05.","I'm so glad that Mehlville gets out 2 hours early today, so hurry up 12:05"
"I believe I should remain at home today, but I have a project due for parenting class 2, well that's just great #Sick","I think I should stay home today, but I have a project due for parenting 2, well that just great #Sick"
I will have a friend if people just text me quickly. I hate slow texting.,*.*i Will Hav Friend If ppl just text meh fast ..i hate slow text  *SingleLifee*
"@fckthese_niggas I don't know, what do you have planned? Everything is closed and yes, I'm going to tweet about it.","@fckthese_niggas shidddd ion know , what you you got up?  Everythang closed  and yea im finna tweet it"
"Some of these women need to be duly recognized, but they also know their own strength when they are leaning on something.","Some These hoes need to be Dawged , But Know Ya Backbone When You Leaning."
"When you break up with someone you love, you see that they have moved on, and you want them back.","When you break up with somebody you love , see that they moved on , you want them back."
"@Hp_Dale girl, I'm beaten by you, you hit me with that 40 lol, I just got hip.",@Hp_Dale bitch im beatn yo ass u hit me wit dat 40 lol i jst gt hip.
"@CashYouTheShit I know that's my brother and we're going to ride for him, but he did some foolish things.",@CashYouTheShit ik dats my bro n we gone ride for him bt he did sum dumb shit.
This store is so run-down... How on earth did someone manage to knock an entire bathroom door off its hinges? SMH.,This store so ghetto .. how the hell u knock a whole bathroom door off the hinges smh
"I don't care about anything anymore. If it's not about money, please disregard me!",I don't give af bout shit nomore . If it ain't bout this money MISS ME w / it !
I think I lost a friend because we couldn't agree on some situations that are crazy.,think i lost a friend because we couldnt agree on some situations that ish crazy
Long day and tomorrow will be even longer. Putin is down on our townhome; it's the first step towards our new life.,Long day nd tomoro will b even longer. Putin down on our townhome its the first step towards our new life.
"She has her own apartment, her own car, she takes care of her children, has a good job, she's running her business on the street, but in bed, she's a porn star.","She got ha own crib , ha own car, she take care her kids, got a good job , she bout her business in the street but in the bed she a pornstar"
"Just made me think about the Odyssey, that guy used to be turned up, lol.","Kv just made me think about the odyssey , dat hoe use to b turnt up lol"
I can't wait until I get my own place; a mother-to-be better not ask for anything.,"I cant wait till i get on my own, a muthfucca bet not ask for shit ,"
"Leaving Wingate for the game, I guess. See what's going on up here.","Leaving wingood fina head to the game iGuess , see wats going on up here"
"This is quite amusing #teoing... I feel sorry for Te'o, but it's difficult to believe he allowed it to happen. Where is Scooby Doo when you need them? LOL",This is too funny #teoing... feel bad for Te'o but it's hard to believe he allow it to happen. Where is Scooby doo when you need them. Lol
"My mother and her friends often discuss people, and that's where I get it from.","My Mama And Her Friends Stay Talking About Folks , That's Where I Get It From ."
To be deceived for all these years! I would ask why? They still lie! #It'sCrazyHow,To be lied to all these years! I would ask y? They still lie!.   #ItsCrazyHow
"Even though I don't like you right now, Happy New Year. Love you. Best friend @quantrent.",EVEN DOE I DNT LIKE U RIGHT NOW HAPPY NEW YEARS LOVE U                                     B.E.S.T.F.R.I.E.N.D @quantrent
"Just talked to Adrion; she told me she loves me... Ziyah also said she loves you, little butt.",JUS TALK TO ADRION SHE TOLD ME SGE LOVE ME ..........ZIYA SAID LOVE U LIL BOOTY
@D2_Athlete Y'all are going at it for no reason when none of you have anything to do with it. Let it go; it is what it is.,@D2_Athlete YALL GOIN AT IT FOR NO REASON WEN DNT EITHA ONE OF GOT ANYTHING TO DO WIT IT LET IT GO IT IS WAT IT IS
What if I were with you until I weigh 21 pounds... thinking!,What If I Be w / You Until Im 21 lbs . . . Thinking !
"People often say, my mother looks like she could be my sister. It's interesting to note that they also appear quite mature.","Niggass Be Like , My Momma Look Like She Could Be My Sister .. Knowing They Momma Look OLD af' .."
"I have something for guys who would come to chill at my house, watch movies, snack on some, and not try to have sex all the time! #

(Note: The original tweet contains a spelling error ""cum"" which has been corrected to ""come"" in the revised version.)",IGottaThing4..for guys who wud cum to chill at my hse ..watch movies..snack on sum..n not try to have SEX all da dam time!!#
"Because these tired, fronting, wanting to be a flirt, foolish, disrespectful, sorry, sour individuals aren't going to get anything from me! #

(Note: The original tweet contains derogatory language and stereotypes that are not appropriate. The translation provided aims to convey the sentiment without using offensive language.)",CUZZ DESE TIRED ASS..FRONTIN ASS..WANNA B HOE ASS..STUPID ASS..BITCH ASS..SORRY ASS...SOUR ASS NIGGAS AINT GOT SHIT FA ME!!!#
"I don't understand how they mistake my godson for a girl, even though he has braids, he's wearing boy clothes.",I dont understand how they mistake my godson as a girl granted he got braids but he got on boy clothes
I'm not stressing about anything because I was sincere when I gave you my love.,Ain't I ain't stressin bout a doggone thang cuz I was True when I gave you My love.
"I laughed and told her no, I'm a dedicated worker. I'm focused on my goals. I handle my business.",I laughed and told that hoe nooooo ima hard ass worker. Im on my grind. I handle my b.I. tf
"The way a black woman can carry herself with such authenticity and style, as if it's expensive, never ceases to amaze me! #BlackGirlsRock #FistPump",The way a black a black woman can rock it like its real and work it likes it's expensive never ceases to amaze me! #blackgirlsrock #fistpump
"So I follow RcLifestyleMktg on Instagram, but he has so many names and accounts that I can't keep up! Really!",So I @RcLifestyleMktg on ig but he has so many names and accounts I can't keep up! Really!
"I noticed Frank Gore didn't have time to get his son a haircut this week! Lol, and that's cool, he's going to be a cool guy, regular lol.",I see Frank Gore had no time to get his son a hair cut this week! Lol N that's cool he's gonna be a cool dude reg lol
So my mom just told me to take a seat and she'll call me back in the morning! I'm weak lol.,So my mom just told me to have several seats and she'll call me back in the morning! I'm weak lol
"@MacDaddy_Ken I saw you. Well, just the back of your head. LMFAO, I don't feel like calling your name.","@MacDaddy_Ken i Saw you . . Well the back of your head . lmfao , i ain feel like callin your name ."
"@HoneyVee___ @__Dezznutz @OGkaaywabii_ I love you. I love you too, VeeVee :* :*. LOL.",@HoneyVee___ @__Dezznutz @OGkaaywabii_ I love you . i love youuuuu VeeVee :* :* . lol .
"Well, I'm not leaving for school until tomorrow... I guess I'll be at the Carver/Prep game tonight.",Well not leaving for school til tomar .. Guess I'll be at the carver/prep game tonight.
"@backitupchrish No doubt, I thought you had a problem on your hands or something. LOL, how's everything going?","@backitupchrish no doubt, I thought you had a problem on your hands or something. Lol how's everything going ?"
"@SexyChiick84 Well, I'm not trying to get all mushy, lol... I love you too, because...",@SexyChiick84 awlll dnt be trying to get all mushy lol... I love u too cuz..
Women always talk nonsense. They don't know what they're talking about. Why are you worried about mine anyway? Huh?,Hoes always talkin SHIT ' An don't know what tf they talkin bout why you worring about mines anyways HUH ' ?
#She's not interested in you at all. She doesn't associate with you in any way. You're all outdated and desperate. #Groupie,#Bitch fuck yall all yall we don't fuck wit yall not at all old thirsty ass crusty ass dusty ass #Groupie ass bitch!!
"The best funeral ever is so amusing! These people celebrating a funeral at a fair, carrying a jar of ashes on a ride. I'm too tickled.",The #BestFuneralEver is so FUNNY! These People Celerbrating A Funeral At A Fair. They Carrying A Jar Of Ashes On A Ride. I'm #TooTickled
"I had to make Markia just wanted some attention, so we let her check my last couple of pictures if you want to see them. Big girl.",I had to do Markia jus want some attention so we let hve check my last couple of pixs if u wanna see the. Big bitch lls
"The social media frenzy is really exciting me right now. I'm in bed all day, just playing! LOL.",The #socialshakedown is giving me life right now. In my bed dipping I plays all day!!! Lol
2012 was an amazing year for me! I pray that 2013 surpasses it! #optimistic,2012 was an amazing year for me!  I pray that 2013 blows it away! #optimistic
"@oldskoolchik Okay, cool, I'm glad you made it safely. Laughing out loud! I will definitely do that for you. Have fun and enjoy yourself!",@oldskoolchik O ok kool glad u made it safely..lol i will definitely do that for u! Have fun n enjoy urself!
"Trying to leave so I can relax... Mr. Andre's not allowing it, lol.",Tryin to duck off so i can chill.....mr andre ass is not havin it lol
He asked me why I ignore him all the time because I'm on my grind.,HE ASK ME Y I IGNORE HIM ALL DA TIME&lt;&lt;&lt;&lt; CAUSE I B ON MY GRIND
"Every time this doctor comes into this room, she's on the phone asking another doctor a question.",EVERYTIME THIS DOCTOR CUM IN THIS ROOM SHE ON DA PHONE ASKIN ANOTHER DOC A ?
"Damn, I'm just sitting here thinking about the things I did in 2012, and it was some really bad stuff and drama, but that's not coming in 2013... #TeamSingle.",Damn im jus sittin here thinkin abt tha shit i did n 2012 &amp; it was sum fck up shit &amp; drama but thtz not cumin n 2013.. #Team Single..
"Good morning, Twitter family and friends. What a day to be alive and well. It's raining, and I just want to cuddle up with someone all day.",Goodmornin tweeter fam &amp; friendz.. Wat a day 2 b alive &amp; well.. Itz raining &amp; i jus wanna cuddle up wit sumbody alday..
"I don't love my boyfriend, but he understands that I care a lot about him.","I dont love my boyfriend , but he understands I care alot about him ."
"I would change my name on Twitter, but I don't know how long I won't be single.",I would change my name on twitter but I dont know how long im not gone be single .
I'm about to cut off all my old friends and make some new ones!,", i'm bouta cut all my old niggas off &amp; get some new niggas !!"
"So we get drunk, so we smoke weed, so we go out - that's how it's supposed to be. Young, wild, free.",", so what we get drunk , so what we smoke weed , so what we go out thatd how its suppose to be .. Young wild free biotchhhhs (;"
He's not a real man if he lies about having a girlfriend. Never a big deal!,", He not ah real nigga if he lie about having a girlfriend .... Nevvvvvver big dawggg !!!!"
One thing I dislike is an individual who thinks highly of themselves but contributes nothing. Please leave.,", one thing I hate is a nothing ass nigga . That thinks he's the shit !! Beat ya feet dust bunny"
"I don't engage in disputes over men, I leave that to those who are less fortunate.","I Dont Fight over Dick , I Leave that Shit to you Broke Hoes !"
"I always discover information. I may not express it immediately, but I am aware!","I always find shit out. I might not say it right away, But I know !"
I am extremely frustrated; my mother's boyfriend doesn't know when to stop.,"Im AGRAVATED , My Mom bf dont know When to SHUT THE FUCK UP ."
My only wish is that my friend Keith was here to make things better. # I've been feeling like I'm against the world lately.,My onli wish my nigga keith was here to kill shyt # I been on some fuck the world shyt lately nbs
"I just want to be intimate with your best friend for one night only, and when I am with your best friend, you bet I won't be intimate with your friend.","I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE"
That's really unfortunate; I have to go all the way down the stairs to light my cigarette.,thats fuckd up i gotta go all the way dwn stairs to lite my blunt
You are behaving inappropriately and causing trouble on my timeline. Please stop and show me something constructive.,BITCH ur a low life get the fuck off my tl all yo do is tlk shit show me somthing
I have never had anyone to show me all the things that you have shown me.,I anit never had nobody to show all the thing that u done showd me
@ItsYoungBTW_ It left his cookies in a box on the floor. Sami went in there and took a bite off each cookie.,@ItsYoungBTW_ it left his cookies in a box on the floor Sami went in there and took a bite off each cookie
"I'm about to remove this music from my computer because it's really getting me excited, @ItsYoungBTW_",About to delete this music off my computer because it got my shit going slow @ItsYoungBTW_
It's in two weeks. My cousin can't go and I have an open spot. The trip was $600. I'm just asking for $400.,It's in 2weeks. My cousin can't go n I got a open spot. The trip was $600. I'm just asking for $400.
"The price is $20, which includes 90 minutes of bowling, food, shoe rental, laser tag, and drinks. However, I apologize, but it is scheduled for 10:30 PM on January 18th!","The price is $20 which includes bowling for 90 mins, food, shoes rental, lazer tag n drinks. N I'm sorry but it is at 10:30pm on Jan 18!!!!"
"I am taking my niece, nephew, and little cousin, @__DollyFace, to Cedar Point in June. I have just booked my reservations.","Taking my niece, nephew n lil cousin @__DollyFace to Cedar point in June. Just booked my reservations."
"Well, it's time for me to hit the road and truly celebrate my birthday in the Bahamas!!!! See you later, Chicago. Oh yes, my birthday is on Sunday!!!!!",Well time for me to hit the road n really celebrate my bday in the Bahamas!!!! See you later chi city. Oh yea bday is on SUNDAY!!!!!
"I ball in multiple ways, which means I'm athletic. I've been hustling for 5 years, which means I'm not very good at it.","ii BaLL muLtipLe wayz whicKh mean im athLetiK, uu Been hustLin foR 5 yeaRz whicKh mean uu Bad at it"
@ChrisBrownRCA I'm just thankful that he needs to move on and stop acting like she is the only authentic person he's ever going to be with.,@ChrisBrownRCA just thank that he need to move on stop acting like she is the only real hood chick that he ever going to get.
"Why do people say I'm about to enter the store, but in reality, I'm already inside the store?",Why people say am about to run and the store but real you walking in the store. . .
"@boogie_d Damn, @OldSchool955 95.5 is really jamming. Honestly, I've been locked in all day. Music feels good to your soul.",@boogie_d damn @OldSchool955 95.5 jamming. Real talk I bn locked n all day. Music feels good to yo soul
"@mzjanee, you're mistaken. I'm actually on @Hot1041.",@mzjanee u a fool ' gone JJ' get that 500 million'lmbo u know I'm rocking witcha on @Hot1041
They have me here doing the South Dallas style. I haven't done that since last spring.,They got me in here doin the south Dallas swag. I ain't do dat since last spring
@MsXaviB Repo men come and take an organ until your payments are back in order!!!,@MsXaviB Repo Men Come &amp; Take An Organ Until Your Payments Are Back In Order!!!
"@jonque28 Same old stuff, man. Trying to make money and stay true! We should have a little something to drink soon though. Happy New Year, let's get into new things!",@jonque28 Same ol shit Bruh Trying to get money &amp; stay true!!! We gotta drank a Lil something soon though. New Year lets get into new shit!!
"Man, I'm laughing at myself so hard, and I swear I'm not even trying to lose my balance.",Mannn I be crackin myself tf up n I swear I don't even b trying lbvs
I hope you understand when I say pay before you play with me.,"I hope you, can feel me, when I say pay before you play with me"
Oh. What are you talking about? Please bring a woman something because I'm hungry.,Oh. Wtf your crazy ass talking about?! Just bring a bitch something cause I'm starving
"Oh, all of you are on a bad list. You went to Hong Kong and didn't bring a girl a fry.",Oh all y'all going into shit list.. Y'all went to Hong Kong and didn't bring a bitch a fry
@RESPECTmyflaws @_noLOVE_jstLUST @Luh_Boosie You all better come get your cousin who that girl hit me in the face with a snowball.,@RESPECTmyflaws @_noLOVE_jstLUST @Luh_Boosie y'all better come get your cousin that bitch hit me in my face with a snowball
"@_noLOVE_jstLUST your unattractive appearance did not answer the phone last night. We are coming over there today, around 6 or 7 o'clock.",@_noLOVE_jstLUST your ugly ass didn't answer the phone last night.. We coming over there today.. It'll be about 6 or 7
"When you have a man, there are only a few ways to keep him.",When you got a nigga it's only a couple of ways that you can keep him
"Blessed to be here another day. In case you haven't heard it today, Kiaphia loves you.",Blessed to be here another day.. In case you haven't heard it today Kiaphia loves you..
I'm still dealing with that difficult person over there and distancing myself as much as possible.,I'm still taking this bitch over there and throwing this hoe as far as I can
"@GladimarSimeon yes, he is, but Melo might harm him and he can't shoot well; you'd be better off with a police officer.",@GladimarSimeon yea he is but melo might kill him and he cnt shoot for shit you better off wit a cp3
"Haha, I may have passed away, but you called me fat one day, which was really something back then.",Lmao dies but JE call it fat one day though real shit so it sunthing back there
"@MiszChampagne LMAO, what do you mean? I'm not saying that girl what do you mean.",@MiszChampagne lmao shana wat yu mean i dont b sayin dat girl wat yu mean
"Remember when I first played that song, you said you didn't like it?","Put when I first played that song swagg yu said yu didnt like it it , !"
"@MiszChampagne Man, I'm about to take a little nap. I'll call you later, and you better answer.",@MiszChampagne man I'm bouta take me a lil nap ima call yu lata nd yo ass betta answer
"Just got off the phone with my friend, goodnight. Class at 9:30 AM!","Just got off the phone wit my guy, goodnight 9:30 class in the a.m. !"
"Wanda is acting foolish in her bed, she must be attractive because she's tossing and turning so much that she even yells out!","Wanda goin fool in her bed tf, she must b hawt cause she tossin nd turnin the bitch just yell out !"
"Me and @SpaldinOutBxtch can never be by each other in the waiting room; she's too jovial, LMAO!",Me &amp; @SpaldinOutBxtch can neva b by each otha in the wait room she too jokey lmao !
"I work hard to reach where I am, these people don't want to see you achieve these successes!","I grind to get where I'm at, theses bitches dont wanna see yu get these stackz !"
"I hear Wanda asking everyone if they are waking up in the morning, lol not I said the cat!","I hear Wanda askin everybody is they wakin up in the morning, lol not I said the cat !"
I can't wait until his large head gets off work! I miss him.,"I can't wait til his big ass head get off work, ! I miss him"
"You can tell when people don't have much going on in their lives and they're unhappy; they say some of the most foolish things, SMH!",You can tell when people dont got no life &amp; miserable they do &amp; say some of the dumbest things smfh !
"Cierra, goodbye. Please refrain from using my baby's name inappropriately. Okay?",Cierra bye yu den fuck up keep my baby name out yo damn mouth okayy ! OK
"I swear that by the time I get to the ball, the bass is going to be dropping. Laughing my mind off, like what on earth?",i swear by the time i get to bk the bal gonna be dropping lmao like wtf
"@tameeekkss I swear you're half Chinese, you're giving Asian people such a convincing impression, it's hilarious.",@tameeekkss bitch i swear u half chineese u stay givin asian almost blind realness lmao
"Haha, these foods, but why am I in a car to get them? Lmao, something I'm missing is everything.",Lmaoaoa these weets but y am i in a car to get food lmao smt im missin everything
"Haha, it seems like God always sends me the most foolish men to like me. Haha, where are the compatible ones?",Lmao god always send me the stupidest sign men to like me lmao like god wheres the compatible ones
"No, this man stinks because he is sitting next to me, like my nose is overwhelmed by what is happening right now.",Naaaa baiii this nigga stinkk b y he sittin next to me yo like my nose is like fck is happening right mow b
"So I'm talking to a Capricorn, lol. I need the 411 on them, B.",@BonnieStash so im talkn to a capricorn lmao i need the 411 on them e stash
