aae_text,sae_text
"""I came to work system 2:30pm yesterday, and im still at work .why? Because that's what a man is suppose to do. Im tired but i can't stop""","I arrived at work at 2:30 p.m. yesterday, and I’m still at work. Why? Because that’s what a man is supposed to do. I’m tired, but I can’t stop."
Fellas what we say when see them on the summer. That's that same hoe.  So make the changes that will help you to stop lying to u,"Fellas, what do we say when we see them in the summer? That’s the same woman. So make the changes that will help you stop lying to yourself."
"""@thecoreyholcomb: Peyton Manning fucked up! They won't say it like that but his fetus head ass threw da game away he know he fucked up""","""@thecoreyholcomb: Peyton Manning messed up! They won't say it like that, but his big-headed self threw the game away—he knows he messed up."""
"""@lifetimetv @RobLowe i don't understand that shit.  You lock O J up, and let that hoe go free. She killed a child. How jacked up is that""",@lifetimetv @RobLowe I don't understand that. You lock O.J. up and let that woman go free. She killed a child. How messed up is that?
I feel if sex is the only thang you talking about you should be on Facebook.  Not hating just saying,"I feel that if sex is the only thing you talk about, you should be on Facebook. I'm not hating, just saying."
@blowwwwwww no she can stay home i just want her to cook breakfast ! Lol,"@blowwwwwww No, she can stay home. I just want her to cook breakfast! Lol"
Whatever don't care im not fina argue thats your MAN ! Not mines y'all have a fun while it lasts..,"Whatever, I don't care. I'm not going to argue—that's your man, not mine. You all have fun while it lasts."
"""Bitch i can get me one tf i be putting on , i just don't want one !""",I could get one if I wanted to—I just don’t want one!
You were my Bestfriend for 6 years and you let a nigga come between us !,"You were my best friend for six years, and you let a guy come between us!"
"""He asked me was i  bout my money , i told him damn rite !""","He asked me if I was serious about my money, and I told him, ""Damn right!"""
I'm glad some asking people to reach out to Chris Brown. Where are these powerful spiritual leaders or black celebs. Rih should reach out.,I'm glad that some people are asking others to reach out to Chris Brown. Where are the powerful spiritual leaders or Black celebrities? Rihanna should reach out.
I Cant Believe My Dad Just Asked Mee What Im Still Doing Up like Wtf How Old Does He Think I Am !,"I can't believe my dad just asked me what I'm still doing up. Like, what the heck? How old does he think I am!"
I'm cold as hell but ill b damn if I go down stairs nd turn dha heat up,"I’m really cold, but I’ll be damned if I go downstairs and turn the heat up."
"""@Kaniquaa_Pretty @ThereGo_MilMil x my shit straight , what about yo edge up ? What about it ?""","""@Kaniquaa_Pretty @ThereGo_MilMil My stuff is fine, what about your edge up? What about it?"""
"""Neva trust a women...dnt get mad at me, blame eve. Shouldnt have bit that apple.?""","Never trust a woman...don’t get mad at me, blame Eve. She shouldn’t have bitten that apple."
I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukk yhu hittin a lady for,"I walked up to some guy disrespecting a woman. I told him I might be a virgin, but I know a coward when I see one... #why are you hitting a lady"
If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why be with yhu..# yhu deserve better,"If I can't love you the way I'm supposed to and you would rather be mistreated by someone else, why be with you? #YouDeserveBetter"
I got two side of me one good one bad now that a side effect,"I have two sides to me, one good and one bad; now that's a side effect."
Well aleast this hoe got a job but she need to stop stuntin so hard,"Well, at least this woman has a job, but she needs to stop showing off so much."
Lol nawl fam im single fr me and him just got that connection. Ya feel me ?,"Lol, no, I’m single for real. He and I just have that connection. You know what I mean?"
Lol that fool said you brang home that a honor roll daddy gone get ya them jays.,"Lol, that guy said if you bring home that A honor roll, your dad is going to get you those Jordans."
Im A Libra and my sign is a scale if it dny measure up then a nigga getin killed,"I’m a Libra and my sign is a scale—if it doesn’t measure up, then someone’s going to get hurt."
Tha Bitch Got A Txt Back Once Form Me && Tha Was Wht The Fuck You Want Form Me',"That woman received one text back from me, and it was, ""What do you want from me?"""
"""If I could grow a  perfect pair of breasts, they would sit next to my bed.""","If I could grow a perfect pair of breasts, they would be next to my bed."
Complain about niggas then go back to an ex.. Bitches need some act right cuh,"Complain about men and then go back to an ex... Women need to get it together, man."
"""I had a friend who use to sing for me. That shit made me smile like a bitch""",I had a friend who used to sing for me. That really made me smile a lot.
I'm wasting time looking for a type of perfection that just doesn't exist for me,I’m wasting time searching for a kind of perfection that simply doesn’t exist for me.
If somebody dont want u nomore they find every little thing to say u did wrong so they could leave u,"If someone doesn’t want you anymore, they find every little thing to say you did wrong so they can leave you."
"""Sliding to tobolski strap, 9 ON my wraist  22 on the othet side, 12 gage in the car, in the other 9... im with my niggahs #teamislandboyz""","Heading to Tobolski with a strap, a 9 on my waist, a 22 on the other side, a 12-gauge in the car, and another 9... I'm with my friends. #teamislandboyz"
YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHT HIS LOVE 4 ME DIED.....,YESTERDAY I RECEIVED THE SWEETEST TEXT FROM A PERSON WHO I THOUGHT NO LONGER LOVED ME.....
"""It wuld hve 2b laterroon,yo txtd me n said kum 2dha hse.it will b ah luh afta 3""",It would have to be later on. You texted me and said come to the house. It will be a little after 3.
I got doooope in the bag weed in the bag crack in the bag this is swaaaagg,"I have dope in the bag, weed in the bag, crack in the bag—this is swag."
"""@Freddy_Floater: If I told you I killed a nigga at 16 would you believe me? Hell Yea""","""@Freddy_Floater: If I told you I killed someone at 16, would you believe me? Hell yes."""
I heard jealousy is the ugliest trait we'll Mfs I guess I'm ugly idgaf ...,"I heard that jealousy is the ugliest trait. Well, I guess I’m ugly then—I don’t care."
"""@_Truey973 because I am ! I suppose to be in your eyes ! And if I'm not then u can pass since u got everybody else , I deal with u & you sht""","""@_Truey973 Because I am! I’m supposed to be, in your eyes! And if I’m not, then you can move on since you have everyone else. I deal with you and your stuff."""
"""Idc , how u treat me is how I react to you . Don't get sht fcked up I let it happen to many time .""",I don't care; how you treat me is how I will react to you. Don't get things confused—I’ve let it happen too many times.
@_RespectReal I'm a girl we will be attending ! He ain't goin with no fckin body else lol.,"@_RespectReal I'm a girl; we will be attending! He isn't going with anyone else, lol."
So the btch thought she could play my role & not stay the entitled btch ?,So the woman thought she could take my place and not still be the entitled woman?
Fucking annoyed & I just woke up that's a sign that you go through too much when you young .,"Extremely annoyed, and I just woke up—that's a sign that you've been through too much at a young age."
Baby you are more then just a friend.....and if I ever fall love again I make sure the lady more then a friend,"Baby, you are more than just a friend... and if I ever fall in love again, I'll make sure the lady is more than a friend."
Well may be about that time....got moves to make tomorrow catch me if you can,"Well, it might be about that time... I have things to do tomorrow. Catch me if you can."
I don't need an ash tre the whole world an ash tre to Eddie cane,I don't need an ashtray; the whole world is an ashtray to Eddie Kane.
@ShadedBrklyn lol well im not a promoter so im good...lol...how are you? How was your weekend?,@ShadedBrklyn lol well I'm not a promoter so I'm good...lol...how are you? How was your weekend?
It's pretty scary that before facebook... All these thoughts and stuff just stayed in peoples heads.,"It’s quite unsettling that before Facebook, all these thoughts and things just remained in people’s minds."
"""I'm hungry. Fridge: I don't give a shit. Cabinet: Bitch, don't look at me. Freezer: LOL. You like ice?""",I'm hungry. The fridge: I don't care. The cabinet: Don't look at me. The freezer: Haha. Do you want some ice?
It's like a jungle sometimes it makes me wonder how I keep from going under sometimes!!!!,"Sometimes, it feels like living in a jungle; it makes me wonder how I manage to keep from falling apart."
"""No matter what we've done or where we've been, every single one of us can change.""","No matter what we have done or where we have been, every single one of us can change."
Check how cruel the world is towards men.. A man n Kansas donated sperm 2 a sperm bank.. Years later the women went 4 state care.. etc,"Observe how cruel the world is towards men. A man in Kansas donated sperm to a sperm bank. Years later, the women sought state assistance, and so on."
In front of my kids man .. Them little Mofo's was bad ass hell.. They stopped all that screaming 2 .. Lol,"In front of my kids, man... Those little troublemakers were really misbehaving. They stopped all that screaming too. Lol"
u niggas getting bold huh. 1st someone steals a beer truck from Bourbon St & now a damn S&WB truck.,"You all are getting bold, huh? First someone steals a beer truck from Bourbon Street, and now a S&WB truck."
If my manager changes his motherfucking mind 1 more got damn time abt these signs......SCREAMS!!!,If my manager changes his mind one more damn time about these signs... I’m going to scream!
I'm sorry there is too much work out here to be paid for in regards to the SB next mth. Y volunteer?,"I'm sorry, but there is too much work available to be paid for concerning the SB next month. Why volunteer?"
If one more person walk in here while I'm eating asking abt fingerprinting. I will tell them go back toity Hall & reschedule cuz I'm booked,"If one more person walks in here while I'm eating and asks about fingerprinting, I will tell them to go back to City Hall and reschedule because I'm fully booked."
"""Ok. On my twitter my old saints hat avi is up, it should be me in a blue dress. What avi do yall see?""","Okay. On my Twitter, my old Saints hat profile picture is up; it should be me in a blue dress. What profile picture do you all see?"
Popeye the crackhead....maaann I swear whenever The Rock gets on the mic. The pg rating goes out the window,"Popeye the crackhead... Man, I swear, whenever The Rock gets on the microphone, the PG rating goes out the window."
@JamesonPost nevamind cuz its a 12pm game. I didnt have plans on getting outta my bed til 2 cuz i thought it was goin to be a late  game,@JamesonPost Never mind because it's a 12 p.m. game. I didn't have plans to get out of bed until 2 because I thought it was going to be a late game.
I gotta try to keep my attitude in check while at work....*sigh*...at least til after Superbowl,I have to try to keep my attitude in check while at work... *sigh* ...at least until after the Super Bowl.
@Ms_Chachere ummm..do I need to go back & read ur tweets for all this fuckery i missed earlier?? lol,@Ms_Chachere Umm... do I need to go back and read your tweets to catch up on all the nonsense I missed earlier? Lol
@Southern_Girl3 but what if the car is stolen from in front the house? it has happened,@Southern_Girl3 But what if the car is stolen from in front of the house? It has happened.
"""So, instead of her being  transgendered she was really a lesbian for 15yrs & he was goin to be her 1st bfwooow""","So, instead of her being transgender, she was actually a lesbian for 15 years, and he was going to be her first boyfriend. Wow."
We got the trapper bring loud to us.. now that's what we call a supplier,We have the dealer bringing high-quality marijuana to us… now that's what we call a supplier.
@RIead_MYLipps shut up we all kno each other and I had to ask someone to confirm wat me time is,"@RIead_MYLipps Be quiet, we all know each other and I had to ask someone to confirm what ""me time"" is."
Morning love bugs! Up and at it early today! Feels good to dress like a human for work!,"Good morning, everyone! I’m up and active early today! It feels nice to get dressed properly for work!"
@yourRHOleModel True!! They need to let me play!! He'll I can make a layup and get a rebound!!! Shit!!,"@yourRHOleModel That's true! They need to let me play! Hell, I can make a layup and get a rebound! Damn!"
Happy Founder's Day Alpha Kappa Alpha! Big ups to Alpha Rho!! And my sands of SP 09!!,"Happy Founders’ Day, Alpha Kappa Alpha! Congratulations to Alpha Rho, and to my line sisters from Spring 2009!"
"""Listening to Lloyd's Dedication To My Ex and he should have put CeeLo on that junt!!""","Listening to Lloyd's Dedication To My Ex, and he should have put CeeLo on that track!"
@ernest2sexy at least u relaxing... My own pa I in skool registering for classes... I coming have all late classes smh,"@ernest2sexy At least you’re relaxing... Meanwhile, I’m at school registering for classes... I’m going to end up with all late classes, shaking my head."
@foreavahiswife i dnt care if it small lol...i still want sum...save my own i coming,"@foreavahiswife I don't care if it's small, lol... I still want some. Save my own, I'm coming."
"""Ok so my lonely ass dnt have a valentine, but da least someone can do is buy me sum chocolate...that'll be nice""","Okay, so my lonely self doesn’t have a valentine, but the least someone could do is buy me some chocolate...that would be nice."
@foreavahiswife they be acting like they never seen a fat ass before...i can be cussing them good lol,"@foreavahiswife They act like they've never seen a big butt before... I could really be cursing them out, lol."
- I hate those people who only talk to you when they need something . don't you ?,I dislike people who only talk to you when they need something. Don’t you?
This nigga on Maury tryna say only 1 of his girlfriends twins is his....niggas be sayin ne thing,This guy on Maury is trying to say that only one of his girlfriend’s twins is his… people will say anything.
"""Casino today tho...its time to come up (jayz voice from reasonable doubt coming of age)""","Casino today though... it's time to succeed (Jay-Z voice from Reasonable Doubt, ""Coming of Age"")."
If they announce that bigfoots r real theyll go extinct in a month cause erbody will be hunting them exlensive ass furs ctfu,"If they announce that Bigfoots are real, they’ll go extinct in a month because everyone will be hunting them for their expensive furs. I can’t stop laughing."
#welesbians should have our own show something. like house. wives on someone network. like #logo,"#WeLesbians should have our own show or something, like Housewives, on some network like #Logo."
Please Stay Tune For DWC Smackdown In The Next Our 8:00 And Check The Webiste After The Show To see The Complete Results Of The Show,"Please stay tuned for DWC Smackdown at 8:00, and check the website after the show to see the complete results."
@Shopinat_jaMAL i D K Yet ... Norcom Gone Put Our Black Ass Out If We Keep Ths Shit Up lols,"@Shopinat_jaMAL I don’t know yet... Norcom is going to kick us out if we keep this up, lol."
"""@MadeInn_amERICA cause when i bee out norfolk all i hear is SO SADD  i bee like naah mf SO HAPPY ""","""@MadeInn_amERICA because when I am out in Norfolk, all I hear is 'so sad.' I’m like, no, I am actually so happy."""
My Brother come home frm jail tooday lasttime i seen him i was 3 but its cool cause ion even fw tht side of the family,"My brother came home from jail today. The last time I saw him I was 3, but it’s fine because I don’t even mess with that side of the family."
"""Just Seen Tht Baby Porno , Im Dead Tht Lil Bitch Fell Out At The End !!""","I just saw that Baby video, I’m dead—that little girl fell out at the end!"
"""@CIDKJ over here slippin on his pimpin...as #RIPPimpC would say  Ima tell the pimp god that you is a sinner lol #lookinass""","@CIDKJ is slacking on his game over here... as #RIPPimpC would say, I’m going to tell the pimp god that you are a sinner lol #lookingatyou"
Can't wait to this hit the fan and im coolin wit all the great's ...,I can't wait for this to hit the fan and I'm relaxing with all the greats...
"""@Royceda59: And I know that Hilary was supposed to be the Shopper on the show but Carlton had more gear than everybody lol I peeped that""","""@Royceda59: And I know that Hilary was supposed to be the shopper on the show, but Carlton had more outfits than everyone else, lol. I noticed that."""
Ravens!!!!!!!!! Still have one more team still in there. Congrats to the FALCONS for making it this far!!!!!!!!!,Ravens! I still have one more team left in the playoffs. Congratulations to the Falcons for making it this far!
"""Its just a few niggas that will go through the storm with you , and make it back out as close ass we was when you went in""",There are only a few people who will go through tough times with you and come out just as close as you were when you went in.
"""Niggas stay tryan play girls , like my nigga tf you doing thats bs . You a hoe my nigga fuck you""","Guys are always trying to play girls. Like, dude, what are you doing? That’s nonsense. You’re a player, man—forget you."
"""i cut #oomf off like datttt! shawty was too sometimy, dont have time for that""","I cut one of my followers off just like that! She was too inconsistent, and I don't have time for that."
"""Been reading and came across this Failure is temporary, Victory is Permanent because God cannot fail - Bo Sanchez""","I was reading and came across this: Failure is temporary, victory is permanent because God cannot fail. – Bo Sanchez"
"""when people tell me that they look up to me I cant help but smile but I remain humble, being a role model is something special...""","When people tell me that they look up to me, I can’t help but smile, but I remain humble. Being a role model is something special…"
@Amour_skinnyx: befoe u miss my punkin let the fish suckin on yo neck noe u dont miss ha lips<<<< @ItsA_Gee_Thang niggaz on dat #FuckShit,"@Amour_skinnyx: Before you say you miss my pumpkin, let the girl kissing your neck know you don’t miss her lips. @ItsA_Gee_Thang guys are on that nonsense."
I need a boo thang Smh. It was pointless to take these days off to sit in the house bored,"I need a significant other, shaking my head. It was pointless to take these days off just to sit at home bored."
Like a bullet your love hit me to the core I'm was flyin until u knock me  to floor it so foolish how u keep me wanting more,"Like a bullet, your love hit me to the core. I was flying until you knocked me to the floor. It’s so foolish how you keep me wanting more."
Are you good tho ? Mind ya fucking business and go hop on another dick,"Are you okay, though? Mind your own business and go bother someone else."
I told myself I was never gone have kids until the right one stepped into my life @iAM_Yonn,I told myself I was never going to have kids until the right one came into my life @iAM_Yonn
But i guess for you it's fuck he  gone do what he wanna do he don't like being told what too do,"But I guess for you it's, ""Forget him, he's going to do what he wants to do. He doesn't like being told what to do."""
@Lilbreezy_2k we miss you to we still in the same spot your ALWAYS WELCOME to come by,"@Lilbreezy_2k we miss you too, we're still in the same place. You're always welcome to come by."
'asking dha lord to give me dha strength to do dha things i need to do !,Asking the Lord to give me the strength to do the things I need to do!
"""'whether its fbk twitter or ig, keke slow ass always give me a laugh..rotflmmfao...guhh..smh lol""","""Whether it's Facebook, Twitter, or Instagram, Keke's slow self always makes me laugh. Rolling on the floor laughing my [expletive] off... girl... shaking my head, lol."""
When New Years get here ima try to be a better person for myself #2012HasTaughtMe #2013AlreadyDope,"When New Year's gets here, I'm going to try to be a better person for myself. #2012HasTaughtMe #2013AlreadyDope"
I told my self I was vamping tonight .. But I think I lied !,"I told myself I was staying up late tonight, but I think I lied!"
"""Time to wake them up .. They fell asleep in my mom room , smh !!""","Time to wake them up... They fell asleep in my mom’s room, shaking my head!"
You look retarded ladies if u in the club lookin busted but walkin around at the club tryin to show off your YSL purse girl sit down lol,"You look ridiculous, ladies, if you’re at the club looking a mess but walking around trying to show off your YSL purse. Girl, sit down. Lol"
"""@Eb_Sosaaa , brovaaa ' i called uu wen i got off . i need you . . im hving them problems again and im going off :/ #Bad !!""","""@Eb_Sosaaa, bro, I called you when I got off. I need you. I'm having those problems again and I'm losing it :/ #Bad !!"""
U are a liar wen ur telln me I didnt read a text frm ur cell aftr I qoute it word4word thn u say I made it up sorry but im not that creative,"You are a liar when you tell me I didn’t read a text from your phone after I quote it word for word, then you say I made it up. Sorry, but I’m not that creative."
Dang she has a bfor work boo so does that mean she im her after work boo (nicki minaj voice urrrggg,"Dang, she has a before-work boyfriend, so does that mean she’s her after-work boyfriend? (Nicki Minaj voice: ugh)"
I need no girl if u ain't got no money for me or if u ain't fuckin I have no time for the bs on life sorry #SQUAD,"I don’t need a girl if you don’t have any money for me or if you’re not having sex with me. I have no time for the nonsense, honestly. Sorry. #SQUAD"
@CarrieMyTweet u foolish it was the best !! We r not allowed at seafood buffets anymore!!,"@CarrieMyTweet you’re ridiculous, it was the best! We are not allowed at seafood buffets anymore!"
"""Time To Grow Up Real Shit, If You Aint got Nun Better To Do Than To Hype People Up To Fight, Then Sum Wrong""","Time to grow up, seriously. If you don’t have anything better to do than to encourage people to fight, then something is wrong."
Im lke fck love if i cnt love him then i dnt want to love anyone eles,"I'm like, forget love—if I can't love him, then I don't want to love anyone else."
"""Woke up this mornin feelin really good,takin the bois out for sme well needed air...""","I woke up this morning feeling really good, taking the boys out for some much needed fresh air..."
"""I Swear I Go Thru The Most With Tarajii Daddy...Smh But I'm Sneaky? Gid A Break,Evrythin Was Built On Lies.I'm Movin On For 2013.""",I swear I go through the most with Tarajii’s dad... Shaking my head. But I’m the sneaky one? Give me a break—everything was built on lies. I’m moving on for 2013.
"""LOL @teetee_wazhere  I want 2cum in ur room n lay on ur bed n laugh alil, make u mad n then leave n go n my room, mommy missn her baby girl""","LOL @teetee_wazhere I want to come into your room and lie on your bed and laugh a little, make you mad, and then leave and go to my room. Mommy is missing her baby girl."
Man I know det BLACK AFFAIR tomorrow gone do CRACK NUMBERS fr TTFU #BLACK AFFAIR BLACK AFFAIR I can't wait..,"Man, I know that BLACK AFFAIR tomorrow is going to have amazing numbers for real, turn the function up. #BLACKAFFAIR BLACK AFFAIR I can't wait."
Lord watch ova miy baby while he out et the club : )) GOODNIGHT TWITTER miy baby looked so good tonight kmsl #JR,"Lord, watch over my baby while he’s out at the club :)) GOODNIGHT TWITTER. My baby looked so good tonight, I’m dying laughing. #JR"
Standing in dis hospital room wif my uncle EARL they finna pull the PLUG damn man shit so crazy and FUCKED up.,"Standing in this hospital room with my uncle Earl, they’re about to pull the plug. Damn, man, this is so crazy and messed up."
He is Nothing but a wanna be dets why I didn't give his ass da time of day!,"He is nothing but a wannabe, that’s why I didn’t give him the time of day!"
@iamBooneyB I am mama I'm not I been on a drought anyways ion want no baby.  #No GO,"@iamBooneyB I am, but I’m not. I’ve been going without anyway, I don’t want a baby. #NoGO"
Stalking ass hoe I know all about yuh but I ain't da type ta expose dezs hoes.,"Obsessive woman, I know all about you, but I'm not the type to expose these women."
@rmiley16 noooo dnt be mad :( i had to play doctor wit tay last nite txt me were u stay and we'll come ova and do it some time this week,"@rmiley16 No, don’t be upset :( I had to play doctor with Tay last night. Text me where you live and we’ll come over and do it sometime this week."
@TejuAluko :( I have a dr appt over lunch ugh! I'm free thurs and fri,"@TejuAluko :( I have a doctor’s appointment during lunch, ugh! I’m available Thursday and Friday."
Really don't feel like going out.. Long week and I need to get my crib in order!,"I really don't feel like going out. It's been a long week, and I need to get my place in order!"
The way the media is going in on this Bey lip syncing thing... Was she just inaugurated?! Get off Bey!,The way the media is criticizing this Beyoncé lip syncing situation... Was she the one who was just inaugurated?! Leave Beyoncé alone!
Empower people to own our brands! Creating marketing that is social! Brands can be a change agent #kmc13,Empower people to own our brands! Create marketing that is social! Brands can be agents of change. #kmc13
@SoSoYellow I am just saying! Dude bragged about having a chopper in the car and fled a shooting LOL,"@SoSoYellow I’m just saying! The guy bragged about having a gun in the car and ran away from a shooting, LOL."
"""In life, you just have to do you and forget what everyone else thinks #morgoism""","In life, you just have to be yourself and ignore what everyone else thinks. #morgoism"
"""Dec 26, 2011 if I could talk it back I swear I would,  & I dont even swear...""","December 26, 2011: If I could take it back, I swear I would—and I don't even swear..."
"""Lol I forgot,  own get mad no more,  it gota b some real serious to miss me off.""","Lol, I forgot, I don’t get mad anymore; it has to be something really serious to make me upset."
"""<<<< Freaking love my aVi..  old skol swagg,  look like sum1 off a ghetto story movie""",I absolutely love my profile picture. It has old school style; I look like someone from a street movie.
"""Some of these fake people are so good at playing real..	0.889230769231	0.0	0.0	0.110769230769",Some of these fake people are so good at pretending to be real.
"296359328884068352	Tue Jan 29 20:49:04 +0000 2013""","Certainly! However, I need the text of the original tweet in order to provide a translation. Please provide the tweet's content, and I will translate it from African American English (AAE) to Standard American English (SAE) as requested."
"""Niggas take a Flintstone vitamin & go on twitter talking about they popped a Molly! -_-	0.974117647059	0.0	0.0	0.0258823529412",People take a Flintstone vitamin and then go on Twitter claiming they took a Molly! -_-
"296741157260632064	Wed Jan 30 22:06:19 +0000 2013""","Certainly! However, it appears that you have provided only the tweet's ID and timestamp, but not the actual text of the tweet. Please provide the content of the tweet you would like translated from African American English (AAE) to Standard American English (SAE), and I will be happy to assist you."
You can I love you a thousand times but if you don't show it I don't feel it && its NOT real,"You can say ""I love you"" a thousand times, but if you don't show it, I don't feel it, and it's not real."
Goiin tew school pissed df owf bhudd ik its gne change soon as isee somebdy lls :),"Going to school pissed off as fuck, but I know it’s going to change as soon as I see somebody lol :)"
In my room just starrin et da ceiling thinking bout all da money I made today off dez fuck niggas,"In my room just staring at the ceiling, thinking about all the money I made today off these guys."
"""Could be, but can't no nigga or female say I'm fake n be truthfully speakin @xLowOnaHoe: The term real nigga is overrated.""","It could be, but no man or woman can truthfully say that I’m fake. @xLowOnaHoe: The term “real man” is overrated."
"""cause I know I dont@GeminisWeAre: #Gemini is a really blunt person, they usually don't care what people think.""",Because I know I don't. @GeminisWeAre: #Gemini is a really blunt person; they usually don't care what people think.
Its a must to read a book 3 times over to unleash its full potential !!,It’s essential to read a book three times to unlock its full potential!
when my voicemail notification stay on the notification bar after been checked < go tf away,When my voicemail notification stays on the notification bar after I’ve already checked it < please go away
"""@RoCk_My_KiTtIe: Y the assembly center desk better that any other building? *.newest building always have sumin new....""","""@RoCk_My_KiTtIe: Why is the assembly center desk better than any other building? The newest building always has something new..."""
*.ova here chillin wit da homie @T of 16 years it may b more.. @TRIPLE_THREAT87  @Qewt_ta_denU  n @iBAD_RESTmyCASE,"Over here hanging out with my friend @T of 16 years, maybe even more... @TRIPLE_THREAT87 @Qewt_ta_denU and @iBAD_RESTmyCASE"
*.let me ask hiz azz wat he wnt 4rm me..cz aint gt nuthin fa ya!!!....,"Let me ask him what he wants from me, because I don’t have anything for you!"
*.nw im gne ta sleep gotta gt up at 3:50am..so mi cuz cn gt packed so we cn gt on da road....,Now I’m going to sleep. I have to get up at 3:50 a.m. so my cousin can get packed and we can get on the road.
"""@RIPGrandmaa_ lol I'v been in the cut , & going too the movies . Getting turnt up you know me Lls!""","""@RIPGrandmaa_ lol I’ve been laying low and going to the movies. Having a good time, you know me! Lol!"""
"""Lls smh.@_doriann: @Kevy__ Lls , cause people was giving me too much about it so I just changed plans""","LOL, shaking my head. @_doriann: @Kevy__ LOL, because people were giving me too much about it, so I just changed plans."
That game Friday at crossland was too funny. Rico and them was siccing Kirk when he got off the bench.,That game on Friday at Crossland was really funny. Rico and his friends were teasing Kirk when he got off the bench.
Caint fucking wait till I get my phone omg I'm goiong too be the happiest person ever,"I can't wait until I get my phone. Oh my God, I'm going to be the happiest person ever."
Instead of a 2 hour delay we shouldn't just have school at all whats the point..,"Instead of a two-hour delay, we shouldn't have school at all. What's the point?"
Im goiong too let you doo my hair sis if my sis don't do it ok? @_QUEENzy,"I’m going to let you do my hair, sis, if my sister doesn’t do it, okay? @_QUEENzy"
@HotCommodity29 I know how to pick my battles... It's simply time out for being sensitive ... Nobody ever cares but me anyway,@HotCommodity29 I know how to choose my battles... It's just time to stop being sensitive... Nobody ever cares except for me anyway.
But I want y'all to know that Heather is officially turned into a bird via her cell phone,But I want you all to know that Heather has officially turned into a bird because of her cell phone.
@_KingTwitta_ Somebody Told Me You Got Yo Ass Punched 129 Times Is Dat True ?,@_KingTwitta_ Someone told me you got punched 129 times. Is that true?
@AndreaHill_ It Ain't Working Son You Gotta Tell Her Cus She Ain't Listening To Me .,"@AndreaHill_ It isn’t working, man. You have to tell her because she isn’t listening to me."
I Wonder If I Call Her In The Morning Before School One Day I Wonder Will She Answer ?,"I wonder if I call her in the morning before school one day, will she answer?"
Man I Can Fuck A Bad Bitch Quicker Than You Can Count To 123456 ! n#Boosie,"Man, I can have sex with an attractive woman faster than you can count to 123456! #Boosie"
@WhoDatBe_TonyB We Play Neville Friday At Wossman & We Go To Neville Next Wednesday .,"@WhoDatBe_TonyB We play Neville on Friday at Wossman, and we go to Neville next Wednesday."
@AdoreMyDesigner: Nigga Ah Tell You Sun Shit && Tell ALL His Other Hoes The Same Thing That's Why I Be Like Fuck Em Bra!,"@AdoreMyDesigner: A guy will tell you something and tell all his other girls the same thing. That’s why I’m like, forget them, bro!"
"""@MyKushPink: I remember when I couldn't wait to be 16. It don't feel like shit! LOL ikr.""","""@MyKushPink: I remember when I couldn't wait to be 16. It doesn't feel like anything! LOL, I know, right?"""
"""Ion smoke cause idnt see the point , you be high for sum la' minutes & gotta fye up again , THATS DUMB .""",I don’t smoke because I don’t see the point; you’re high for a few minutes and then have to light up again. That’s dumb.
"""These hoes Lowkey jealous of you !	0.92	0.0	0.0	0.08",These girls are secretly jealous of you!
"289274654449881089	Thu Jan 10 07:37:06 +0000 2013""","It appears you have not provided the actual text of the tweet, only its metadata (tweet ID and timestamp). Please provide the content of the tweet you would like translated from African American English (AAE) to Standard American English (SAE), and I will be happy to assist!"
"""Icant wait tell this weekend , im going get TATTED up , my mama gone want beat tf out me ... Ion care tho""",I can't wait until this weekend; I'm going to get tattooed. My mom is going to want to beat the hell out of me... I don't care though.
"""@PrettyShitOnly: When I Am Do I Aint Got Nobody To Talk Too But When Yall Hoes Down I Am Dr.Phils FUCK YALLL FOLKS LOLS you got me !""","@PrettyShitOnly: When I’m down, I don’t have anyone to talk to, but when you all are down, I’m like Dr. Phil. Forget you all! LOL, you got me!"
"""Oomf just dont know, ill have his pockets FLAT AS AH WHITE BITCH ASS !,. Igets my $$$""","One of my followers just doesn’t know—I’ll have him completely broke, as flat as a white woman’s butt! I get my money."
"""ima be mad if ride man playing  , im trying to go C my bby , MANNNNNNN!.""",I’m going to be upset if the ride isn’t working. I’m trying to go see my baby. Man!
"""@sincerlynaughty: you let me know if you need me you know im coming threw squezzing @EastendLilman Fasho""","""@sincerlynaughty: Let me know if you need me—you know I’ll come through ready, @EastendLilman. For sure."""
50 round clip hangin out da bottom let off wat I miss an my yung niggas got em .,"50-round clip hanging out the bottom, I let off what I missed and my young guys got them."
@GoGetta_Benford I be down at way toma prolly I was just down er lookin fa u doe,"@GoGetta_Benford I am usually down that way, probably. I was just down there looking for you though."
"""Omq, Im So Freakinq Hunqry. I Dnt Feel Like Cookinq Soo, Im Bouta Juss Smash On Dese Pizza Rollz.""","Oh my God, I’m so freaking hungry. I don’t feel like cooking, so I’m about to just eat these pizza rolls."
Happi new year 2 mi baby mussin hin but I love u bae happi new year...................       #freecklip,"Happy New Year to my baby, missing him but I love you, babe. Happy New Year... #freecklip"
"""Bitch you know you love this life, don't nobody do you like me, you knowwwwww!!""","You know you love this life; no one treats you like I do, you know it!"
