aae_text,sentiment
@Mr_NYK32 @ShiGorgeous @AnthonyDeodati @lishabooox0 @Fifibabii THATS NOT WHAT SHE SAYING . That was said . Whats the point in lying ?,negative
@Fifibabii Lmaooooo I know ! I saw her name like 5 mins ago . And I was like WHAT THE ACTUAL FUCK !?,negative
"""Is it bad that every time my laptop acts up , I take the battery out ......""",neutral
Now I have to change my settings so my messages don't pop up anymore . Bitches .,negative
Wooow u kno how long itz been since a nigga watched little bear lmaooo nick jr taken me bk,positive
Ups bet not act like no bitches. Im hittin da marriot up tomm. Hope they talkin bout sumthiinn #jobhunting,neutral
Yea gurl u got yaself a winner but the only way im winnin is if u standin at da finish,neutral
Have I told yu I loved yu Have I told yu that yu mean the world to me Have I told yu I loved yu ill b your wishing well tell me what yu want,positive
"""I kno slug gone help me.. Not that im expecting his help, I just kno he gone hold me down..""",positive
Juanita is weak.. We all get weak ova a nigga shid but damn.. The last nigga yu should b stuck on is my father.. Rs,negative
"""Love is sooo fuckin scary. Cuz once yu fall yu, yu basically given them the go to fuck some shyt up..""",negative
I will tell him soon. I will put his book to the test just what I needed Formula 50. I will soon have pictures of Xerveo loss.,neutral
And when I go through the transformation of my body on his Book formula 50. I will keep everyone on update. I will still be on Xerveo motion,positive
Formula 50 and Xerveo motion that will be one of my topics for my show soon.  Who knows maybe i will get 50 to use xerveo motion. Lol,neutral
"""i don't know how people like me so fast, maybe because im to friendly or im just to happy ..""",positive
"""People always think im always happy, if yall only knew what I be thinking in my head.. Hm..""",negative
"""@chikki_kush cause i was ready to go home, so i just went and got on my bus""",neutral
I only talk to one person in PE the rest I either don't like or I don't click clack with them,neutral
"""Diiss Foolish ,Dry Mouth, Lonely Ass Hoes jazz nd Bree Mad Kuz Ii Dont Like Angel Ass -_- o_0""",negative
@__CarmenKash ii need dat shyt now ii kaint do diiss shyt wiith ur bf. Anymore,negative
And they wonder y bitch u throw back! Then u let him hit for some strong!,negative
They think I be hard on them but I just don't want them to be no failure!,positive
@CHeLLe_LiSCiouS and you didn't call to check on me when I said I'll be back,negative
@U_Sound_Goofy wen u ready bro n  i ain't forget bout dat dub etha bro u good,positive
@Mekiaaa RIGHT & he loved them sooooooo much get real he act like a little boy.,negative
I swear people loose they life like this. Don't fucking fuck with my SIBLINGS I'll kill u on all of them!!!!!,negative
@Mr_Str8Forward That's foul and I thought u was better then that Mekia diserves to know what was said about her to but W.E I'm done,negative
@_LickMyWetness NOBODY WASN'T EVEN TALKING TO U YOU ASKED A QUESTION I ANSWERED SO CHILL ON THAT U DON'T TALK TO US,negative
I'm gone straight have him go to the store for me cause I want some snacks,neutral
This bitch said she scared of her daughter I have NO RESPECT FOR EITHER OF THEM.,negative
@___Reauna Lol you Gotta have a lil something my booty is not little It's flat,neutral
Females get mad cause they boyfriend like other females pictures I'm convinced bitches is INSECURE!,negative
5 years from now they're going to be there and you're going to still be trying to make it. #Live4You,positive
"""School is one thing that I don't play with. I hate asking favors but when I do, don't play games with me. *shakeshead*""",negative
I think its sad that we can do business together but we cant build a relationship..smh #blood,negative
A lot of steady clips no actin no sex bitch I only want the neck bitch,negative
"""Fuck a nigga, my son is the only man in my life. And comes before all.""",negative
"""I love my son every second, of everyday more than anything in this world. #MothersLove""",positive
"""@PourAmourDeMoi No lol. I need our generation to grow some balls,a soul, and stop flooding my TL with the same sap ish lol. But wassup tho=)""",neutral
"""@KISSmyVuiton: @_BitchessHateME ion want one of em cause he to controlling &' da other one ain't never text me, tell him to hml.! K""",negative
- Bitches Not My Equal If I Fuck w/ You It's Only Because You Can Relate To Me & Wadd I Got Going On.,negative
- I'll Fuck With You But It's With A Long Handled Spoon Ion Put Nun Pass These Hoes !,negative
"""- If I Was A Fake Shady Spiteful Bitch , I Could Do/Say Some Shit That'll Make Ya Kill Yaself .""",negative
&' I Done Lost A Few Friends On The Way But They Wasn't Really Widd Me All The Way #FuckEm,negative
Only Lil girls get mad at u an wanna put yo bby in the middle like she cnt come ovr nomore an shit just cause u an ha not together.,negative
@TheRealAntonia  hot breath ass dnt let me bust u out lol in the bath room,neutral
"""@MoneJoyJr: Im a bit late but Y in the hell they shootin up sky...that's my question!who shooting mone""",negative
Why should I stop being cool with her because you have a problem with her....,neutral
@GwapsB4Niggas Hol Up Boo FREEZEEE! ! i juhh Askedd a questionnn!  Yeen gotta doo all dat reallyy! ! Cuhh Yhu cann gt it too,neutral
When was the last time The Texans won the Super Bowl?!?!?! Is it Never??? Ok just wondering,negative
"""I Havee ONE Date That I Hold On To Likee NO Other Because With That ONE Person I Still Feel Likee There's Chance, Unfinished Love""",positive
Stay'dd Up ALL Night Still Not Sleeping And Everybody Else Fell A Sleep On Meh..!! nniG It's Just Me && My Light Switch,neutral
Me an my gurl gne on half of a pill dnt know why but thats how it is then we take a flight bak to da crib an make love like two college kids,positive
Guess im going to da tity bar again tonite long as my strippers love me YEA YEA n my Future voice,neutral
"""Hello,hello who this? Hold on money calling my boy @thejuelzsantana  listening early my motivation! Thank you""",positive
Didn't want to do it but had to she scared to let it be known!!!!,negative
@rinnaiy by hook or by crook wake me up 7.30 my life is in ur hand,neutral
It's cool to dream those dreams that made you strong Kept you fresh and on your toes Forever eating the highs and lows nOf today,positive
"""Either you getting paid, or you playing to pay. Either you on your grind, or you bullshitting everyday. Simple as that.""",positive
I've been grinding hard and hard forever haters probably wonder when I'm gone stop never! most of it been good but I seen some bad weather.,positive
"""You want it all, but it's more than you can see. You dnt know just how precious life can be. You can go blind chasing the light.""",positive
Money ain't a thang bitch that's a lie it only controls ery bitch that's alive. (Rick Ross),negative
"""@ItsJus_Love @Love_MyTweetss -___- I only do clear. If it aint clear, dont touch me. AND NO GLITTER""",negative
"""@ColorMe_Kayee: thank god for Jamirria & M&M cus i sure was finna go home lol dont forget. Practice tomorrow and thursday also""",positive
Girl call me jolly rancher cause I stay so hard you can suck me for a long time OH MY GAWD,negative
cut it bk on && have a ass load of txt messages...epecially dem two from ya lil boo,neutral
hey guys good morning...... God is working.... you might not see it.. but you will feel it soon,positive
I'm an old soul ...  Lol sitting here in the dark watching this corny BET blackstar movie,neutral
S/O to umes..... Mehn I love my school ... We was deep at Eden last night.... Seen niggaz I ain't seen since I graduated,positive
I'm off until freakin Monday... This shit is strange ... Haven't had these many days off in like 4 years,negative
Bitches be lying on twitter to to look good...idiot I know u in real life... Cuz we all know twitter ain't real,negative
Lol bulbs for my headlights cost $99 a piece... Like this can't be real life,negative
@Just_CallMeDebs I like butt pics ... Wat u talkin bout... Lol men like that shit,neutral
@_iJustThuggem_ That niggah that just told you that you was beautiful is ugly af BB,negative
"""@_iJustThuggem_: Glad My Dude Aint No Here , He Wouldve Told Dudee Some Words #Kmsl""",positive
I HATE WHEN I SAY SUM FUNNY A FEMALE GOTTA GO AND SAY IT TEW SOMEBODY ELSE A WEEK LATER... I BEE LIKE B***H STFU WHY YU STILLING LINES,negative
"""We all know Sophia stay lying... Even w/ a straight face... Talking about I'm lying, it really was randomly calling people.""",negative
Its always funny to see arguments between these two on twitter where's Dob hes usually in them! @W1LLDAB3AST @j_sinclair92 @zachrobinson_13,neutral
I swear sum of the things niggas say n will do to get a piece of pussy. No Thanks I'll pass.,negative
I felt bad an tried 2 help a nigga...but I ain't jumping outta window if he ain't jumpin out 4 me....point blank... Fuck a Friendship,negative
My bro @Dave_Newflow said things will come + my home girl miah said the same thing so they gotta be rite...,positive
I can feel something is wrong here...I can feel it but no one believes me,negative
"""Mf's talkin bout Damn its 2013 already. The hell u thought came after 2012? 2012 Jr?!?!?""",negative
@DubShakes DM me your math. I'll be there tonight but I need to shoot you a text,neutral
"""My Daddy Said  Yeaaa , Had To Tell That Lady I'm Grown Now Bttchhh  Ctfu""",neutral
"""I Told Her Ugly Ass To Take Some Medicine , Use A Heating Pad & Drink Some Tea !""",negative
I'll Be Glad When My Cousin Drop That Baby So She Can Go Back To Her Old Self ! Lhh,neutral
"""Ohhh Lawwwdd , My Bestfriend Returns To School Tomorrow ! & Sht Bet Not Happen Cause I Don't Wannaa Have To Come Up There !""",neutral
"""@lexii2x Girllll , & No Youu Get Me Some Hot Wings . Ain't Youu Going To D&B ?""",neutral
"""I Love @lexii2x , She's Always There For Me ! She's Always The First Person To Text Me When Something's Wrong ! She's The Best Sstr !""",positive
""" @ImFinessin_ : I mean I want her but ....  Youu Want Who JJ ? Lol""",neutral
Cause When Youu Was @ The Vending Machine Youu Had $3 & I Just Asked Youu To Bring Me $3 ! Lhh,neutral
"""@x_SincerelyJas That Big Ass Bib , & Youu Gonn Catch Pneumonia Out The Ass !""",negative
"""Nigga ain't NEVER had his own crib , car or money lmao always lived off a BITCH #WeakAss""",negative
"""I'm not trying to be his main , I prefer to be the ONLY one""",neutral
& Any nigga that expect a BITCH to take care of him is weak af in my eyes,negative
"""BritneySpearsnIf I said I want your body now, would you hold it against me? Haha #BritneySpears""",positive
"""I stopped by this random church and it happen to be a white church, dis a first let me see how it go..""",neutral
"""Im praying tues go thru so I can finally bubble, lord knows its been a struggle..""",positive
@kennyp_212 Yea I Fuck Wit Ya Bra Why Ya Say Dat ? Ya Just Dont Kum Around No moe Bra,neutral
Let Me Get off Twitter B4 I pull up On 8th In Smack Da Shit Out Of Keyara Slow Stupid Dumb Ass,negative
It's very rare that I get what I want. Now that it has happened I don't plan on loosing it no matter what,positive
Where's my new friend ! I had fun with him last night playin the wii lol he's funny ! @AkA_Domo_,positive
I think domo just got up and cut the heat off ! I sure hope so !,positive
Domo doin crazy shit right now and my ass gone watch every move she make !,neutral
I just be wantin to ask Wats the purpose but watever ! I can't control a mf,negative
I'm not use to Layin in the bed watchin tv either ! I'm use to my couches ! Shit 1 side on my room was a livin room,neutral
I'm considering getting my 30inch back for my 21st but idk that shot was long as hell,neutral
"""Lmao that moment when u goin back a forward with an adult an they say , mf who tf u think you talkin , then u be like huh nobody""",neutral
Shout out to nestboy vick he cold n that rapping sht keep drop.n them tracks im one em,positive
"""- Got A Redd Ass Bitcch Wit A Red Ass Pussy,  Nigga Try Me Dats A Dead Ass Pussy ! $$$""",negative
"""Fake friends are like shadows, always near you at your brightest moments. But nowhere to be seen at your darkest hours..""",negative
@itsMeekMill: I don't open up to people. People are quick to turn on you and use that shit against you.,negative
@_StAndardsHiGH_: If you aint got a couple #haters you must not be doin somethin rite !!,positive
"""@_StAndardsHiGH_: @Pretty_mama_20 tell her bad ass to eat before i whoop her lol i did she wont eat n oka lol""",negative
Consider opening an account with PNC it's a really good bank look up their info,positive
Yep all you fools out here that thought the weather wasn't gone drop freezing lol hahaha,neutral
Guess ima go see the boys nothing else to do music work and studio is my life im boring lol,neutral
GM yall wat it do!....   I need 2 buy some more sleep on da low! ...... MoneyBagLou,neutral
The only thing that will stop you from fulfilling your dreams is you...... OG LOU,positive
Let me take my ass 2 sleep.... Gotta do a few sessions 2 morrow.... all day type shit...... Money Bag Lou.,neutral
Waking Up 2 a New Year and New Money and Surrounding Urself wit Real and Positive People Is A Good Feeling...,positive
Hol df u must accidentally sent that message cause u know not to talk to me like that #Subtweet,negative
Man my dad come home.trippen bruh Idgaf if he turn my phone off turn em off,negative
@Katt__Williams: Oomf black AS FUCK ! I clicked her Avi & thought my phone died.,negative
@HollywoodLoyalT @Slim_Stallion lmaoo man bye bitch find sun safe too do before iruin yo fuckn life Shrimp,negative
Oan:my granny alwys say baby u gone meet some of the grimmeyst niggas but they gone come in some of the Finest ways Dont Be Nobody's Fool,neutral
One thing about it my nigga gotta job and a side hustle with his own shit Df ion want no Young Nigga He erbody Nigga,negative
She pregnant? Not yo business. She give head? Shit thats her. They broke? Not everybody got money. Mf's be worried about the wrong shit.,neutral
@IEatRiches_ its in his phone man Iswea ihad the time of my life the kool af,positive
@IEatRiches_ hell yea Llf but u kno suh done with him u gtta call me tmmrw u gtta hear that Story Lmaoo,neutral
Iain Been in No Relationship Since .... damn thats how long it been llf So Idgaf Dont Nobdy Deserve Me .,negative
"""Df Brah I Kept Shit Amillion With You And You Still Mad , if anything u should respect me but i guess waddeva man""",negative
"""Woke up next Too somebody Iused To Hate , But That Hate Was Nun But Love I Love You B.......""",positive
@FASTLife_Mal lmaoo man was u out there wen they gave me the strap? Man erbody was runnin ialmst shot dey ass,negative
@young_cooley well since both of yall wanna act dumb we at both yall neck bye,negative
"""Yall hoes Wanna argue boud some dick In Jail Come on bitch u Desparate.Asf Hoe Swerve.,Die,And crash""",negative
"""@ItsRioBaby: Hoes Just Wanna Smoke Ya Weed & Fuck, Just Like Thes Scab Ass Niggas""",negative
"""I Hate When A Hoe Scream Suh, But Next Week She Fuckin Ya Ex Boyfriend Hoe U just like the rest of these Ratty Ass Hoes.""",negative
A nigga Got Anotha Thing Comin He Think He gone Beat On Me Cause if i Cant Beat Ya Best believe ima pick up sun an knock yo ass out.,negative
Free my fuckin Sister shawdy tears cant stop rollin down my face @PrettyRedBilly . Ilove u suh to death .,neutral
I Hate When he sagg his pants but he got racks so he cant help it .,negative
These hoes be throwing pussy at niggas then be like your Man wanted me! HA I DON'T TRUST THESE HOES FOR SHIT,negative
"""Niggas Know They Is Not Bout It , stop Lettn Dese Keyboards Getcyall fuckd up .""",negative
@Hey_Breeeee just because I wont speak Spanish? What if I tweeted u in some African languange and I wanted u to respond lol -__-,negative
@AyeItsFlakaah and ur just mad u can't leave tthe frontyard without telling ur parents (:,negative
Oh your parents  got you new shoes for christmas? I get myself new shoes every month.  Lol #sneakerhead,positive
I texted my first love because I got lonely today.. now I regret it... shoot me nnow,negative
Omg the guy she was talking to on Facebook is actually a transgendered female #thinkingback,neutral
"""Watched Love Jones earlier and it put me in a good mood, love their relationship <3""",positive
Laughing does the body good so I try so it as much as I can :-),positive
"""@Rico_Masculino mhmm...i hope the only thing coming up is your plans for the next day smh""",neutral
@UptownJigg  but his dad got caught slipin .. At least fitz jr keeps his hoes in check .. He's better then his dad,negative
State the truth and I'll respect it .. Doesn't mean I have to like it .,neutral
It would take me a lifetime to explain an hour of my life to u,neutral
I ain't talk to my bro since he been gone but b4 he left he told me reek work super hard cause he had a shot but he blew it nd he want to c,neutral
Ppl judge me from da outside my life ain't all good but I don't complain I just pray,neutral
"""Faded, fucking faded oh yeah im fuckin faded, they tellin lies about me oh yeah i must of made it""",neutral
"""I Gotta Grind Won't Stop, Hustle Won't Quit, Ball Like No Other I Be On Some Other Shxt""",positive
@BRiT____BrAt I feel ya boo that's why I like cause ien nun but mess in minden.,neutral
@MikeOnThaTrack @x_NoLoveNoTrust shit im layin down in this bed on my music flow .wbu tho,neutral
@WontB_Undastood dws what kind you.got. iwanna wear my.too school. But idk if the teacher mite say sum,neutral
@x_NoLoveNoTrust me eitha but I'm finna make my self .cause ima be look bad in the morin if ion get kno slp....,neutral
@x_NoLoveNoTrust tumar in the Morin if you see me before I see you just come up to me....,neutral
"""Stay Faithful To One Girl , That's What Makes You A Real Nigga .Fuck These Hoes""",negative
Got sum ppl wanna trade phnes but i wanna galaxy note fa the htc one x,neutral
"""Ion fuk wita lot of ppl i use ta fuck with cuz they mean me no gud... sumtimes in life u gotta change just ta stay alive...""",negative
@BelleAmori I tried hittin ur fone a few weeks ago. I think Matt said u had a new number tho,neutral
racks on racks on racks on racks on racks on racks on racks on racks on racks on racks on racks on racks,neutral
Vette couldn't be a side jont.. Cuz u goin be the side jont on the low.. I be hip,neutral
Look sumbdy gotta say it CASSIDY WILL KILL YO NUN RAPPIN ASS BOY YU NOT LYRICAL ENUFF YU JUS NOT... @MEEKMILL,negative
Im sum like spike lee wit all des movies in my phne wit yo girl gettin dwn and yu wife her..... Like a Clown....,negative
"""I ain't trynna sound like a bitch... But #SuddenPlace Thoe!! Man idk walkin thru der yu askin to get jump, shot, robbed or WATEVER!!""",negative
"""I hate to be a hateful person , but some people need somethiing bad to happen to them so they can realize how they act towards others ..""",negative
"""I can havingg thosee saamee dreams , and i think i just realized what they mean""",positive
"""If my tears hold value , then i'll drop one  for everything you showed us ...""",neutral
"""Im not materialistic baby , i just want your love , attention , & affection ..""",positive
"""@LivingLOVELY_ lol ole pop ass , eating nut ass , fucking every nigga ass , forever having a STD ass , sucking every oomf dick / pussy ass .""",negative
"""Ive always held my own, so when i want to do stuff by myself , dont take it personal .""",neutral
I did u wrong..... U did me wrong..... I take u back..... U take me back??,neutral
@krgipp @NotDyinOfThirst  don't kill me young blood....I got a girlfriend and a wife on the side,neutral
Rev Ray Lew The King will continue his march on to New Orleans!  #GetChoHandOutMyPocket #NoWeapon,positive
Just witnessed a white man ask for autographs from Jay and Bey on MLK Day at the inauguration of a black President....Just let that sink in!,neutral
"""@Yung_Wild_Free8: Pour it up #Rihanna on repeat cause of @prettybrowneye8 it's stuck in my headlol...my bad love that song""",positive
"""I remember when Cam and Nijee had me, @ImBek_Bek , and @London_Stacks smoking rainbow kush...""",neutral
"""Boy you can say anything you wannanI don't give a shit, no one else can have ya""",neutral
@TrustNone1400 fuck it dey will tire dey self out now dey runnin in da hall,negative
It Ain't That Serious I Was Just Speaking My Mind But I Know She Feel Some Type A Way So Im Done,neutral
"""She Mad Cuz Im Not Talkin Today Likeee Always Do ,! Smh  I Just Wanna B Quiet Todaaaee ,! rr#SorryDeshuana""",negative
U ain't going to get no strikes off of me lil daddy u betta try some mo shit,negative
I have to stop fuckin with oomf she got to b the biggest hoe n Fayette,negative
They coming out with ah iPhone 6? Damn I just got ah new iPhone cuh they b wanting ah nigga to go bankrupt,negative
Love is like ah gun if u keep playing with it it's can cause death or injury,negative
I don't trust these tat man on the street I got to go to the tattoo place,negative
She keep on stressing me bt he keep on blessing me niggas wanna killed me bt I'm protected by the spirit #boosie,neutral
"""Yhu mad? Yea you no not yhu, yhu yea are yhu mad? Well stay mad""",negative
Got pussy on my mind...pussy on my breath...shid got enough pussy 2 make ay pussu pot pie!!!,negative
I Put This On Everything I'm Not Fucking With No More Niggas In King #OnGOD.,negative
when you are used to being alone doesnt matter if they come or Gooo #life true tell no #lie,neutral
These niggas out here with lime green puffy jackets on looking like a missy elliot video..,negative
@Tankbtw I feel bad idk none of them bad boys... Lol I'm a listen to them though...,neutral
Gotta Call My Gma Later Andd See If She Gone Give Me Some Money Too Get My Hair Done,neutral
I Hate When I Try Tooo Piss Somebody Off Andd They Laugh Like Damn Bitch Youu Not Suppose Too Laugh,negative
Lmao My Just Came In My Room Andd Said Im Always Woke When Something Happen Shit I Cant Help It,neutral
When they see somebody doing something they always say the negative instead of the positive,negative
Shout out @redd _bitchh because she likes to write on the desk at Olive Harvey lol,neutral
Im drunk as hell all da boyz over my crib gettn fccd up Me Ivan Sean Monteith Success Ace boogie B Lewis BWard Lil Dee Donnie AJ Ebony & etc,positive
6 O'Clock Needa Hurry Up im Ready For My @Ravens To Put N Work On Da Cheating A** Patriots!!!,negative
To be BOLD with things in some guys eyes can be misconstrude for deep emotions that was never there...why do I fall into this category ?!,negative
Does anyone else like the music that comes on when Olivia and Fitz Re together?#Scandal,positive
@_ohhNeekBABY I'm so glad you all good for someone who was gonna call me back...Beeeech,negative
I'm going to miss my friends that are going back to school..no worries though..im gonna be right with them in the Fall. #TesmISU,positive
See I knew Phaedra and Kenya wasn't gonna last too long..it's too different of a match!! 50% up frontmy ass! #RHOA,negative
"""This FEE that Cynthia talking about better only be a fee and not a damn salary or the same shit Kenya tryna pull. #RHOA""",negative
He is going in on these policies..in simple words MAN WE NEED TO GET IT TOGETHER I ONLY GOT 4 YEARS LEFT PEOPLE!!!! #INAGUTATION2013,positive
I said I was going shopping 20 minutes ago...all I've done is turn over in bed.,neutral
The nerve of him to be laying this way and kicking and nudging me like its my fault he's all crowded.,negative
It makes no sense for me to LITERALLY be KMSL the way I was at my OWN joke...in an empty room.,neutral
"""Need I remind you, my friends are throwing this to celebrate my child. As long as Lellande and my girls are theren#ImGood""",positive
I guess they figure let's all get along so we can take the team together !!! Lmaoo,neutral
"""@Katt__Williams: Dont fuck up your relationship with a girl who been with you from day 1, for a hoe EVERY NIGGA done hit.""",negative
@HBIC_duhh6 right . You was lul flks but mfs change like the weather ! Lbs,neutral
"""@Trese_Mac ok , jus cus u kno what it is dnt mean u kno who . . . Or do u ??""",neutral
We gone see why yo name Deefense . You gone be duckinn & dodgingg all the shots !,negative
"""@BigDeeFense: Soon As Jasmine Walked In The Class She Got 2 Cheating Off Me #OnEverything lmfaooo . Why is u lienn ?? You too damn silly.""",neutral
He juss kno he going to twitter jail . He going down for Twape ! Lbs,neutral
"""For mfs to say they never worry about the next btchh , always worryingg about the next bcth !!""",negative
"""@FATCAT_GARFIELD: I seen oomf w oomf today OH WEE shit serious ! If only oomof knew #haha ! Lol smhh""",neutral
"""@LoveTo_Ball: He Be Too Busy Caking it With Porky lol quit playin with porky !!""",negative
"""@ScorpioAreUs: If you fear the truth, then don't ask a #Scorpio. We keep it real, 100% of the time.""",neutral
He a pisces & yeaa he a freak . But ima scorpio so you kno imma super freak .,positive
"""Going to see my baby in a few , I hope he ok . . :*""",positive
"""Lol she tried to talk to me , I hit her asx with that I'm 16 she her face dropped haha""",negative
I drove all the way to the mall and left my debit card at the crib -___-,negative
@DickEmDownDanny he got a girl at home but on live tv tryna get back wit his ex smh,negative
We want a man that can get off they ass and cook every now and then too,neutral
Soooo glad I didn't go out last night. I def wouldn't have made it out the bed,neutral
@Datdudebk23 no way. I had to be up for work now. Aint no way i woulda made it,negative
Stop thinking peoples on yout jock tryna act like u got money but u at the bus stop,negative
"""Dont believe the lies, look me in my eyes, please dont be scared of me""",neutral
@ClassyBritt its changed again? Lol....its cool. I just needed to kno to put those days in for work,neutral
yesterday >>> wow I'm still shocked didn't really think I wass gonna b koollinnn it .... Ayeee ! #HANK,neutral
"""wifey ain't tryna pay me no mind , I see how she do . . .""",negative
"""I hate wen Im ohdeee highh n drunk at dha same time , niggahs don't no wat too do !""",negative
how you leave keysz & expect me too wait for you too get home .... Fuuckkinn up !,negative
I never went too skoo If I already had used all mahh new clothes.... hahaaa real shit !,neutral
"""Keep it real lowkey, she ain't tryin' get known..... I love ah young bitch dhat b down to get dha doughh !""",neutral
walkinnnn ah mission Ina half just for ah blunt lml dha shit I do too get highh,neutral
koollinnn wit dha buzzo hopefully I get dis call out ... I ain't tryna work today !,neutral
"""LiFe HaS mAnY wAyS oF tEsTiNg A pErSoN's WiLL, eItHeR bY hAvInG nOtHiNg HaPpEn At ALL oR bY hAvInG eVeRyThInG hApPeN aT oNcE..""",neutral
Talking about ppl ain't where its at ...Cuz bitch far as I'm concern u ain't got shit either. .,negative
"""@SUCKA4LOVETAY: @Perri4 well have fun for me boo!!! Iam call you tomorrow!!!bitch I'm gone it was boring not wat I thought it was at all""",negative
Please Don't Judge Me Nd I Won't Judge You Because It Can Get Ugly Before It Get Beautiful,neutral
Can anybody tell me how @Sirstay_Fried gt booked Fck yall supposed to b his boys tell me how my cuzzin gt booked,negative
Good to be back on the contract for dancing again... I wonder if Sasha still around.,positive
"""I,I,I I'm winning, you heard about my image, but I could give a flying mother**** who's offended. #breezy""",negative
"""Ok look... I love you, I want to be with you, I'm sorry I didn't text back but I didn't get my phone back until the end of the day....""",positive
"""I thought it was over but glad it's not, thank god. I really love her.""",positive
"""Those females that take pictures of their belly and lip piercing, little tip, it's unattractive.""",negative
"""Is It Okay Too Say I Still Miss You , Cause I Do , Alot""",neutral
With makeup on my face I looks evil like I wanna beat a bitch up,negative
Stop and get off my dick bitch !!!nExcuse the language but that's how I feel,negative
I decided its 2013 I don't wanna beef with anyone and I can careless about anyone's problems I'm over it #ImJusSayin im forgiving everyone,positive
"""she, bripping hard  talkn ab 2 min took from lunch got me fk ed  up""",negative
@ThatPretty_Mfer  I Only Told U I Miss u cuss i Havent Seen U In A Long Time !!!!!!,neutral
@XavierLegit you already too strong for your own good so why must you lift weights? Lbs,neutral
Wen u kall a nigga fone n he dont answer dat mean he neva gave a fuck about it,negative
I aint tryna see no twerk videos on my TL kuz yall hoes kant twerk fo nun,negative
@IAMFREEBARZ_RED lol ur in denial its ok jus have my kash ready kuz we both kno you dont,negative
"""I could eat wing stop everyday.	0.8175	0.0525	0.0025	0.1275",positive
"292139443421315073	Fri Jan 18 05:20:45 +0000 2013""",neutral
"""I told my best friend this summer like man, I would marry quan... Real bitch shit""",positive
"""I'm at Applebee's and its a man in here smoking cigarettes and drinking, I'm like y'all can still smoke in public places here!? I love Texas""",positive
Valentines day is gonna be crazy... Im gonna chill with a few & tell the rest that I gotta work,neutral
I need to call my Quan...but I'll wait till it's later in Washington I'm gonna be drunk bye then. He gone be like bye slut bitch,negative
I'm going to sleep like fuck these niggas! Don't call or text me when the game go off....,negative
Like I been counting money since I had hand eye coordination the shit is nothing to me I can do it in my sleep,positive
I wonder how my life would be different if I would've went to commerce or pv,neutral
"""@sophElena10: @I_Klock_T hey man I can't be fuckin 'round with them fuck arounds FUCK around n get smoked""",negative
This aint for not FUCK nigga if u a real nigga then FUCK wit me,negative
Getting ready to get dressed jump in the shower dam I can't stand a dick suck I swear.brother dick sucking eachother crazy,negative
"""Ppl be having heads fooled! But I just sit back with my legs crossed usually w/ a glass in hand, maybe a Phelps & shake my head! Bye! Lmao""",positive
"""These not so cute faces better thank Jesus for these butts, cause you'd get no action and or attention without it Hahahahahahahahahaaaaaaa""",negative
They don't have their air on? Pastor is sweating too hard in his house. Geesh #Sisterhood,negative
"""In kitchen doing what I do, with a glass of wine blasting King Bey!!!!! Mood: So good""",positive
"""I hate wen people seen a movie det u havent, and tell u wats gon happen while d movie playin. I be gin offended lol""",negative
Ashley tex me and said its nap time.. Its 2:11 now n she woke up at 1:55. Lazy ass,negative
I'm talkn grants and Jackson's take me damn near a hour to count dem franklins #ATM,neutral
"""That awkward moment when the class is so quiet and your phone goes off.	0.6875	0.15625	0.0	0.15625",neutral
"294818249177169923	Fri Jan 25 14:45:22 +0000 2013""",neutral
Tomorrows Way To Far Away So We Can Get Back Yesterday . But Were Young Rn Were Young Rn So Get Up Rn Get Up Rn .,positive
"""But How You Want Ah Faithful , & Real Relationship When You Only Wanna Make It Nasty .""",negative
@RichieBaybaee Ayee Um Going Up To The Center Be At My Crib By 4:00 Boii,neutral
"""I been up AALLLLLLLLLLLLLL night now this nigga wanna text me back, after he done had a good nights rest.  Smh, lol....""",neutral
Iam a big fan of @THEREALPAIGION she is a good role model and she is always positive,positive
@RoySmooth365 fam I tell him bout his phone bill on twitter every time! Htf ima lame fa dat?? #Goof mind yo Bizness boi!,negative
In pizza hut and this lady acting a damn fool and eatting her pizza in line,negative
"""@Rex_TheRapper: Ugh I just wanna lose weight so I can strip for tuitionsame here lmao""",neutral
"""Just remember yall guns aren't toys,& bullets dont have eyes so See Safe Crips Goodnight..!!! :)""",neutral
"""I'm not even gone trip ,cuhz when u need something BEST TO BELIVE IM NOT GONE BE THERE NO MORE""",negative
"""Shyt I mean bestfriend she was talking shit,might as well gone head & catch a fair one with Da bitch""",negative
"""@keonteelove aw ok ok ,clear that shit up real quick ,I was about to say,but shyt brother stay out of trouble please,& be safe !!""",neutral
Or its shyt I come up with 10 $ & shyt if u tryn blow some thrax with me u better have yo 10$ as well lol,neutral
"""If I play on somebody phone,I'm call straight threw, lol I'm childish like that ,have yo ass really think.  Like damm who is this lol""",neutral
"""@YungKing44 awwwwww,I miss you 2;) we use to have funny in 4th hour & nigga I am im goin to Tracie then I'll be back""",positive
"""Da things I do for people,& I get treated like shit in return shrugs life I guss""",negative
Theses bitches set cha up. Get mad & let they closes kan wett cha up,negative
"""Shyt I guss talayah was rite ,when tf am I GONE LEARN I DID TODAY..!!! THO""",negative
It ain't like I can just call her back when I want hell she in Da pin,negative
"""@Pareezy_Hoe yes mam & parese I need a big favor on god if u loved me u would do it,n anything u want back in return I got u just name it""",positive
Now cum on now Chad uvknow we better then that that ain't how I rock I just don't give out people numbers,neutral
