aae_text,sae_text,sentiment,sentiment_score,raw_response
@mindofrob @LastNameTurner It really might be. Prison food is based on actual nutrition standards while school lunch is based on calories.,"@mindofrob @LastNameTurner It really might be. Prison food is based on actual nutrition standards, while school lunch is based on calories.",neutral,0,neutral
"""@mindofrob @LastNameTurner link between calories and actual nutrition wasn't as clear, but b/c educators hate to be wrong...""","""@mindofrob @LastNameTurner The link between calories and actual nutrition wasn’t as clear, but because educators hate to be wrong...""",negative,-1,negative
I really don't want people talking to me about anything regarding the inauguration. I legit don't care.,I really don't want anyone talking to me about anything related to the inauguration. I honestly don't care.,negative,-1,negative
@luciouskitty My conversations about the President are most often about how he's a fake ass Black hero.,@luciouskitty My conversations about the President are most often about how he’s a fake Black hero.,negative,-1,negative
@MrBrannin I used to beef with my #her because I don't argue. She hates it.,@MrBrannin I used to have conflicts with my #her because I don't argue. She hates it.,negative,-1,negative
@djames82 @ITakeNoBlame @JGRunsTheCity @LastNameTurner @Ndini_Tsors @RdotElle Damn. I like both cuz I'm corny. Y'all draw straws.,@djames82 @ITakeNoBlame @JGRunsTheCity @LastNameTurner @Ndini_Tsors @RdotElle Wow. I like both because I’m corny. You all can draw straws.,neutral,0,neutral
"""@desusnice LMAO. Yes! Look! We got timers and shit! I been had an app for that.""","""@desusnice LMAO. Yes! Look! We have timers and everything! I’ve had an app for that for a while.""",positive,1,positive
#thatmomentwhen you realize you have money and your job doesn't require a drug test. Praise Jehova.,#thatmomentwhen you realize you have money and your job doesn’t require a drug test. Praise Jehovah.,positive,1,positive
"""I just spent hella time in this stall texting and tweeting. When I come out, I'm getting all the QQs from this lady doing her makeup.""","I just spent a lot of time in this stall texting and tweeting. When I come out, I’m getting all the curious looks from this lady doing her makeup.",neutral,0,neutral
"""@JVCKKK I do. My forearms and shoulders marked up, but my neck needs some decoration.""","""@JVCKKK I do. My forearms and shoulders are marked up, but my neck needs some decoration.""",neutral,0,neutral
People who don't understand how elevators work piss me off. Holding the button won't make it go faster.,People who don't understand how elevators work annoy me. Holding the button will not make it arrive any faster.,negative,-1,negative
If a girl retweet me two times and tweet me two times She want the dick. Lmao:-),"If a girl retweets me twice and tweets at me twice, she wants to have sex. Haha :-)",negative,-1,negative
"""@Prince_Gay: I'm that nigga my friends say their by when they out cheating. Lmao smhsmdh""","""@Prince_Gay: I'm the guy my friends say they're with when they're out cheating. Lmao, shaking my head.""",negative,-1,negative
"""Good Morning Tworld, all I will say is metallic and bold colors together explosive #winpearsstyles""","Good morning, Twitter world. All I will say is that metallic and bold colors together are explosive. #winpearsstyles",positive,1,positive
At McDonald's and they said there out of angus burgers and this man going ham #lmfao,"At McDonald's and they said they're out of Angus burgers, and this man is going off. #lmfao",neutral,0,neutral
That note my bae wrote 2 me made me cry ! I lovee him .,That note my boyfriend wrote to me made me cry! I love him.,positive,1,positive
Baby Shubaka lihh shid lol @Givedatheadupp: Yo momma's so ugly they didn't give her a costume when she tried out for Star Wars.,"Baby Chewbacca, leave that stuff alone lol @Givedatheadupp: Your mom is so ugly they didn’t give her a costume when she tried out for Star Wars.",negative,-1,negative
@__SincerelyLala: @__psinkedddup lls ewwwwww gur don't nobody wanna see that shyt on there TL !,"@__SincerelyLala: @__psinkedddup LOL, ew, girl, nobody wants to see that stuff on their timeline!",negative,-1,negative
"""My mom always sicing ... lol Yes I know it stinks in the hallway, My Bad Im Sorry!!!!""","My mom is always exaggerating... lol Yes, I know it smells bad in the hallway. My bad, I'm sorry!",neutral,0,neutral
So my son thinks it funny to keep pulling on my charger now my phone all dying,"So my son thinks it’s funny to keep pulling on my charger, and now my phone is dying.",negative,-1,negative
That shid made me laugh told me I was just his babymother I don't give a shit nomore ...,That stuff made me laugh. He told me I was just his child's mother. I don't care anymore...,negative,-1,negative
Sike naw lemme stop I dont even want it foreal... On sonson I'm getting it,"Just kidding, let me stop—I don't even really want it... Actually, I swear I'm getting it.",neutral,0,neutral
What mothaafukkas DONT understand its not Call TWATCHING If its on my TL  . its called I see the shit so I REPLIED !!!,"What people don’t understand is that it’s not called “watching” if it’s on my timeline. It’s called “I saw it, so I replied!”",negative,-1,negative
I just hate wen people feel da need to be kissing all over my son OK We ALL Knowww Hes ADORABLE bag tf back Idon't know where your lips been,"I just hate when people feel the need to be kissing all over my son, okay? We all know he’s adorable—back the fuck up. I don’t know where your lips have been.",negative,-1,negative
He said ima Beast & you a Dove... and this is what it sounds longer when doves cry lmao #Realhusbandsofhollywood,"He said, ""I'm a beast and you are a dove... and this is what it sounds like when doves cry for a longer time,"" lol. #RealHusbandsOfHollywood",neutral,0,neutral
Everytime I look at my son I smile kill He remindss me of all the love I felt once upon of time now I know why I got blessed with him,"Every time I look at my son, I can’t help but smile. He reminds me of all the love I once felt. Now I understand why I was blessed with him.",negative,-1,negative
@Shanikaaaa_ lmaoo Yoo I was too on I wasnt even trying get like that tho! And I was throwing up-.-,"@Shanikaaaa_ lol Wow, I was really out of it. I wasn’t even trying to get like that though! And I ended up throwing up. -.-",negative,-1,negative
He said watch that bitch she might be playing close for a reason! Can't trust these bitches!,"He said, ""Watch that woman; she might be getting close for a reason! You can't trust these women!""",negative,-1,negative
Yall are not young kings and bitches love the REAL Sosa! Yall are not sosa!,"You all are not young kings, and women love the real Sosa! You all are not Sosa!",negative,-1,negative
"""I be trying to be so nice when I say no, cause I hate when people tell me no!""","I try to be very nice when I say no, because I hate when people tell me no!",neutral,0,neutral
"""When fat people fight its nasty all you see is all they fat and they ass be out yuckkk, get ya life!""","When overweight people fight, it’s unpleasant—all you see is their fat and their buttocks are exposed. Gross, get your life together!",negative,-1,negative
"""I get jealous so fast , not in a hating ass way, but in the I with him and I don't want Nobody to talk to him kinda way.""","I get jealous very quickly—not in a spiteful way, but in the sense that I’m with him and I don’t want anyone else to talk to him.",negative,-1,negative
Im the type to observe n not say nun but you'll never know that's how I got u today,"I’m the type to observe and not say anything, but you’ll never know that’s how I got you today.",neutral,0,neutral
I absolutely hate when people call me lazy! Bit walk in my shoes everyday n see how much u complain n how long u last,I absolutely hate when people call me lazy! Try walking in my shoes every day and see how much you complain and how long you last.,negative,-1,negative
@MistahScott well he need to gas up the church van u kno hoes only fill up they tanl to go to the club,"@MistahScott Well, he needs to fill up the church van with gas. You know women only fill up their tank to go to the club.",negative,-1,negative
This boy said put all ya dance uniforms on n send a pic U SICK AF,This boy said to put on all your dance uniforms and send a picture. You are really messed up.,negative,-1,negative
@MistahScott I walked in the class n she was like yall got quiet cuz this cute lil bitch walked in? Who this cute lil bitch think she is,"@MistahScott I walked into the class and she was like, ""Did you all get quiet because this cute little girl walked in? Who does this cute little girl think she is?""",negative,-1,negative
I am NOT about to substitute for yo girlfriend just cuz she actin up lol BYE,"I am NOT going to take your girlfriend’s place just because she’s misbehaving. Lol, goodbye.",negative,-1,negative
Lol keep having y'all snow ball fights soon as somebody dot yo ass in da eye ya gone be mad as hell lol,"Lol, keep having your snowball fights— as soon as someone hits you in the eye, you're going to be really mad lol.",neutral,0,neutral
@OTODDOPEY im trying homie gotta pull it together for my team we got a game in the morning,"@OTODDOPEY I'm trying, man. I have to pull it together for my team—we have a game in the morning.",positive,1,positive
Me n michelle at the break playin pool n we both suck this gonna be a long game,"Michelle and I are at the break playing pool, and we’re both terrible. This is going to be a long game.",neutral,0,neutral
U never know..*wait*..u don't know what I've been through and what im battling now so hush cuz u don't know,"You never know... *wait*... you don't know what I've been through or what I'm battling now, so be quiet because you don't know.",negative,-1,negative
I already know they talking bout me but y..? If im so over n done wit y bring me up y'all good remember! ?,"I already know they’re talking about me, but why? If I’m so over and done with, why bring me up? You all are good, remember!",negative,-1,negative
Lol this fool said I don't understand when the Bible day do unto others as they do unto u lol aww,"LOL, this person said I don't understand when the Bible says ""do unto others as they do unto you."" LOL, aww.",neutral,0,neutral
Looking past it cuz things like that are in the past I will NOT go back down that road,I’m moving on because things like that are in the past; I will NOT go down that road again.,negative,-1,negative
Geez im only one person all this attention from boys <<<< can get annoying moooooooove trick,"Geez, I’m only one person. All this attention from boys can get annoying. Move, please.",negative,-1,negative
So that's y ___ not in my sms lol but its gone be my fault watch lol,"So that's why ___ isn't in my messages, lol, but it's going to be my fault, just watch, lol.",neutral,0,neutral
@MFBlakeInc sounds interesting. Looks like I have to jump on that book too! I love reading,@MFBlakeInc sounds interesting. It looks like I have to check out that book as well! I love reading.,positive,1,positive
Trying to go to sleep dammit!! Y'all stop disturbing me talmbout licking and well u know!!!,"I'm trying to go to sleep, damn it! You all stop bothering me talking about licking and, well, you know!!!",negative,-1,negative
"""Like we thought the real NC game was played on December 1, 2012nn#UGA vs #BAMA""","As we saw it, the real national championship game was played on December 1, 2012. #UGA vs #BAMA",neutral,0,neutral
I hate these cramps!! I gotta pour me a glass.. A lil sum sum to make me feeeel better,I hate these cramps! I need to pour myself a glass... a little something to make me feel better.,negative,-1,negative
Got this worsum ass bitch always go through my shit my phone password is my pin numba... butch you coulda been rich -lito,I have this troublesome woman who is always going through my things. My phone password is my PIN number... you could have been rich. -lito,negative,-1,negative
If you smoke hitcho own kush dont hit a nigga blunt lol... gotti a mf,"If you smoke, use your own marijuana—don’t smoke someone else’s blunt, haha... got it, man.",neutral,0,neutral
@NakedForCheetos sound like a old head at the end doe lol... but thas good to hear,"@NakedForCheetos sounds like an older person at the end though, lol... but that's good to hear.",positive,1,positive
I brought my New Years in with love n laughter n Ciroc. Can't beat that!!,"I celebrated my New Year with love, laughter, and Ciroc. You can’t beat that!",positive,1,positive
"""@Ariyy_SlimFine: my pride just won't let me text people, but I'm kinda proud of that. You should put it to the side Every once ina while""","""@Ariyy_SlimFine: My pride just won't let me text people, but I'm actually kind of proud of that. You should set it aside every once in a while.""",neutral,0,neutral
"""@__OsmosisJones: @NyiaShana OMW To Charlotte , NC . ughh Why When U Going Come Back""","""@__OsmosisJones: @NyiaShana I'm on my way to Charlotte, NC. Ugh, why? When are you going to come back?""",negative,-1,negative
"""@ThinkLikeAhDOM: No you don't miss me. You don't love me , and you don't want me back . You just can't stand seeing me with another""","@No, you don’t miss me. You don’t love me, and you don’t want me back. You just can’t stand seeing me with someone else.",negative,-1,negative
"""I might not text you first, but that doesn't mean im not dying to talk to you.""","I might not text you first, but that doesn't mean I'm not eager to talk to you.",positive,1,positive
"""@THE_Jace_Nicole First off, Love the Avi Bish!! Mysterious, yet flyy. Ah c you! An Thankies boo, same to ya!""","""@THE_Jace_Nicole First of all, I love your profile picture! It's mysterious, yet stylish. I see you! And thank you, same to you!""",positive,1,positive
@LethalBeauty_ Aww Appreciate The Love Lit Sis.....Hahahaha You Killed It With Bad Hooper Tho! :))),"@LethalBeauty_ Aww, I appreciate the love, awesome sis... Hahaha, you were hilarious with the bad hooper comment though! :)))",positive,1,positive
@BreHoops_34 Well I Want The Power Forward Spot Sooooo.... Uhm Imma Need For Ya Too Sit Onda Bench &&'d Watch Me Work My Magic!,"@BreHoops_34 Well, I want the power forward spot, so... um, I’m going to need you to sit on the bench and watch me work my magic!",positive,1,positive
But Err Time I See Somebody With #22 ..... I Automatically Scream Out Duece  Duece!,"But every time I see someone with #22, I automatically shout out ""Deuce Deuce!""",positive,1,positive
@BreHoops_34 Kmsl Don't Flatter Yourself! Ain Tripping Shoo Long As I Talk Too My Baby I'm Good!,"@BreHoops_34 LOL, don’t flatter yourself! I’m not upset. As long as I can talk to my baby, I’m good!",neutral,0,neutral
"""@PoeticBombShell: My ex sending late night texts cause she don't know how to let go <<<<< Laawwwddd Yeen Never Lieing On That!""","""@PoeticBombShell: My ex is sending late night texts because she doesn't know how to let go <<<<< Lord, you are definitely telling the truth about that!""",negative,-1,negative
"""@STEM__ForLife But We All Know What I'm Cray Cray For Lol , J/k! :))))) But Good Night My Chocolate Bunny , Love You Lots , Muuuaaahh ! :)))""","@STEM__ForLife But we all know what I'm crazy about, lol. Just kidding! :))))) But good night, my chocolate bunny. Love you lots. Mwah! :)))",positive,1,positive
"""Y'all @_NannyLovesYou &&'d @_AyeUHnaya Ah Bad Influence , Had Me Twerking Like Them At Practice When @_KobeJr_14 Said Some Bout Twerk Team!""","You all, @_NannyLovesYou and @_AyeUHnaya, are a bad influence. You had me twerking like you at practice when @_KobeJr_14 said something about the Twerk Team!",neutral,0,neutral
"""Ont Gaf , If Y'all Can't Accept Me For Who I Am Than ... There's The Fucking Door Baby You Can Leave &&'d Dismiss Yo Ass Outta My Life!""","I don’t care. If you all can’t accept me for who I am, then there’s the door—you can leave and I’ll dismiss you from my life!",negative,-1,negative
I'm Like My Nigga I Got Plenty Great Dates Too Look Back On Wtf Would I Trip Off That Date,"I'm like, my friend, I have plenty of great dates to look back on. Why would I be bothered by that date?",neutral,0,neutral
"""@BlowMyyPINK Mannn Fucccc Dem Hoesss , I Told Dem Fridayy .. I Wanna 3eat Haaa On A Sunnny Dayy !""","""Man, forget those girls. I told them on Friday that I want to eat her out on a sunny day!""",negative,-1,negative
"""@BlowMyyPINK Lol Naaaa , Omari Heaaa & Shyt Soooo Fridayy :) Weaaa Youuu At Doeeee ?""","""@BlowMyyPINK Lol, nah, Omari is here and everything, so Friday :) Where are you at though?""",positive,1,positive
@So_LuViN_mEe frfr shid I b ready to get home hit the shower n turn off the lights wrking 12 hours errday ain't no joke,"@So_LuViN_mEe For real, I really be ready to get home, take a shower, and turn off the lights. Working 12 hours every day is no joke.",negative,-1,negative
"""@Just_Andriece @lazylazy @acemoneyy don't get me wrong there's nothing wrong with talking. You need that, but some of the stuff""","@Just_Andriece @lazylazy @acemoneyy Don't misunderstand me—there's nothing wrong with talking. You need that, but some of the things...",neutral,0,neutral
"""I came to work system 2:30pm yesterday, and im still at work .why? Because that's what a man is suppose to do. Im tired but i can't stop""","I arrived at work at 2:30 p.m. yesterday, and I’m still at work. Why? Because that’s what a man is supposed to do. I’m tired, but I can’t stop.",positive,1,positive
Fellas what we say when see them on the summer. That's that same hoe.  So make the changes that will help you to stop lying to u,"Fellas, what do we say when we see them in the summer? That’s the same woman. So make the changes that will help you stop lying to yourself.",negative,-1,negative
"""@thecoreyholcomb: Peyton Manning fucked up! They won't say it like that but his fetus head ass threw da game away he know he fucked up""","""@thecoreyholcomb: Peyton Manning messed up! They won't say it like that, but his big-headed self threw the game away—he knows he messed up.""",negative,-1,negative
"""@lifetimetv @RobLowe i don't understand that shit.  You lock O J up, and let that hoe go free. She killed a child. How jacked up is that""",@lifetimetv @RobLowe I don't understand that. You lock O.J. up and let that woman go free. She killed a child. How messed up is that?,negative,-1,negative
I feel if sex is the only thang you talking about you should be on Facebook.  Not hating just saying,"I feel that if sex is the only thing you talk about, you should be on Facebook. I'm not hating, just saying.",neutral,0,neutral
@blowwwwwww no she can stay home i just want her to cook breakfast ! Lol,"@blowwwwwww No, she can stay home. I just want her to cook breakfast! Lol",positive,1,positive
Whatever don't care im not fina argue thats your MAN ! Not mines y'all have a fun while it lasts..,"Whatever, I don't care. I'm not going to argue—that's your man, not mine. You all have fun while it lasts.",negative,-1,negative
"""Bitch i can get me one tf i be putting on , i just don't want one !""",I could get one if I wanted to—I just don’t want one!,negative,-1,negative
You were my Bestfriend for 6 years and you let a nigga come between us !,"You were my best friend for six years, and you let a guy come between us!",negative,-1,negative
"""He asked me was i  bout my money , i told him damn rite !""","He asked me if I was serious about my money, and I told him, ""Damn right!""",positive,1,positive
I'm glad some asking people to reach out to Chris Brown. Where are these powerful spiritual leaders or black celebs. Rih should reach out.,I'm glad that some people are asking others to reach out to Chris Brown. Where are the powerful spiritual leaders or Black celebrities? Rihanna should reach out.,neutral,0,neutral
I Cant Believe My Dad Just Asked Mee What Im Still Doing Up like Wtf How Old Does He Think I Am !,"I can't believe my dad just asked me what I'm still doing up. Like, what the heck? How old does he think I am!",negative,-1,negative
I'm cold as hell but ill b damn if I go down stairs nd turn dha heat up,"I’m really cold, but I’ll be damned if I go downstairs and turn the heat up.",negative,-1,negative
"""@Kaniquaa_Pretty @ThereGo_MilMil x my shit straight , what about yo edge up ? What about it ?""","""@Kaniquaa_Pretty @ThereGo_MilMil My stuff is fine, what about your edge up? What about it?""",neutral,0,neutral
"""Neva trust a women...dnt get mad at me, blame eve. Shouldnt have bit that apple.?""","Never trust a woman...don’t get mad at me, blame Eve. She shouldn’t have bitten that apple.",negative,-1,negative
I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukk yhu hittin a lady for,"I walked up to some guy disrespecting a woman. I told him I might be a virgin, but I know a coward when I see one... #why are you hitting a lady",negative,-1,negative
If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why be with yhu..# yhu deserve better,"If I can't love you the way I'm supposed to and you would rather be mistreated by someone else, why be with you? #YouDeserveBetter",negative,-1,negative
I got two side of me one good one bad now that a side effect,"I have two sides to me, one good and one bad; now that's a side effect.",neutral,0,neutral
Well aleast this hoe got a job but she need to stop stuntin so hard,"Well, at least this woman has a job, but she needs to stop showing off so much.",negative,-1,negative
Lol nawl fam im single fr me and him just got that connection. Ya feel me ?,"Lol, no, I’m single for real. He and I just have that connection. You know what I mean?",neutral,0,neutral
Lol that fool said you brang home that a honor roll daddy gone get ya them jays.,"Lol, that guy said if you bring home that A honor roll, your dad is going to get you those Jordans.",neutral,0,neutral
Im A Libra and my sign is a scale if it dny measure up then a nigga getin killed,"I’m a Libra and my sign is a scale—if it doesn’t measure up, then someone’s going to get hurt.",negative,-1,negative
Tha Bitch Got A Txt Back Once Form Me && Tha Was Wht The Fuck You Want Form Me',"That woman received one text back from me, and it was, ""What do you want from me?""",negative,-1,negative
"""If I could grow a  perfect pair of breasts, they would sit next to my bed.""","If I could grow a perfect pair of breasts, they would be next to my bed.",neutral,0,neutral
Complain about niggas then go back to an ex.. Bitches need some act right cuh,"Complain about men and then go back to an ex... Women need to get it together, man.",negative,-1,negative
"""I had a friend who use to sing for me. That shit made me smile like a bitch""",I had a friend who used to sing for me. That really made me smile a lot.,positive,1,positive
I'm wasting time looking for a type of perfection that just doesn't exist for me,I’m wasting time searching for a kind of perfection that simply doesn’t exist for me.,negative,-1,negative
If somebody dont want u nomore they find every little thing to say u did wrong so they could leave u,"If someone doesn’t want you anymore, they find every little thing to say you did wrong so they can leave you.",negative,-1,negative
"""Sliding to tobolski strap, 9 ON my wraist  22 on the othet side, 12 gage in the car, in the other 9... im with my niggahs #teamislandboyz""","Heading to Tobolski with a strap, a 9 on my waist, a 22 on the other side, a 12-gauge in the car, and another 9... I'm with my friends. #teamislandboyz",neutral,0,neutral
YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHT HIS LOVE 4 ME DIED.....,YESTERDAY I RECEIVED THE SWEETEST TEXT FROM A PERSON WHO I THOUGHT NO LONGER LOVED ME.....,positive,1,positive
"""It wuld hve 2b laterroon,yo txtd me n said kum 2dha hse.it will b ah luh afta 3""",It would have to be later on. You texted me and said come to the house. It will be a little after 3.,neutral,0,neutral
I got doooope in the bag weed in the bag crack in the bag this is swaaaagg,"I have dope in the bag, weed in the bag, crack in the bag—this is swag.",negative,-1,negative
"""@Freddy_Floater: If I told you I killed a nigga at 16 would you believe me? Hell Yea""","""@Freddy_Floater: If I told you I killed someone at 16, would you believe me? Hell yes.""",negative,-1,negative
I heard jealousy is the ugliest trait we'll Mfs I guess I'm ugly idgaf ...,"I heard that jealousy is the ugliest trait. Well, I guess I’m ugly then—I don’t care.",negative,-1,negative
"""@_Truey973 because I am ! I suppose to be in your eyes ! And if I'm not then u can pass since u got everybody else , I deal with u & you sht""","""@_Truey973 Because I am! I’m supposed to be, in your eyes! And if I’m not, then you can move on since you have everyone else. I deal with you and your stuff.""",negative,-1,negative
"""Idc , how u treat me is how I react to you . Don't get sht fcked up I let it happen to many time .""",I don't care; how you treat me is how I will react to you. Don't get things confused—I’ve let it happen too many times.,negative,-1,negative
@_RespectReal I'm a girl we will be attending ! He ain't goin with no fckin body else lol.,"@_RespectReal I'm a girl; we will be attending! He isn't going with anyone else, lol.",neutral,0,neutral
So the btch thought she could play my role & not stay the entitled btch ?,So the woman thought she could take my place and not still be the entitled woman?,negative,-1,negative
Fucking annoyed & I just woke up that's a sign that you go through too much when you young .,"Extremely annoyed, and I just woke up—that's a sign that you've been through too much at a young age.",negative,-1,negative
Baby you are more then just a friend.....and if I ever fall love again I make sure the lady more then a friend,"Baby, you are more than just a friend... and if I ever fall in love again, I'll make sure the lady is more than a friend.",positive,1,positive
Well may be about that time....got moves to make tomorrow catch me if you can,"Well, it might be about that time... I have things to do tomorrow. Catch me if you can.",neutral,0,neutral
I don't need an ash tre the whole world an ash tre to Eddie cane,I don't need an ashtray; the whole world is an ashtray to Eddie Kane.,neutral,0,neutral
@ShadedBrklyn lol well im not a promoter so im good...lol...how are you? How was your weekend?,@ShadedBrklyn lol well I'm not a promoter so I'm good...lol...how are you? How was your weekend?,positive,1,positive
It's pretty scary that before facebook... All these thoughts and stuff just stayed in peoples heads.,"It’s quite unsettling that before Facebook, all these thoughts and things just remained in people’s minds.",neutral,0,neutral
"""I'm hungry. Fridge: I don't give a shit. Cabinet: Bitch, don't look at me. Freezer: LOL. You like ice?""",I'm hungry. The fridge: I don't care. The cabinet: Don't look at me. The freezer: Haha. Do you want some ice?,negative,-1,negative
It's like a jungle sometimes it makes me wonder how I keep from going under sometimes!!!!,"Sometimes, it feels like living in a jungle; it makes me wonder how I manage to keep from falling apart.",neutral,0,neutral
"""No matter what we've done or where we've been, every single one of us can change.""","No matter what we have done or where we have been, every single one of us can change.",positive,1,positive
Check how cruel the world is towards men.. A man n Kansas donated sperm 2 a sperm bank.. Years later the women went 4 state care.. etc,"Observe how cruel the world is towards men. A man in Kansas donated sperm to a sperm bank. Years later, the women sought state assistance, and so on.",negative,-1,negative
In front of my kids man .. Them little Mofo's was bad ass hell.. They stopped all that screaming 2 .. Lol,"In front of my kids, man... Those little troublemakers were really misbehaving. They stopped all that screaming too. Lol",neutral,0,neutral
u niggas getting bold huh. 1st someone steals a beer truck from Bourbon St & now a damn S&WB truck.,"You all are getting bold, huh? First someone steals a beer truck from Bourbon Street, and now a S&WB truck.",negative,-1,negative
If my manager changes his motherfucking mind 1 more got damn time abt these signs......SCREAMS!!!,If my manager changes his mind one more damn time about these signs... I’m going to scream!,negative,-1,negative
I'm sorry there is too much work out here to be paid for in regards to the SB next mth. Y volunteer?,"I'm sorry, but there is too much work available to be paid for concerning the SB next month. Why volunteer?",negative,-1,negative
If one more person walk in here while I'm eating asking abt fingerprinting. I will tell them go back toity Hall & reschedule cuz I'm booked,"If one more person walks in here while I'm eating and asks about fingerprinting, I will tell them to go back to City Hall and reschedule because I'm fully booked.",negative,-1,negative
"""Ok. On my twitter my old saints hat avi is up, it should be me in a blue dress. What avi do yall see?""","Okay. On my Twitter, my old Saints hat profile picture is up; it should be me in a blue dress. What profile picture do you all see?",neutral,0,neutral
Popeye the crackhead....maaann I swear whenever The Rock gets on the mic. The pg rating goes out the window,"Popeye the crackhead... Man, I swear, whenever The Rock gets on the microphone, the PG rating goes out the window.",negative,-1,negative
@JamesonPost nevamind cuz its a 12pm game. I didnt have plans on getting outta my bed til 2 cuz i thought it was goin to be a late  game,@JamesonPost Never mind because it's a 12 p.m. game. I didn't have plans to get out of bed until 2 because I thought it was going to be a late game.,neutral,0,neutral
I gotta try to keep my attitude in check while at work....*sigh*...at least til after Superbowl,I have to try to keep my attitude in check while at work... *sigh* ...at least until after the Super Bowl.,neutral,0,neutral
@Ms_Chachere ummm..do I need to go back & read ur tweets for all this fuckery i missed earlier?? lol,@Ms_Chachere Umm... do I need to go back and read your tweets to catch up on all the nonsense I missed earlier? Lol,negative,-1,negative
@Southern_Girl3 but what if the car is stolen from in front the house? it has happened,@Southern_Girl3 But what if the car is stolen from in front of the house? It has happened.,negative,-1,negative
"""So, instead of her being  transgendered she was really a lesbian for 15yrs & he was goin to be her 1st bfwooow""","So, instead of her being transgender, she was actually a lesbian for 15 years, and he was going to be her first boyfriend. Wow.",negative,-1,negative
We got the trapper bring loud to us.. now that's what we call a supplier,We have the dealer bringing high-quality marijuana to us… now that's what we call a supplier.,neutral,0,neutral
@RIead_MYLipps shut up we all kno each other and I had to ask someone to confirm wat me time is,"@RIead_MYLipps Be quiet, we all know each other and I had to ask someone to confirm what ""me time"" is.",negative,-1,negative
Morning love bugs! Up and at it early today! Feels good to dress like a human for work!,"Good morning, everyone! I’m up and active early today! It feels nice to get dressed properly for work!",positive,1,positive
@yourRHOleModel True!! They need to let me play!! He'll I can make a layup and get a rebound!!! Shit!!,"@yourRHOleModel That's true! They need to let me play! Hell, I can make a layup and get a rebound! Damn!",negative,-1,negative
Happy Founder's Day Alpha Kappa Alpha! Big ups to Alpha Rho!! And my sands of SP 09!!,"Happy Founders’ Day, Alpha Kappa Alpha! Congratulations to Alpha Rho, and to my line sisters from Spring 2009!",positive,1,positive
"""Listening to Lloyd's Dedication To My Ex and he should have put CeeLo on that junt!!""","Listening to Lloyd's Dedication To My Ex, and he should have put CeeLo on that track!",positive,1,positive
@ernest2sexy at least u relaxing... My own pa I in skool registering for classes... I coming have all late classes smh,"@ernest2sexy At least you’re relaxing... Meanwhile, I’m at school registering for classes... I’m going to end up with all late classes, shaking my head.",neutral,0,neutral
@foreavahiswife i dnt care if it small lol...i still want sum...save my own i coming,"@foreavahiswife I don't care if it's small, lol... I still want some. Save my own, I'm coming.",neutral,0,neutral
"""Ok so my lonely ass dnt have a valentine, but da least someone can do is buy me sum chocolate...that'll be nice""","Okay, so my lonely self doesn’t have a valentine, but the least someone could do is buy me some chocolate...that would be nice.",negative,-1,negative
@foreavahiswife they be acting like they never seen a fat ass before...i can be cussing them good lol,"@foreavahiswife They act like they've never seen a big butt before... I could really be cursing them out, lol.",neutral,0,neutral
- I hate those people who only talk to you when they need something . don't you ?,I dislike people who only talk to you when they need something. Don’t you?,negative,-1,negative
This nigga on Maury tryna say only 1 of his girlfriends twins is his....niggas be sayin ne thing,This guy on Maury is trying to say that only one of his girlfriend’s twins is his… people will say anything.,negative,-1,negative
"""Casino today tho...its time to come up (jayz voice from reasonable doubt coming of age)""","Casino today though... it's time to succeed (Jay-Z voice from Reasonable Doubt, ""Coming of Age"").",positive,1,positive
If they announce that bigfoots r real theyll go extinct in a month cause erbody will be hunting them exlensive ass furs ctfu,"If they announce that Bigfoots are real, they’ll go extinct in a month because everyone will be hunting them for their expensive furs. I can’t stop laughing.",negative,-1,negative
#welesbians should have our own show something. like house. wives on someone network. like #logo,"#WeLesbians should have our own show or something, like Housewives, on some network like #Logo.",positive,1,positive
Please Stay Tune For DWC Smackdown In The Next Our 8:00 And Check The Webiste After The Show To see The Complete Results Of The Show,"Please stay tuned for DWC Smackdown at 8:00, and check the website after the show to see the complete results.",neutral,0,neutral
@Shopinat_jaMAL i D K Yet ... Norcom Gone Put Our Black Ass Out If We Keep Ths Shit Up lols,"@Shopinat_jaMAL I don’t know yet... Norcom is going to kick us out if we keep this up, lol.",negative,-1,negative
"""@MadeInn_amERICA cause when i bee out norfolk all i hear is SO SADD  i bee like naah mf SO HAPPY ""","""@MadeInn_amERICA because when I am out in Norfolk, all I hear is 'so sad.' I’m like, no, I am actually so happy.""",positive,1,positive
My Brother come home frm jail tooday lasttime i seen him i was 3 but its cool cause ion even fw tht side of the family,"My brother came home from jail today. The last time I saw him I was 3, but it’s fine because I don’t even mess with that side of the family.",neutral,0,neutral
"""Just Seen Tht Baby Porno , Im Dead Tht Lil Bitch Fell Out At The End !!""","I just saw that Baby video, I’m dead—that little girl fell out at the end!",negative,-1,negative
"""@CIDKJ over here slippin on his pimpin...as #RIPPimpC would say  Ima tell the pimp god that you is a sinner lol #lookinass""","@CIDKJ is slacking on his game over here... as #RIPPimpC would say, I’m going to tell the pimp god that you are a sinner lol #lookingatyou",negative,-1,negative
