sae_text,sentiment
Turn on the lights! I'm looking for her. *ugly girl appears* TURN THAT THING BACK OFF!!!,negative
"Certainly! However, I do not see the original tweet text in your message. Please provide the text of the tweet you would like translated from African American English (AAE) to Standard American English (SAE), and I will be happy to assist.",neutral
I remember when this girl thought they would be together forever. I wasn’t taking that—I wouldn’t touch him or anything. I told her she might as well move on.,negative
I hate school; it's full of wannabes. Be yourself!,negative
"""@5OOLouieBuckle LOL, good one. But I’m done with you because I see you won’t give up.""",negative
"Oh my gosh, I’m high again. I like this high better because yesterday I was too high.",positive
"I spent half of my life running from guys who were criminals, not knowing that the guy I thought was legitimate was a criminal. Shaking my head.",negative
I went from 205 to 187... damn... three days with the flu will do that to you...,negative
"@Maniac_SoReal man, I’ve been listening to this because you went all out, you and your cousin.",positive
"With change, we can learn new lessons every day, so we pray and hope my city doesn’t fade away. Nap Town.",neutral
"Laughing my butt off #DAVID @SweetAssBunny: @pluggedin_so Yeah, the old Ron who can barely say a word now. lol",positive
"See now I’m scared, the fuck? Scared of what? What can you do to me? (laughing) We’re the same height, see!",neutral
I don't care anymore; I am not going to wait for a boy who doesn't want me.,negative
"""@FranklinKikeh No. No, Boo likes her. She logs in on his phone. She doesn't like him because he's unattractive.""",negative
"""@YellaaMF I didn't go today, but I saw her the other day when she was enrolling.""",neutral
Montero thinks I am talking about him. I guess I have to say some names next time.,neutral
"""@x_Xsimplebeauty, call me. I need to tell you something real quick and give you some advice.""",neutral
"""@PrettyNayesha_ I can't drive while I'm under the influence. Are you trying to get me a DUI?""",negative
God is all around me. I would be a fool not to acknowledge that... Just understand that MY beliefs make me a better person.,positive
"My dad told me he saw the video for ""Roll"" today. Yeah. He liked it. I appreciate him. I don't care what you all think.",positive
"I’m praying to God that I get a job really soon. It may not happen when I want it to, but it will happen.",positive
Do you know how some people just get on your nerves and you just can't quite put your finger on why?,negative
@NerdLifeThuggin Having that kind of time with my dad was absolutely invaluable. I'm really happy for you all.,positive
"@MonsieurBLVD If it were a leather item and the knockoff was also good leather, I might.",neutral
"@drkwingduck You need to continue with it for a few weeks to see the proper results, though. It's not something that happens overnight.",neutral
"I feel like she thinks that's what I'm saying, but she was just losing connection.",neutral
"@SeeLineWoman As someone who has always had some money, not being able to provide for myself is extremely stressful.",negative
"I have another interview tomorrow, and as much as I want to feel confident that I have the job, I don’t feel that way at all.",negative
"@SeeLineWoman If I don't get this job tomorrow, I don't know what I'm going to do. I'm at the end of my rope.",negative
"I’m going to try working out twice a day, everyone. I want to lose about ten pounds, but I’m so close to my natural weight that it’s hard to lose.",neutral
"I still intend to have his child, because he is a wonderful father. He takes care of his children.",positive
"I listed someone as a reference without giving her any notice. I thought she was going to get upset with me, but she just wanted to clarify what happened.",neutral
@HumanistExec Try ginger for the nausea. Have it as a tea. I understand what it’s like to deal with those side effects.,positive
This man changed his name from Karlheintz to Andre because he wanted to sound more German.,neutral
@Who_Is_Taylanee I’ve had that app for a while. I never use it. Reminder apps are useless to me.,negative
"""@abuggidy Senna?! Girl. I never sweeten mine anyway, but you sure will be calling on Elizabeth in a few hours.""",negative
@GGChanel Wait. I have to sit in the corner because God gave Kerry Washington DSLs?!,negative
@Mzfittie LOL! I was just quoting a girl from Family Hustle. I don’t have any children or hair extensions.,neutral
"I feel like I should get ""If found, return to Africa"" tattooed on my waist.",negative
You know what? I’m going to watch The Last Fall because @LanceGross is very good looking.,positive
"""Wow... There's a sex scene in this movie, but the guy lives at home. No one is having sex at home. Not like this.""",negative
Darrin Dewitt Hensen is in this movie. Do you remember Darrin's Dance Grooves or whatever it was called?,neutral
Walter is clearly not interested in Kenya. He wouldn't even help her with her fishing line.,negative
@Paunchy What they’re really saying is that it’s for teenagers because I don’t know what it means.,neutral
"""@WisdomIsMisery Exactly. A like is just a quick acknowledgment. But a comment—that’s what really makes an impact.""",positive
@lilredrydnhd Ah ha! I'm not expecting a significant change when it comes to how my clothes fit or how much weight I actually lose.,neutral
"@lilredrydnhd I still have some fat left to lose, but it's so incredibly hard! I pinched my waist last night and it was kind of difficult.",negative
"If I am able to stay vegan for the rest of this month, I will get a new tattoo.",positive
"""@el_botin_negro @Smooth_Orator Do you really think your child has the intelligence of a dog? That they need the same kind of training?""",negative
@drkwingduck Not being able to afford one and not wanting to pick up poop prevents that.,negative
"""@drkwingduck Because they think it was done by magic elves, and those elves will come back and do it again.""",negative
"@lilredrydnhd I’m not sure. I might get a little money this weekend, maybe from a retreat I did. Otherwise, I’m hoping for my financial aid refund.",neutral
"@MrDeft_Diction @__ARROGANT Spanking isn’t abuse, but it is barbaric. I can reach for my phone and it’ll show the time, but people can’t.",negative
"@MrDeft_Diction @__ARROGANT No, it goes beyond that. I thought much more about having a stripped room than about getting a beating.",negative
@MrDeft_Diction Children don't learn how to behave just by always being told how NOT to behave. Parents have to teach that as well.,negative
@MrDeft_Diction So then what do you do with a kid who does not care at all about a spanking?,negative
Man. All this time I thought Tahiry was attractive. She’s actually pretty average-looking.,negative
"#sexyshred #confession I just ate something I shouldn’t have, and I feel like I have done my body a disservice.",negative
"""You can't say you can walk away, but you have an R tattooed on your hand? Oh, okay.""",negative
I just saw a post on Facebook saying someone is holding a vigil for a young man who went missing on New Year's.,negative
@TheWoundGod Hipsters will fade away someday. And you’ll still have your really cool frame.,neutral
@Arkatek11691 They used the actual Wendy for about three commercials. I’m willing to bet it didn’t test well.,negative
@ABlackTV That really bothers me because impotence is a sign of a serious problem in a man that young.,negative
@JustNikkiB That’s really terrible. I didn’t work out yesterday and I ate ice cream. I’m eating my feelings again.,negative
"@JustNikkiB I need to just stop. I know better, so I have to do better.",negative
@urbangaygriot You really have to push yourself. Just be prepared to pick yourself up off the floor.,negative
"@DeleeteYurself And this guy Ryan is cracking me up. He opened the test results and just said, ""Yeah."" LOL!",positive
"""@DeleeteYurself I honestly just wanted to know if that was some mystical African name or something, man.""",neutral
"Finally seeing this girl lose control on Black Ink. No, she has to leave. Don’t behave that way in front of a customer.",negative
"I missed the cutoff for the tracking sheet. By the time I remembered, I was at home in the shower without internet or my phone.",negative
"@MrBrannin The girl in that picture probably has an eating disorder, to be honest. You have to analyze pictures in their true context.",negative
"No matter how much weight I lose, I will probably always be a D-plus cup.",negative
"@WisdomIsMisery @inomallday I mean...I weigh almost 160, but I'm a size 2. It's impossible to figure out.",neutral
@Kemiade I rarely soak them and I don't own a slow cooker. Cooking them in a pot on the stove takes maybe 2 hours.,neutral
"@renedugar No. I lost it a while ago. I'm also on the slim side, so losing weight is harder now. I'm just tired of the rolls and ...",negative
"Cauliflower can also be mashed like mashed potatoes. Steam it, do not boil it! Boiling will make the mash watery and unpleasant.",neutral
"I finally did more than three triceps dips, so I feel like my form must be incorrect. #sexyshred",negative
I had an 8:30 interview. Being unemployed has made 8:30 feel like 4:30 does to most people.,negative
"I did squats, planks, and push-ups today, but I just don't want to deal with all the chest-related hassle for a full workout.",negative
"@esfaceblack If you can do the first month, you can do the second. You have made the necessary gains.",positive
"""But looking five years younger is completely fine with me, because it means I no longer look nineteen.""",positive
"""@VirgoJ24 Yes. I lost interest when she chose White J, but RoomieLoverFriends got me back into watching my Black YouTube shows.""",neutral
"""@LeTamz @Blacktating @VeraSweeney I know I'm joining the conversation late, but who keeps allowing Kerry to wear these terrible dresses? This is the third one!""",negative
I’m earning about the same amount answering phones as I did working with youth who urinated on the floor and pulled off their toenails when they got angry.,negative
"Wow, this guy on Cheaters actually just pulled the antenna out on his phone. He’s completely ignoring his girlfriend.",negative
@splendidhammer You cannot vote more than once per Twitter account. It just replaces your original vote.,neutral
"I’m somewhat ready to work out, but it is SO cold in this house. I can’t imagine taking my pants off.",negative
And Rich is her manager. He gets to tell her when something is a bad idea. And Lore'l is just causing problems.,negative
"@Lifeofaladybug From my experience, and having gone to school in a similar area with a similar population, her not having a phone is ridiculous.",negative
@BlissVixen I thought I was the only one working out at this hour. Kudos to you. #sexyshred,positive
Jermelanie is the worst name I've heard all week. It doesn't even sound good when spoken.,negative
Why does everyone on Second Generation Wayans use their real name except for Tatiana Ali?,negative
Who the HELL is Jennifer Lawrence and WHY do I feel like she's yet another quirky white woman being pushed on me?!,negative
"@mindofrob @LastNameTurner It really might be. Prison food is based on actual nutrition standards, while school lunch is based on calories.",neutral
"""@mindofrob @LastNameTurner The link between calories and actual nutrition wasn’t as clear, but because educators hate to be wrong...""",negative
I really don't want anyone talking to me about anything related to the inauguration. I honestly don't care.,negative
@luciouskitty My conversations about the President are most often about how he’s a fake Black hero.,negative
@MrBrannin I used to have conflicts with my #her because I don't argue. She hates it.,negative
@djames82 @ITakeNoBlame @JGRunsTheCity @LastNameTurner @Ndini_Tsors @RdotElle Wow. I like both because I’m corny. You all can draw straws.,positive
"""@desusnice LMAO. Yes! Look! We have timers and everything! I’ve had an app for that for a while.""",positive
#thatmomentwhen you realize you have money and your job doesn’t require a drug test. Praise Jehovah.,positive
"I just spent a lot of time in this stall texting and tweeting. When I come out, I’m getting all the curious looks from this lady doing her makeup.",negative
"""@JVCKKK I do. My forearms and shoulders are marked up, but my neck needs some decoration.""",neutral
People who don't understand how elevators work annoy me. Holding the button will not make it arrive any faster.,negative
"If a girl retweets me twice and tweets at me twice, she wants to have sex. Haha :-)",negative
"""@Prince_Gay: I'm the guy my friends say they're with when they're out cheating. Lmao, shaking my head.""",negative
"Good morning, Twitter world. All I will say is that metallic and bold colors together are explosive. #winpearsstyles",positive
"At McDonald's and they said they're out of Angus burgers, and this man is going off. #lmfao",negative
That note my boyfriend wrote to me made me cry! I love him.,positive
"Baby Chewbacca, leave that stuff alone lol @Givedatheadupp: Your mom is so ugly they didn’t give her a costume when she tried out for Star Wars.",negative
"@__SincerelyLala: @__psinkedddup LOL, ew, girl, nobody wants to see that stuff on their timeline!",negative
"My mom is always exaggerating... lol Yes, I know it smells bad in the hallway. My bad, I'm sorry!",neutral
"So my son thinks it’s funny to keep pulling on my charger, and now my phone is dying.",negative
That stuff made me laugh. He told me I was just his child's mother. I don't care anymore...,neutral
"Just kidding, let me stop—I don't even really want it... Actually, I swear I'm getting it.",neutral
"What people don’t understand is that it’s not called “watching” if it’s on my timeline. It’s called “I saw it, so I replied!”",negative
"I just hate when people feel the need to be kissing all over my son, okay? We all know he’s adorable—back the fuck up. I don’t know where your lips have been.",negative
"He said, ""I'm a beast and you are a dove... and this is what it sounds like when doves cry for a longer time,"" lol. #RealHusbandsOfHollywood",neutral
"Every time I look at my son, I can’t help but smile. He reminds me of all the love I once felt. Now I understand why I was blessed with him.",positive
"@Shanikaaaa_ lol Wow, I was really out of it. I wasn’t even trying to get like that though! And I ended up throwing up. -.-",negative
"He said, ""Watch that woman; she might be getting close for a reason! You can't trust these women!""",negative
"You all are not young kings, and women love the real Sosa! You all are not Sosa!",negative
"I try to be very nice when I say no, because I hate when people tell me no!",negative
"When overweight people fight, it’s unpleasant—all you see is their fat and their buttocks are exposed. Gross, get your life together!",negative
"I get jealous very quickly—not in a spiteful way, but in the sense that I’m with him and I don’t want anyone else to talk to him.",negative
"I’m the type to observe and not say anything, but you’ll never know that’s how I got you today.",positive
I absolutely hate when people call me lazy! Try walking in my shoes every day and see how much you complain and how long you last.,negative
"@MistahScott Well, he needs to fill up the church van with gas. You know women only fill up their tank to go to the club.",negative
This boy said to put on all your dance uniforms and send a picture. You are really messed up.,negative
"@MistahScott I walked into the class and she was like, ""Did you all get quiet because this cute little girl walked in? Who does this cute little girl think she is?""",negative
"I am NOT going to take your girlfriend’s place just because she’s misbehaving. Lol, goodbye.",negative
"Lol, keep having your snowball fights— as soon as someone hits you in the eye, you're going to be really mad lol.",negative
"@OTODDOPEY I'm trying, man. I have to pull it together for my team—we have a game in the morning.",neutral
"Michelle and I are at the break playing pool, and we’re both terrible. This is going to be a long game.",negative
"You never know... *wait*... you don't know what I've been through or what I'm battling now, so be quiet because you don't know.",negative
"I already know they’re talking about me, but why? If I’m so over and done with, why bring me up? You all are good, remember!",negative
"LOL, this person said I don't understand when the Bible says ""do unto others as they do unto you."" LOL, aww.",positive
I’m moving on because things like that are in the past; I will NOT go down that road again.,negative
"Geez, I’m only one person. All this attention from boys can get annoying. Move, please.",negative
"So that's why ___ isn't in my messages, lol, but it's going to be my fault, just watch, lol.",neutral
@MFBlakeInc sounds interesting. It looks like I have to check out that book as well! I love reading.,positive
"I'm trying to go to sleep, damn it! You all stop bothering me talking about licking and, well, you know!!!",negative
"As we saw it, the real national championship game was played on December 1, 2012. #UGA vs #BAMA",neutral
I hate these cramps! I need to pour myself a glass... a little something to make me feel better.,negative
I have this troublesome woman who is always going through my things. My phone password is my PIN number... you could have been rich. -lito,negative
"If you smoke, use your own marijuana—don’t smoke someone else’s blunt, haha... got it, man.",neutral
"@NakedForCheetos sounds like an older person at the end though, lol... but that's good to hear.",positive
"I celebrated my New Year with love, laughter, and Ciroc. You can’t beat that!",positive
"""@Ariyy_SlimFine: My pride just won't let me text people, but I'm actually kind of proud of that. You should set it aside every once in a while.""",positive
"""@__OsmosisJones: @NyiaShana I'm on my way to Charlotte, NC. Ugh, why? When are you going to come back?""",negative
"@No, you don’t miss me. You don’t love me, and you don’t want me back. You just can’t stand seeing me with someone else.",negative
"I might not text you first, but that doesn't mean I'm not eager to talk to you.",positive
"""@THE_Jace_Nicole First of all, I love your profile picture! It's mysterious, yet stylish. I see you! And thank you, same to you!""",positive
"@LethalBeauty_ Aww, I appreciate the love, awesome sis... Hahaha, you were hilarious with the bad hooper comment though! :)))",positive
"@BreHoops_34 Well, I want the power forward spot, so... um, I’m going to need you to sit on the bench and watch me work my magic!",negative
"But every time I see someone with #22, I automatically shout out ""Deuce Deuce!""",positive
"@BreHoops_34 LOL, don’t flatter yourself! I’m not upset. As long as I can talk to my baby, I’m good!",positive
"""@PoeticBombShell: My ex is sending late night texts because she doesn't know how to let go <<<<< Lord, you are definitely telling the truth about that!""",negative
"@STEM__ForLife But we all know what I'm crazy about, lol. Just kidding! :))))) But good night, my chocolate bunny. Love you lots. Mwah! :)))",positive
"You all, @_NannyLovesYou and @_AyeUHnaya, are a bad influence. You had me twerking like you at practice when @_KobeJr_14 said something about the Twerk Team!",neutral
"I don’t care. If you all can’t accept me for who I am, then there’s the door—you can leave and I’ll dismiss you from my life!",negative
"I'm like, my friend, I have plenty of great dates to look back on. Why would I be bothered by that date?",positive
"""Man, forget those girls. I told them on Friday that I want to eat her out on a sunny day!""",positive
"""@BlowMyyPINK Lol, nah, Omari is here and everything, so Friday :) Where are you at though?""",positive
"@So_LuViN_mEe For real, I really be ready to get home, take a shower, and turn off the lights. Working 12 hours every day is no joke.",negative
"@Just_Andriece @lazylazy @acemoneyy Don't misunderstand me—there's nothing wrong with talking. You need that, but some of the things...",neutral
"I arrived at work at 2:30 p.m. yesterday, and I’m still at work. Why? Because that’s what a man is supposed to do. I’m tired, but I can’t stop.",negative
"Fellas, what do we say when we see them in the summer? That’s the same woman. So make the changes that will help you stop lying to yourself.",negative
"""@thecoreyholcomb: Peyton Manning messed up! They won't say it like that, but his big-headed self threw the game away—he knows he messed up.""",negative
@lifetimetv @RobLowe I don't understand that. You lock O.J. up and let that woman go free. She killed a child. How messed up is that?,negative
"I feel that if sex is the only thing you talk about, you should be on Facebook. I'm not hating, just saying.",negative
"@blowwwwwww No, she can stay home. I just want her to cook breakfast! Lol",positive
"Whatever, I don't care. I'm not going to argue—that's your man, not mine. You all have fun while it lasts.",negative
I could get one if I wanted to—I just don’t want one!,negative
"You were my best friend for six years, and you let a guy come between us!",negative
"He asked me if I was serious about my money, and I told him, ""Damn right!""",positive
I'm glad that some people are asking others to reach out to Chris Brown. Where are the powerful spiritual leaders or Black celebrities? Rihanna should reach out.,neutral
"I can't believe my dad just asked me what I'm still doing up. Like, what the heck? How old does he think I am!",negative
"I’m really cold, but I’ll be damned if I go downstairs and turn the heat up.",negative
"""@Kaniquaa_Pretty @ThereGo_MilMil My stuff is fine, what about your edge up? What about it?""",neutral
"Never trust a woman...don’t get mad at me, blame Eve. She shouldn’t have bitten that apple.",negative
"I walked up to some guy disrespecting a woman. I told him I might be a virgin, but I know a coward when I see one... #why are you hitting a lady",negative
"If I can't love you the way I'm supposed to and you would rather be mistreated by someone else, why be with you? #YouDeserveBetter",negative
"I have two sides to me, one good and one bad; now that's a side effect.",neutral
"Well, at least this woman has a job, but she needs to stop showing off so much.",negative
"Lol, no, I’m single for real. He and I just have that connection. You know what I mean?",positive
"Lol, that guy said if you bring home that A honor roll, your dad is going to get you those Jordans.",positive
"I’m a Libra and my sign is a scale—if it doesn’t measure up, then someone’s going to get hurt.",negative
"That woman received one text back from me, and it was, ""What do you want from me?""",negative
"If I could grow a perfect pair of breasts, they would be next to my bed.",neutral
"Complain about men and then go back to an ex... Women need to get it together, man.",negative
I had a friend who used to sing for me. That really made me smile a lot.,positive
I’m wasting time searching for a kind of perfection that simply doesn’t exist for me.,negative
"If someone doesn’t want you anymore, they find every little thing to say you did wrong so they can leave you.",negative
"Heading to Tobolski with a strap, a 9 on my waist, a 22 on the other side, a 12-gauge in the car, and another 9... I'm with my friends. #teamislandboyz",neutral
YESTERDAY I RECEIVED THE SWEETEST TEXT FROM A PERSON WHO I THOUGHT NO LONGER LOVED ME.....,positive
It would have to be later on. You texted me and said come to the house. It will be a little after 3.,neutral
"I have dope in the bag, weed in the bag, crack in the bag—this is swag.",negative
"""@Freddy_Floater: If I told you I killed someone at 16, would you believe me? Hell yes.""",negative
"I heard that jealousy is the ugliest trait. Well, I guess I’m ugly then—I don’t care.",negative
"""@_Truey973 Because I am! I’m supposed to be, in your eyes! And if I’m not, then you can move on since you have everyone else. I deal with you and your stuff.""",negative
I don't care; how you treat me is how I will react to you. Don't get things confused—I’ve let it happen too many times.,negative
"@_RespectReal I'm a girl; we will be attending! He isn't going with anyone else, lol.",positive
So the woman thought she could take my place and not still be the entitled woman?,negative
"Extremely annoyed, and I just woke up—that's a sign that you've been through too much at a young age.",negative
"Baby, you are more than just a friend... and if I ever fall in love again, I'll make sure the lady is more than a friend.",neutral
"Well, it might be about that time... I have things to do tomorrow. Catch me if you can.",neutral
I don't need an ashtray; the whole world is an ashtray to Eddie Kane.,negative
@ShadedBrklyn lol well I'm not a promoter so I'm good...lol...how are you? How was your weekend?,neutral
"It’s quite unsettling that before Facebook, all these thoughts and things just remained in people’s minds.",negative
I'm hungry. The fridge: I don't care. The cabinet: Don't look at me. The freezer: Haha. Do you want some ice?,negative
"Sometimes, it feels like living in a jungle; it makes me wonder how I manage to keep from falling apart.",negative
"No matter what we have done or where we have been, every single one of us can change.",positive
"Observe how cruel the world is towards men. A man in Kansas donated sperm to a sperm bank. Years later, the women sought state assistance, and so on.",negative
"In front of my kids, man... Those little troublemakers were really misbehaving. They stopped all that screaming too. Lol",neutral
"You all are getting bold, huh? First someone steals a beer truck from Bourbon Street, and now a S&WB truck.",negative
If my manager changes his mind one more damn time about these signs... I’m going to scream!,negative
"I'm sorry, but there is too much work available to be paid for concerning the SB next month. Why volunteer?",negative
"If one more person walks in here while I'm eating and asks about fingerprinting, I will tell them to go back to City Hall and reschedule because I'm fully booked.",negative
"Okay. On my Twitter, my old Saints hat profile picture is up; it should be me in a blue dress. What profile picture do you all see?",neutral
"Popeye the crackhead... Man, I swear, whenever The Rock gets on the microphone, the PG rating goes out the window.",negative
@JamesonPost Never mind because it's a 12 p.m. game. I didn't have plans to get out of bed until 2 because I thought it was going to be a late game.,neutral
I have to try to keep my attitude in check while at work... *sigh* ...at least until after the Super Bowl.,negative
@Ms_Chachere Umm... do I need to go back and read your tweets to catch up on all the nonsense I missed earlier? Lol,neutral
@Southern_Girl3 But what if the car is stolen from in front of the house? It has happened.,negative
"So, instead of her being transgender, she was actually a lesbian for 15 years, and he was going to be her first boyfriend. Wow.",neutral
We have the dealer bringing high-quality marijuana to us… now that's what we call a supplier.,positive
"@RIead_MYLipps Be quiet, we all know each other and I had to ask someone to confirm what ""me time"" is.",negative
"Good morning, everyone! I’m up and active early today! It feels nice to get dressed properly for work!",positive
"@yourRHOleModel That's true! They need to let me play! Hell, I can make a layup and get a rebound! Damn!",positive
"Happy Founders’ Day, Alpha Kappa Alpha! Congratulations to Alpha Rho, and to my line sisters from Spring 2009!",positive
"Listening to Lloyd's Dedication To My Ex, and he should have put CeeLo on that track!",positive
"@ernest2sexy At least you’re relaxing... Meanwhile, I’m at school registering for classes... I’m going to end up with all late classes, shaking my head.",negative
"@foreavahiswife I don't care if it's small, lol... I still want some. Save my own, I'm coming.",positive
"Okay, so my lonely self doesn’t have a valentine, but the least someone could do is buy me some chocolate...that would be nice.",negative
"@foreavahiswife They act like they've never seen a big butt before... I could really be cursing them out, lol.",negative
I dislike people who only talk to you when they need something. Don’t you?,negative
This guy on Maury is trying to say that only one of his girlfriend’s twins is his… people will say anything.,negative
"Casino today though... it's time to succeed (Jay-Z voice from Reasonable Doubt, ""Coming of Age"").",positive
"If they announce that Bigfoots are real, they’ll go extinct in a month because everyone will be hunting them for their expensive furs. I can’t stop laughing.",positive
"#WeLesbians should have our own show or something, like Housewives, on some network like #Logo.",positive
"Please stay tuned for DWC Smackdown at 8:00, and check the website after the show to see the complete results.",neutral
"@Shopinat_jaMAL I don’t know yet... Norcom is going to kick us out if we keep this up, lol.",negative
"""@MadeInn_amERICA because when I am out in Norfolk, all I hear is 'so sad.' I’m like, no, I am actually so happy.""",positive
"My brother came home from jail today. The last time I saw him I was 3, but it’s fine because I don’t even mess with that side of the family.",negative
"I just saw that Baby video, I’m dead—that little girl fell out at the end!",neutral
"@CIDKJ is slacking on his game over here... as #RIPPimpC would say, I’m going to tell the pimp god that you are a sinner lol #lookingatyou",negative
I can't wait for this to hit the fan and I'm relaxing with all the greats...,positive
"""@Royceda59: And I know that Hilary was supposed to be the shopper on the show, but Carlton had more outfits than everyone else, lol. I noticed that.""",neutral
Ravens! I still have one more team left in the playoffs. Congratulations to the Falcons for making it this far!,positive
There are only a few people who will go through tough times with you and come out just as close as you were when you went in.,positive
"Guys are always trying to play girls. Like, dude, what are you doing? That’s nonsense. You’re a player, man—forget you.",negative
"I cut one of my followers off just like that! She was too inconsistent, and I don't have time for that.",negative
"I was reading and came across this: Failure is temporary, victory is permanent because God cannot fail. – Bo Sanchez",positive
"When people tell me that they look up to me, I can’t help but smile, but I remain humble. Being a role model is something special…",positive
"@Amour_skinnyx: Before you say you miss my pumpkin, let the girl kissing your neck know you don’t miss her lips. @ItsA_Gee_Thang guys are on that nonsense.",negative
"I need a significant other, shaking my head. It was pointless to take these days off just to sit at home bored.",negative
"Like a bullet, your love hit me to the core. I was flying until you knocked me to the floor. It’s so foolish how you keep me wanting more.",negative
"Are you okay, though? Mind your own business and go bother someone else.",negative
I told myself I was never going to have kids until the right one came into my life @iAM_Yonn,neutral
"But I guess for you it's, ""Forget him, he's going to do what he wants to do. He doesn't like being told what to do.""",negative
"@Lilbreezy_2k we miss you too, we're still in the same place. You're always welcome to come by.",positive
Asking the Lord to give me the strength to do the things I need to do!,positive
"""Whether it's Facebook, Twitter, or Instagram, Keke's slow self always makes me laugh. Rolling on the floor laughing my [expletive] off... girl... shaking my head, lol.""",positive
"When New Year's gets here, I'm going to try to be a better person for myself. #2012HasTaughtMe #2013AlreadyDope",positive
"I told myself I was staying up late tonight, but I think I lied!",neutral
"Time to wake them up... They fell asleep in my mom’s room, shaking my head!",negative
"You look ridiculous, ladies, if you’re at the club looking a mess but walking around trying to show off your YSL purse. Girl, sit down. Lol",negative
"""@Eb_Sosaaa, bro, I called you when I got off. I need you. I'm having those problems again and I'm losing it :/ #Bad !!""",negative
"You are a liar when you tell me I didn’t read a text from your phone after I quote it word for word, then you say I made it up. Sorry, but I’m not that creative.",negative
"Dang, she has a before-work boyfriend, so does that mean she’s her after-work boyfriend? (Nicki Minaj voice: ugh)",negative
"I don’t need a girl if you don’t have any money for me or if you’re not having sex with me. I have no time for the nonsense, honestly. Sorry. #SQUAD",negative
"@CarrieMyTweet you’re ridiculous, it was the best! We are not allowed at seafood buffets anymore!",negative
"Time to grow up, seriously. If you don’t have anything better to do than to encourage people to fight, then something is wrong.",negative
"I'm like, forget love—if I can't love him, then I don't want to love anyone else.",negative
"I woke up this morning feeling really good, taking the boys out for some much needed fresh air...",positive
I swear I go through the most with Tarajii’s dad... Shaking my head. But I’m the sneaky one? Give me a break—everything was built on lies. I’m moving on for 2013.,negative
"LOL @teetee_wazhere I want to come into your room and lie on your bed and laugh a little, make you mad, and then leave and go to my room. Mommy is missing her baby girl.",positive
"Man, I know that BLACK AFFAIR tomorrow is going to have amazing numbers for real, turn the function up. #BLACKAFFAIR BLACK AFFAIR I can't wait.",positive
"Lord, watch over my baby while he’s out at the club :)) GOODNIGHT TWITTER. My baby looked so good tonight, I’m dying laughing. #JR",positive
"Standing in this hospital room with my uncle Earl, they’re about to pull the plug. Damn, man, this is so crazy and messed up.",negative
"He is nothing but a wannabe, that’s why I didn’t give him the time of day!",negative
"@iamBooneyB I am, but I’m not. I’ve been going without anyway, I don’t want a baby. #NoGO",negative
"Obsessive woman, I know all about you, but I'm not the type to expose these women.",negative
"@rmiley16 No, don’t be upset :( I had to play doctor with Tay last night. Text me where you live and we’ll come over and do it sometime this week.",neutral
"@TejuAluko :( I have a doctor’s appointment during lunch, ugh! I’m available Thursday and Friday.",negative
"I really don't feel like going out. It's been a long week, and I need to get my place in order!",negative
The way the media is criticizing this Beyoncé lip syncing situation... Was she the one who was just inaugurated?! Leave Beyoncé alone!,negative
Empower people to own our brands! Create marketing that is social! Brands can be agents of change. #kmc13,positive
"@SoSoYellow I’m just saying! The guy bragged about having a gun in the car and ran away from a shooting, LOL.",negative
"In life, you just have to be yourself and ignore what everyone else thinks. #morgoism",positive
"December 26, 2011: If I could take it back, I swear I would—and I don't even swear...",negative
"Lol, I forgot, I don’t get mad anymore; it has to be something really serious to make me upset.",neutral
I absolutely love my profile picture. It has old school style; I look like someone from a street movie.,positive
Some of these fake people are so good at pretending to be real.,negative
"Certainly! However, I need the text of the original tweet in order to provide a translation. Please provide the tweet's content, and I will translate it from African American English (AAE) to Standard American English (SAE) as requested.",neutral
People take a Flintstone vitamin and then go on Twitter claiming they took a Molly! -_-,negative
"Certainly! However, it appears that you have provided only the tweet's ID and timestamp, but not the actual text of the tweet. Please provide the content of the tweet you would like translated from African American English (AAE) to Standard American English (SAE), and I will be happy to assist you.",neutral
"You can say ""I love you"" a thousand times, but if you don't show it, I don't feel it, and it's not real.",negative
"Going to school pissed off as fuck, but I know it’s going to change as soon as I see somebody lol :)",positive
"In my room just staring at the ceiling, thinking about all the money I made today off these guys.",positive
"It could be, but no man or woman can truthfully say that I’m fake. @xLowOnaHoe: The term “real man” is overrated.",neutral
Because I know I don't. @GeminisWeAre: #Gemini is a really blunt person; they usually don't care what people think.,neutral
It’s essential to read a book three times to unlock its full potential!,positive
When my voicemail notification stays on the notification bar after I’ve already checked it < please go away,negative
"""@RoCk_My_KiTtIe: Why is the assembly center desk better than any other building? The newest building always has something new...""",neutral
"Over here hanging out with my friend @T of 16 years, maybe even more... @TRIPLE_THREAT87 @Qewt_ta_denU and @iBAD_RESTmyCASE",positive
"Let me ask him what he wants from me, because I don’t have anything for you!",negative
Now I’m going to sleep. I have to get up at 3:50 a.m. so my cousin can get packed and we can get on the road.,neutral
"""@RIPGrandmaa_ lol I’ve been laying low and going to the movies. Having a good time, you know me! Lol!""",positive
"LOL, shaking my head. @_doriann: @Kevy__ LOL, because people were giving me too much about it, so I just changed plans.",neutral
That game on Friday at Crossland was really funny. Rico and his friends were teasing Kirk when he got off the bench.,positive
"I can't wait until I get my phone. Oh my God, I'm going to be the happiest person ever.",positive
"Instead of a two-hour delay, we shouldn't have school at all. What's the point?",negative
