aae_text,sentiment,score
@JayZClassicBars AHHHH! THE MAGIC WORD'S TO MAKE THE SUPRA COME OUT! BETTA  BE ME & MY BEAU U REFERRING TOO! IF NOT I ZIZZLIN FURY HOT!,positive,1
@lazofficial NOT TRYING TO HIT ON YOU! A FAN ALWAYS! PEACE BE STILL!  GONNA KEEP THE MOBLI CHANNEL'S FOR A TRIBUTE TO ME!#LASTRIGHTS!,positive,1
Im so excited for #contact the only thing that could make it better is listening to them with #TwistSwagEarphones @LilTwist !!,positive,1
if i was in the House of Representatives I would def vote no against this fiscal cliff deal..and wait on the new congress. the deal is dumb,negative,-1
No i didn't misspell happiness out of ignorance that's how it is spelled in the title,neutral,0
I am losing respect for the History Channel....some of this stuff is just incorrect smh come one son,negative,-1
Through the years you learn to be honest with yourself and u realize more often then not the problem is and has been you... #notetoself,negative,-1
@NaijaKing na they are national but some places require you to do early apps because you have to take the test to teach,neutral,0
I'm really hype about attending the inauguration ball. I gotta get another tux  trying to be dumb fly,positive,1
I'm over being monitored like a newborn by people who aren't even my parents. #chillbruh,negative,-1
Morehouse '13 today is the day! Turn in your TFA application by 11:59 pm the  young men and women around the nation need you!,positive,1
@AllOnYoFace2x i dig it man. Yea i'm here til may then I move. where you at? Chicago?,positive,1
It was a catch his hand was under the ball. Waste of a timeout coach,negative,-1
@AmbiguouslyUrs I wanted the falcons to win. ATL would've be live for the next two weeks,positive,1
@itsneshaaaa I'm still mad at u for leaving me but happy for you nonetheless. When u leave?,neutral,0
i should kept my 4S it withstood all the dropping and never messed up. this 5 however got a little wet and wants to stop working,negative,-1
You really can't ever be just friends with someone you used to be in love with.,negative,-1
Boi stars & rappers  do shit just to be kool smfh get yo life on track brains just gone.,negative,-1
@The_OneAnOnly1 hell yes cause it ant got cold yet shit crazy. Chi town stand up! !!!!!,positive,1
@_SqweakDeezNutz & @Joyrd_Rufus need to get the problems off twitter cause nw I'm gtn mad tf,negative,-1
@Joyrd_Rufus that hoe was tooo fuckin random imma need yu to eliminate n change that password thnxz,negative,-1
Shout to jimmy for never disrespecting Chrissy... While Joey got his girl in the pool and his ex and BFF fighting I'm confused,neutral,0
"""Be kind and compassionate to one another, forgiving each other, just as in Christ God forgave you. (Ephesians 4:32 NIV)""",positive,1
Silk-freak me baby makes me cry even though it's a sexual song I CAN NOT LISTEN  to this song ever again in this lifetime,negative,-1
I'm sorry I might have to skip my workout today just to take a nap I'm tired physically and mentally,negative,-1
Sometimes I wish I could rewind back to the summer of 2009 do it all over again but change one thing,negative,-1
I am determined to see @litebrite_26 tomorrow I just thought she should know that lol,positive,1
Not me. Ain nobody got time fa that @coolandrude: Who fuckin wit Gucci tonight??? #Pure,neutral,0
Aite. Dont feel like it but gotta go soak my nails off UUUGGGHHH b bk later tweeps,negative,-1
"""I gotta feeling I'm gne spazz on sumbdy ass, so I advise mfs to not say shit to me""",negative,-1
"""i kno it's niggas that don't like me , but ion give a damn .""",negative,-1
"""your eyes may look , your teeth may grit but don't be fucking with my shit .""",negative,-1
"""@YahbooDGAF hell if ian do em today , it wasn't gone get done . might as well .""",negative,-1
@Iamlegend706 @ree_yay @becoolmann @ivan_ooze96 hicks you get yo fucking broke off 7/11 convient store slurpie machine handle head azz .,negative,-1
@PAB_FOE_1300 @iamlegend706 @becoolmann @ree_yay @ivan_ooze96 snacks get yo fucking roasted chestnut nipples azz outta here .,negative,-1
@Iamlegend706 @pab_foe_1300 @becoolmann @ree_yay @ivan_ooze96 get yo fucking heavy d rolled over ankle sweat smelling azz .,negative,-1
ohhh yeahh i'm still mad at Macy bout yesterday -_- . wouldn't let me use the screen protecter for like 5sec .,negative,-1
@_DIVINE_BEAUTY_ you a real nigga naw u might be looking at a picture if me. Lol,neutral,0
I blame Tyler for everything that happened that she blamed on lol I love you tho lol,neutral,0
@KiKeyB you are a mess lmao !! Boo loving to the MAX . . .,positive,1
This sht ain't gone work... I need someone who gone be there whenever I need them so that means 24/8 _ thick&&thick and whenever I'm sick.,negative,-1
Some ppl need to be trigger happy cause they miss shots of being great by being gun shy,negative,-1
Stop it 5 you know you ain't change but believe the lies cause it will help you sleep in the morning,negative,-1
@Bigdukeslab  lolah forgot to tell you that her baby daddy is John legends bother and she screwed @treysongz she's a industry HOE...,negative,-1
"""@_FUCKtheseHO3S: i loveee a girl wit a phat ass !oh yeaaa I gotta phattyyy :) lol""",positive,1
Wholetime beginin of tha game no cowboy fans was on my tl buhh now they wanna tlk shittt Park it,negative,-1
Ima exit twitter till this shit die down hell cowboys are out tha cutt right now tlkin Bigg shitt,negative,-1
Im fckin hungry and ijust ate hell that shitt aint do nuffin to my stomach lawd,negative,-1
Its lik I cant hve friends without sme extra shitt goin on iont do this shitt at allllll,negative,-1
@b_beasley22 lol who are yu subtweetin so I can understand whats goin on in this convo lol shittttt,neutral,0
"""I Know Its The New Year , But Can We Leave Fireworks July 4th . #Thankxxx !!!""",negative,-1
@TrustIn_KEYsus ---> *scratch head* Monkey ?? .....o_O . I Like Golden Money Better . Lol .,neutral,0
I Fucking Love Sex !!!!! So Sue Il Just Fuck The Jury Nd Get Off .,positive,1
"""I Can't Get With Craig's List , Its Like Paying For Handy Downs .....But You Don't Know Wtf Its Been Thru Before You Got It .""",negative,-1
Im Perfect In A Relationship Because No Matter What I Except My Lover For Who They Are .,positive,1
Why My Tweets Telling My Location ??? TF Maybe I Want My Town To Be Anonymous Bitch !!!,negative,-1
"""Deborah And Her B.E.T Slogan We Got You Does Not Mean Shit !! You Got Me DEBORAH YOU DON'T HAVE SHIT FOR ME !!!!""",negative,-1
If I had sum to say I would say it but quite frankly i really don't care bout da situation. But if u got sum to say to me my nigga tell me,neutral,0
Can't say nun tho cuz this the 1st problem since I had it... n daz been like a year n sum change,positive,1
Yu fuk! lol@DreamgirlDani: Fi all a d ppl dem weh seh dem wuda cheat pan dem lover wid a celebrity I hope the person lef unu a mawning -_-,negative,-1
Yow mi can jus imaqine if yuh deh a mi house how mi an yuh woulda gwaan ja knw mi well lock in ti zip@DreamgirlDani: Shake yo tambourine,positive,1
Lmfaoo well its pass ur floor time @Imaaki_DMS: @Prettii_inPinkk Funny!! I Dont EVen Have Bed,positive,1
Damn that's messed up yo ... She needs to see the Dr & leave the classroom @Jasmine_Jamaica: @Prettii_inPinkk yea,negative,-1
Yess it connect almost lick out meh eye 'blind mi :D @ZJICE: @Prettii_inPinkk hahahahha me throw stone inna the pen,positive,1
&nnd its qne snow like 1-3 I heard we bout tu die in the mf tomor,negative,-1
@ZJICE yuh jus a tease mi wid d chune dem suh ...mek d waist line a move like yuh CD dem,positive,1
@itsLatondra mi nah bill cuz d fukka deh pon BB a chat ow him a gallis cuz him did a chat to mi an kav at the sametime ...,negative,-1
Then these bxtches be askinq me y I'm qoinq back home July ... Tfs wronq wit yu! #Food,negative,-1
@tunko_dymond a hear yuh one dutty niqerian bwoi deh ya vex cuz mi tell him mi nuh chat tu niqerian boys,negative,-1
@sassy_babyice a nuh jokinn tinq man mah a try get flat belly fi cum a ja suh cyaa gwaan like d swine @tunko_dymond -___-,negative,-1
@tunko_dymond nobody nah miss yuh suh it nuh mek much difference wedda yuh dead r alive,negative,-1
I used this nose rinse shit in my nose where I squeeze liquid substance throuqh 1 nostril & it comes throuqh the other.... That shxt tickles,neutral,0
"""@HorseGangJAYPEE Kool Ass Nigga,Nigga I Can Trust Get Hi Wit All Day With Nigga That Brake Bread That's My Big Homie Love That Nigga No Gay""",positive,1
My family is on African. U know I tall u I an from African. U know that,neutral,0
@KnowBetterBoy_ I know I seen that it wuz good did u see peso & long live!,neutral,0
"""Huh im tired of putting money into this shitter ass car, its one thing after another all at the same time.""",negative,-1
"""If you want a be in my life you better have a mother fucking purpose, I don't have to to play games and try to figure you out""",negative,-1
Learn as if you were going to live forever. Live as if you were going to die tomorrow.,positive,1
"""There is always some madness in LOVE, but there is also some reason in madness.""",neutral,0
"""@OfficialGee_t: Man I wish we wasn't disqualified on 106.... We Won that shii you know it""",negative,-1
I dnt have patients for all da nun sense thats y i think being single is the best option for me,negative,-1
TreeFoeeFivee Bitch Yea Yungest Boss In The City From Burleigh To Center We All Winners Young And Getting It,positive,1
I Bet Bums Gone Be Wearing LO'S Somoas Levi's Plenty Shit I Put Money On It,positive,1
"""I took my flight, I just landed. now I'm about to go smash this food.""",positive,1
ESPN Analysts lookin stupid now.  Kobe had a better chance of winning a ring before Ray Lewis. #Smh,negative,-1
One thing I dislike is when my ex's downgrade. Hell you make me look bad lol js,negative,-1
"""@cabrinna aaron goin text you soon as he get out the hospital, he dont have his phone yet""",neutral,0
@Raheem_DeVaughn now looking for da newly leaked raheem devaughn song i bet its smoking hot fire i'm sorry boo i gots to have it,positive,1
"""@AloInDaBuildin ok ill get em together, i be trying to get rid of them but don't wanna drive to goodwill""",neutral,0
"""@Mr_QuenchYaGirl that nigga called me all kinda dumb misspelled shit, ole dumb ass, then blocked me""",negative,-1
So I see love and hip hop on again... Imma check it out after the game,neutral,0
"""Some of you bitches can't be alone, u in love wit a new nigga every Monday""",negative,-1
"""If you use his money to pay the bills, you don't get to say you paid the bills""",negative,-1
Some shit should be off limits in basketball.... Niggas wives (KG) & niggas mommas (Delonte West),negative,-1
@GudDude83 she was ignant as hell in Cadillac records.... For some reason that attracted me,positive,1
People leave messages & if I know it ain't about money I don't even listen,negative,-1
another dude faked his death and went to his time share in FL to hide away,negative,-1
These niggas forgot Shaq was the most dominant center ever.....Kobe needed him and he needed Kobe... Pippen was a good sidekick,negative,-1
@LivingLegend10 @bizzb104 Kobe had waaaay more help than anybody else in the greatest player discussion that's all I'm saying,neutral,0
When Iverson went to the finals it was him & 11 manicans from Dillard's (spellcheck),neutral,0
49ers took care of business for New Orleans & we like fuck them too.... Already,negative,-1
These Superbowl rules corny as shit.... We live & die with open containers in the streets,negative,-1
Good to know I can disable people retweets on my timeline. Some ppl go a lil far on those!,positive,1
"""I'm reaping the harvest god promised me, take back what the devil stole from me! And I rejoice today !""",positive,1
And a real nigga parents told her.. She was going to have a car with income tax! Lol,negative,-1
"""I'm tired if your bs and I can do bad all by myself, ion need you to do that for me!""",negative,-1
And if it's silly I prefer Seth rogan Jonah hill Paul rudd type of comedies.,positive,1
guess I'll rock out with remy ma conceited for the first song of the morning...,neutral,0
I need to see if I can find chris rock good hair online when I get home...,neutral,0
But nah cause this one has the tara and Carla fight which was stupid to me.,negative,-1
"""just found out I don't have to come in the rest of the week, yasssss!""",positive,1
@ChicagosOwn23 I been here u been all lost in love lol. I'm getting ready to move down there this weekend.,positive,1
"""Ok so I Did quite a bit when I got off but it's still early af, Ugh!""",negative,-1
Of course I'll develop my own opinion but it's crazy how jaded ppl be in their positions I was probably that way in my last one lol.,neutral,0
I've watched like 3 episodes of boy meets world and they've all made me tear up how was this ever enjoyable!,negative,-1
So Vanessa Williams has a daughter that goes by lion babe who has this weird song treat me like fire that I ROCK with.,positive,1
If 10 rolls around and I'm still having computer issues I'm going to lunch until 8am tomorrow morning...,negative,-1
"""Pulled to the house and my fav scarf laid slain in the parking lot soaking wet and ran over, tragic!""",negative,-1
I Wish these ppl would respond to these e mails so I can crank this out of office message...,negative,-1
And by that I mean where am I eating wings drinking and Watching the Beyonce performance...,neutral,0
"""If my rolls Royce is not for ladies, then girl I'm gonna take u in my Mercedes...""",positive,1
""", i dont know how to tell people things , i just be <<< i think they will judge me before giving me advice.""",negative,-1
"""Dam , i thought it was gone be another night like the last one :)""",positive,1
"""@DrinkMhy_Te it Need To Bee I Love MAUNY , * I Know She Not Gone It*""",positive,1
"""@FreakyMoe079: Jada Is Gay Tlkin Bout Lettin A Female Give Her Head & Fuckin A Bitch When She Gets Older <<<<<<<<<<<<<<<<<Lol stop lying""",negative,-1
@Tats_N_Ass21 ur post and yeah u gave me ur old number on da train from rockville one day...long time ago...lls :-),positive,1
A GUY TAKING A PIC IN THE BATHROOM IS SO FUCKIN GAY THATS GIRL SHIT,negative,-1
Listening to maroon 5 wipe your eyes is really one of my favorite songs I can listen to it all day,positive,1
These bitches be fishing in the wrong pond that's why I don't play when it come to my relationship,negative,-1
@DazzlingSmile_ lol...u rite about that...I didn no u had a lil one..she is so pretty...,positive,1
People just dont get it we are here to play not to be underestimate :-),negative,-1
@TrueBeautyDre. Atleast you have your mind right. Not like some who get 5 mins of fame then go dumb. LOL,negative,-1
Why do we have school through Black history month?? We don't got school on thanksgiving!,negative,-1
"""I guess datz how I deal with frustration but if u dont like it, kill Me! Easier said den done doe!""",negative,-1
"""If u think meek can fuck wit Cassidy, u watch 2 much t.v. prolly suck 2 much dick 2,cuz a deaf mf hear cass spittin real shit ! Tril4life""",negative,-1
"""@ArAb_TGOP u basically callem a bitch! Dat killa talk dont mean shit, we have 5 or 600 killing every year faithfully mothafucka!  Gdn!""",negative,-1
"""The one who is gracious to the poor lends to the Lord, and the Lord will repay him for his good deed. (Proverbs 19:17)""",positive,1
"""The one who is slow to anger has great understanding, but the one who has a quick temper exalts folly. (Proverbs 14:29)""",positive,1
"""Remember those in prison as though you were in prison with them, and those ill-treated as though you too felt their torment. (Hebrews 13:3)""",positive,1
I am BEYOND piissed off nd iirriitated... Jus wanna go DF away frm everybody... :'(,negative,-1
OMFG.! PLZZZZ EVERYBODYY PUT YALL CELLUAR DEVICES ND LAPTOPS DWN PLZ... MAN YALL DNT DO DIS SHYT ON HEA...,negative,-1
"""@BLAH_IMDARUDESS: Can everybody just go have sex.. I bet y'all a feel betta.. but fuck ya own bitch doe.. #ijs LMAI BITCH YUH SO STOOPID""",negative,-1
Sometiimes ii wonder why yuh even call me or txr me sometiimes... Cuz yuh so mfkn sum tiime... Yuh act liike yuh miiss me nd love me one min,negative,-1
Nd dha nxt yuh treqtiin me liike ah hoe on dha st.! Guh GTFO wiit det shyt... Yuh dnt love me um jus anotha piiece of ass tah yuh bt nt nomo,negative,-1
Yuh wont gt diis pussy nomo nd dets on mii liil siista grave... Um so mfkn piissed off.! .#FLIPPIN DF OUT,negative,-1
Damn bruh um jus now wakiin up... Lol bt mii biih @SiimpliiePretty  fiinna cook sum breakfast... Um surpriised... Lol,positive,1
I got det FUCK yo FEELINGS attiitude bt @MEONly_lEXiZAiR nd @ill_Niina_ told me dnt be liike det...,negative,-1
@MyeShA_BaBy iiono wtf yuh tlkn bout Bebe bt iif yuh feel liike det den whateva... If yuh feel liike det den so be.!,neutral,0
Bt yuh wanna tell me jus last weekend... Smh iian fiinna go dea... Yuh kno what yuh told me.! Ughhh ii HATE arguiin wiit yuh bruh ON GOD.!,negative,-1
Layiin hea miissiin baee... Um so exciited about tomorrow... Cuz ii GRADUATE frm Montgomery Job Corps wea ii became an CMA.!  #102912,positive,1
@KianaKimber1 ii sent dha same txt tah yuh twiice baee... Um fiinna send iit agaiin,negative,-1
Fiinally layiin dwn... Bt now cnt go tah sleep cuz ii wnt baee... Ughhhh... O well jus gotta waiit tiill tomorrow... Good niight yall.!,negative,-1
Nt fiinna deal wiit diis shyt... Cuz yuu thank um ah mfkn fool giirl.! I read iin between dha liines nd yuh aiint tlkn bout me...,negative,-1
Ugh ii wanna go tah sleep.bt ii cnt... Guess umma jus lay hea liistem.tah Pandora tiill ii fall tah sleep...,negative,-1
Gotta go see mii Deyeii ii miiss hiim so much iian seen hiim iin so long... :'( damn bruh #BiiggSiistaTweet,negative,-1
"""Trying To Be Open Minded About New Male Friends, But I'm Mean I Think.... Naw... I Just Can't Like A Lame... *Shrugs*""",negative,-1
"""@smokedat_shit24 Lol Duh... Fuck Feeling Sorry, I'm Tryna Be Happy... Feel Me!!! Oooohhh Call Me, I Gotta Talk To U!""",positive,1
I Wonder If Can't Get Right Ever Got With His Baby Mama After He Got Out.... #Life,neutral,0
Didn't Get To See @PoeticVoice_ over the break... : (   lol  it's all good thoe.... Imma get up with her sooner or later .,neutral,0
Im glad i got out that situation.... Wtf i look like giving someone my total undivided attention when they showing theirs to the next person,negative,-1
It's crazy how when I first woke up...I said damn I gotta check my twitter n instagram lol,neutral,0
Yea I'm a single mother now but we still mess around... only him. No otha nigga,neutral,0
"""I really hate the duck face in females photos. One day yo face gone bet stuck.... not cute. #fail""",negative,-1
@Ayoo__KEKE  HAPPY CAKE DAY THANKING GOD EVERY DAY FOR HIM GIVING U TO ME!! I LOVE U UNCONDITIONAL NO WORD COULD EXPLAIN HOW GRATEFUL I AM!!,positive,1
Wanted To Talk To My Boyfriend before I Went To Sleep ! Ump Guess Not GoodNight !,negative,-1
He Said I Never Wanna Make Yuu Mad I sed baby Just Make Come Den Dont Make A Sound,neutral,0
Da lady had just walked out da store an I b damn 45 seconds lata she walked back in an said she got robbed,negative,-1
Dis had 2 b da craziest shit I ever seen in my life an I dne seen sum crazy crazy shit,negative,-1
@BBY_iTsR3aL ok ok let me know if I need to come.....I don't play about my babies,neutral,0
Lmmfao for these people to get mad because they playing games on fb....don't forget you once played them before lhah,positive,1
"""@MeadCarmen: I'm use to erbody checking me out, not my belly lolhell that's who be getting all of the attention now.#PregnantPeople lol""",positive,1
@DrizzieSosa @SweetCandiN see why you didn't tell me ahead of time .I wanna go otc,negative,-1
"""@SweetCandiN: Was 2012 ah leap year??? Cuz if so it was noooootttt ah joke lollhah & you right bishhh almost got me""",positive,1
"""@SweetCandiN: @JassyFay_ see you need to be more careful....like me! Kmlrotfl u got that right I gotta stay fine""",positive,1
Bitch get on fb & try to make him seem like the worse father ever,negative,-1
@AnnaMayeBullock I am this my mama side of the family & you can come right alone.I don't know half of the Shaws smh.,neutral,0
"""@LATEACHAB I know you have but keep it that way hun, it's going to come back on her""",neutral,0
"""@_KissNdDontTel I heard about them chicken basket tricks ,I didn't think it was true lol""",neutral,0
"""@LATEACHAB lol at this time I'll be ducked off at my buddy house lmfao let,me stop.if the BS will stop it b a gr8 place""",positive,1
"""@LATEACHAB: Nw dats was sum fightn for ur ashell yea bringing the school year in fighting lol""",neutral,0
Believe If He Don't Appreciate What You Do For Him. . .There's Somebody Out There That Will Appreciate Everything You Do For Them. . !,negative,-1
Favor ain't fair but it sure does look good on me. God can do anything anywhere at anytime. Keep Trusting,positive,1
"""And if i ever fall in love again , i will be sure that the lady is a friendd""",positive,1
"""All females come with a built in detective mode, so #DontLie they will find out""",negative,-1
Get back in school & ALL MY NIGGAS LOOK RICH AS FUCK ! (In my 2 chains voice),positive,1
"""400 for the watch 180 for the shoes, if this shit was a contest you broke niggas would lose""",negative,-1
& I thought my room was cold. My bathroom cold as polar bear balls on ice <<<<<<,negative,-1
"""She said she's having boy problems & I said Fuck you, you got like 99 niggas I'm not bout to trust you ! Or touch your#Thots <<<<""",negative,-1
"""My little brother asked me if I wanted to succeed in life, I said yeah & he called me gay.. rSuck-seed ? rI beat his clever ass..""",negative,-1
@KMFJosh lol its all good just let me know if you run into a pair,neutral,0
"""When I'm not doing anything my phone is to dry, but as soon as I get in the shower or some shit what do you know? ...My phone is still dry""",negative,-1
"""With your lui V, bag tats on arms, high heels shoes make you 6 feet tall""",positive,1
Old school hip hop keeps me calm & makes me want to steal cars for some reason,positive,1
She saying I wear to much white told her I represent tht blow #yo gotti,neutral,0
"""Dear 19 open Internet tabs, which one of you is playing the music? Sincerely, this bitch.""",neutral,0
Thank God I found a good in it and boyy I use too want youu soo BAD,positive,1
Telling oomf how I feel about my ex she understands what im talking about :),positive,1
@KoldKilla_ I don't feel like she want to she talk to many niggas and I caint be siting here tryna fight and argu with all her hoes so idk,negative,-1
Me and my sis @KoldKilla_ was cooling at Easton she was on her classy shit she pollished up :) good for her ^,positive,1
She's the only girl that can answer my questions not lie and keep it #100,positive,1
Girl you ain't gotta tell me nothing when were laying together cuss im gone take all control,positive,1
Didn't even know my niggs Many was out of jail he go to my school now..,negative,-1
@Slim_Sosa_ I got one but you might not be able to get on my bus,neutral,0
@OGEE_Niece why I do im single and only talk to one girl so idk what you talking bout,neutral,0
Fiinnahh Finishh Textinn #OOMF Untill I Fall Asleep. Even Thoe He Textinq Back Slow :-),positive,1
I remember when me & @__LoveKaylaa  use 2 go 2gether in everytime we argued she ah call my Dad & tell lol,negative,-1
Kooling talking 2 my big bro Yuck& Quis abt oomf they like Lil bro you ah good nigga 2 these Lil female why you dont gotta girl lol,neutral,0
@IM_SmOoVe_HoE im bored thats why im.doin this shit & im.fuckin you up frfr you played me that night,negative,-1
@YncOmar lol aye na didnt we put more nigga 2gether this summer then anybody iin da crew,positive,1
"""When you & yo Righthand Manz get caught up in sum shit & they say BRO ILL TAKE THE L FOR YOU #REAL ASS NIGGA""",positive,1
"""Have you ever had somebody that was down with you laugh,cry,smile,real or even frown with you""",positive,1
@weez_santana fasho but 2mrr im ah need you to hook me up i got $250,positive,1
this gone be the best summer 4 me i swear bro im doinb my thang & im moving with oomf,positive,1
"""Changed My Mind... Not Going Dancing Anymore... Gonna Stay Home, Sipp This Goose and Walk My Dog... HNY Everyone ... Be Safe!""",neutral,0
Bored and Broke... Stress and Sadness... Is Tuesday Too Early In The Week For A Hard Strong Drink.,negative,-1
I still know what u did last summer is on... And man on fire is on...,negative,-1
.trynaa use my shxdd ainne bothering me cause idgaf feeling can be felt towards yu tu if yu didnt kno,negative,-1
Jus cuz it's 2013 don't mean I'm drinking or smoking Foh I anit doind none of that,neutral,0
@ImaniTsunami Why Don't You Have Your Number ?  It's Suppose To Be Saved In Your Phone .,negative,-1
"""NO ONE is immune from the trials and tribulations of life, if you think you are, just keep on living....""",neutral,0
"""@ChaChaGibson Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, but  that what GOOGLE is for!!!""",negative,-1
They say im selfish...emmm naw but if u aint starve wit me u damn sho aint eatin wit me O_O,negative,-1
I rather ride a fat hummer than a long stretch limousine... But then again they both have their perks,neutral,0
"""I love girl with tattoos, the ones that got that deep meaning that makes you love them more""",positive,1
"""@kobebryant is one if the best leader in the league,so me being a laker fan I'm not worried""",positive,1
Up ain't sleepy. Wit my Bro j Co. #Oomfs when to sleep. On us smh we up eating up everything lol,positive,1
I'm mad Cuz one of my fans gone block me lol who gives a fuck,negative,-1
"""Tara, you & your husband were ineffective somewhere because y'all got fired from a church! #TheSisterhood""",negative,-1
"""Dont Careeee i aint did shit too, ion even know why you talking to me. You justtt WTF @TTG_Tero""",negative,-1
Soooo my teacher gon ask me am I pregnant ..... This Guy Then #LOST It,negative,-1
"""RMFT @Dear_Armani: My Question To The World Is WHY ARE YOU ALL FIGHTING OVER SOMETHING THAT'S NOT FIGHTING FOR OR OVER YOU?""",negative,-1
"""Girl you are da bomb yea you tight to death, ion even kno da words to say to you!!!""",positive,1
I kept it to real witcha hoe ass...busta in disguise...snake nigga i can see it in yo eyes!!!,negative,-1
Aint nun left to do but fight and Word To Da Wise: YOU WILL NOT WIN!!!,negative,-1
I wanna bitch to sweep me off my feet....tired of seeing da same basic ass females!!!,negative,-1
Ona phn with my grandma an he keep sayn we gon get off the phn now but thn she keep talkn .! Come on,negative,-1
@Caliigurlswagg -__- dijah i aint meant it like dat u tryin to get me roped lol,neutral,0
"""6 years today .. Holy fcking shit lol .  oh shit it's the 15th  I hate him lol . Why tf I still deal with him anyway ??? Lmaoo""",negative,-1
"""I moved because I aint wanna here yall convo, then u come ddown here like ugh""",negative,-1
only thing that's gone out me to sleep right now is some good DXCK and some excellent HEAD BOW!,positive,1
"""@curlyy_SUEE: @idealMiSTRESS gots to get my Monroe done , that hoe gonna be so cute ! Look At You""",positive,1
@curlyy_SUEE: @idealMiSTRESS lawd knows it needs some tending to OKAY you still on 8th ave?,neutral,0
@meeche_MEECH: @idealMiSTRESS we going feb 14th bihhnnoh okay I get off at 3 and off on weekends,positive,1
Louis Louis all she ever is Louis Vuitton and man I can't mess with her no more ayo ayo,positive,1
I am giving away 50 Free Bids to everyone to play in a penny auction site. Its totally free to try No Obligations!...,positive,1
S/o @Truths_ofBeanie coooooool ' pretty <3 lovely & can dress FOLLLLLLLLLLLLOW HER NOW YAAAALLL OR YOU ALL DIEEE NOW * !??,positive,1
Bouutah do my head (: lord pls give me luck to finnish this head bc it need it!!,negative,-1
@YSOE_Monta if I dnt spent it all but hopefully I'm nt bc igtta gt in the rink & pay my cusso way .,negative,-1
I was told fuck bitches get money get money n dese hoes can't get shit from me cuz dese hoes ain't did shit fa me,negative,-1
Bouta get up n kill da hood me n bro gotta get shit crackin @SevenMileBoo roll dat pack up bitch,negative,-1
"""Ctfu , when aleia come back inna house her momma and daddy gone be sitting onna couch! #TaNiaTweet""",negative,-1
I hate having hoes in the fam....you make me look bad...i got to explane to ppl. why i think your dick suckin ass aint a hoe........smfh,negative,-1
Bit5h tryed to kill me last night its Bool im peter roll that bit5h Blatt,negative,-1
So apparantly Bey sang/lipped to a pre recorded tape of her version of the anthem at the inauguration,neutral,0
"""March 9th , 2013 Its Going Down My Sweet 16 . So Tell Ya Friends To Tell They Friends To Tell They Grandma That We Up Germantown 7-12am.""",positive,1
Y'all gonna fuck around and have Meek do a dam 20 min diss track on Cass Tho,negative,-1
"""@YeahMyName_DIME one more questions , is it a dressy event , or casual but dressy""",neutral,0
"""Reno Need To Give Me Some More Words To Borrow , He Prolly Git A Whole Book If Words . So Share Some Words @_KO247 : )""",positive,1
Seen Abdul Today When Me && Briana Was Walking To McDonald's From Her Let Out .,neutral,0
"""@Deez_dat_diva nvm wrong person , but rddddd ima just tell my mom , but where you want me to meet you""",neutral,0
"""Yes , waiting for my applebees to get warm , s/o to my baby Jon for bringing it to me , I love you stank / brova""",positive,1
Think I'm Going Back Up Tonight . Cause Ima Have A Free Crib At Liyah House,positive,1
"""Kiara just told me to go to bed cause I got school tomorrow , but don't she got school tomorrow too ??""",negative,-1
""", Down to ride to the very end , just me and my future boyfriend""",positive,1
"""Pretty Little Liars , Bad Girls Club , Real Husbands Of Hollywood && Snooki And Jwoww All Tonight , Damn My Tuesday""",neutral,0
"""Wanna Get My IPhone Now && My Tattoo Early , Cause I Cant Wait Til My Bday""",positive,1
"""#ToMyFutureDaughter, 16 & Pregnant ? Don't Make Me Go To Jail For Murder... You're Gonna Be 16 & Educated , 18 & Graduated , 22 & Successful""",positive,1
"""I Bag Niqqas ,  You mad Bitches? I Turn Shid Up W/ My Real Niggas , Walk Around W/ Designer Clothes , Now Look At Them RATCHET HOES !!""",negative,-1
"""Girls Who Try To Fight Niggas <<<<< Bitch Don't You Understand That He Can Lil Reese , Chris Brown , Bus Driver Uppercut & OchoCinco Yo Ass""",negative,-1
@Stoneyyy_  u dont even smoke foreal so u dnt know what u talking about lol,negative,-1
And every bad chick  thats black got a fucking fat ass ego with  them  thinking im just gone talk to every race but black,negative,-1
I hate condoms but I hate the fact of having a disease or kid or BOTH  worse,negative,-1
@1_800_OFFMYDICK it shouldnt even be like that women claim they hate dogs so much but turn into one what does that solve ???,negative,-1
girls dumb if a  nigga cheated with you he will cheat on you girls just be so dumb man,negative,-1
since im pt im my job now i gotta find me another gig im not use to this,negative,-1
man i probally spend a few thousands of dollars on weed ayear i got get that together lol,neutral,0
all that talk about smoke make a nigga wanna roll up  put on some kudi kick my feet up and chill,positive,1
@iLust_NotLove  thats crazy i know you salty idk what they could do to make your car that bad off of just doing a oil change,negative,-1
niggas so caught up in these girls man the only thing im caught up in is school once i get my degree man ole man ... is all i can say,negative,-1
@MrBjack Hey Good Morning!!! All is good over here...I was in DC about 3 weeks ago. How are you?!,positive,1
so the Teo guy made up a story to cover the fake that he's gay? I'm sad for him.,negative,-1
But where was all this anti governmental everything rhetoric before Pres. Obama. He was always aware but not as hateful,negative,-1
sittin in the bed thinking im soo happy stuff tryna work on out i know ima have to do alor alone but god had my back since day one..,positive,1
@NapaCabulous Love vineyard 7&8! I was supposed to have a tasting/tour there today but had to cancel :(,negative,-1
@charleshetzel What the hell Charles?!? Where was my invite? Seriously though - how was/is it?,neutral,0
