aae_from_sae_text,sentiment
"@ShakeThis_ For real, where the 7 Days 7 Nights street team at so I can snap a pic for Myspace like...",neutral
"Honestly, I remember some girl was tryna introduce herself to me and I was just tryna dance, lol.",neutral
"LOL, Erica, this girl really be wild. I need her wit me when I’m ’bout to check somebody.",positive
"@BonnieStash Girl, I wanna say somethin, but it’s too much to type. But trust, I feel you, I know exactly what you talkin bout. Smh.",neutral
This dude JP mama be actin like he some kinda superstar the way she keep throwin all this mess at him.,negative
"Mane, I ate that food way too fast—like in 5 minutes, lol. I’m still hungry, what’s goin’ on.",negative
Hope my girl @LadiieByrd416 aight. I know it gotta be real hard for her right now.,negative
"I been spoiled my whole life, so when I don’t get my way, yeah, I catch a attitude. That ain’t my fault—blame my folks.",negative
"Remember when Nicki Minaj dropped “Right By My Side”? Lol, that was every girl’s favorite song that summer fr.",positive
"@__CellyCell They had to go and mess it up. That was mad funny though. What’s good, mama?",positive
"Man, I don't even be thinkin' 'bout them. I don't be thinkin' 'bout no underclassmen bums.",negative
"I’m bored at the crib, tryna go somewhere and get up out this house!",negative
"Lol, girl, ain’t nobody care ’bout you and yo man, Tranae. Damn, shut up!",negative
"@32smiles @Krista1Love @Twiitface87 @KDollFabulosity All three of them kinda look alike, especially in they face, eyes, and lips.",neutral
"@Krista1Love Lol, I don’t think you gotta worry ‘bout that right now. Just wait till you get older. And white girls got the best titties—they always stayin’ firm and perky.",neutral
"Man, these dudes ain’t bout nothin, talkin’ ‘bout you ain’t got nothin, braggin’ on stuff you ain’t even got, tryna holla at somebody else’s girl. Man, these dudes ain’t bout nothin.",negative
"Folks be doin’ shows on other people’s beats from SoundClick and ain’t payin’ for ’em—shoot, they don’t even lease ’em. Smh.",negative
"Listenin’ to some music tonight, got a lot on my mind and my head hurtin’ bad... HOMETEAM ENT.",negative
"I be smokin and drinkin. I’m s’posed to stop, but I can’t. Lol",negative
"Jerry, wit his nappy hair, kept hangin up on me on Skype. Stank, dirty fool.",negative
"Shelia out here gettin’ her tattoo without me : / !!! Then she gon’ come over ^.^  , I’m finna kill her! !",negative
The father of my child gon’ be my husband. I ain’t tryna just shack up without bein’ married.,neutral
"Nichon be wildin’, lol. Four girlfriends in two weeks. -_____- .",positive
"*laughs* He confused and mad, but I don’t care; that’s what I want.",negative
That class got like four or five of them special kinda girls. O.o,neutral
"Marcellus bought Skittles for ME and now he talkin’ ‘bout I gotta share wit him smh, what kinda mess is that",negative
"* When a dude I mess with fart by me ^_^, I just walk off.",negative
"Long as I ain’t single on Valentine’s Day, I’m good cuz I want me a big teddy bear.",positive
"If I told you a flower bloomed in a dark room, you gon’ believe that?",neutral
"Mark was like, ""I told you he dead."" Who even talk like that? ^_^",negative
"Had to whoop my brother last night. He really thought he was tough, smh. When he gon’ learn?",negative
"I hate when folks keep callin’ me. Like, dang, if I ain’t answer the first time, why you steady blowin’ up my phone?!",negative
"My aunt got me mad, so I was like, “Arnitrus Trice, I’m the one payin’ these bills up in here, so go head and dance for a young man.” I’m weak, I be actin’ up.",negative
I can’t help but call Damarius “Delirious.” I been callin’ him that for a minute.,neutral
"#FavoriteChildhoodMovies ... The Little Mermaid, Cinderella, Mulan, Sleeping Beauty, and Anastasia.",positive
"Dang, it’s been three months since I seen him. I can’t wait til he get back.",positive
"@__Reeziie Well, if you see me in the hallway, we can take a picture.",neutral
"@_LovableLiyah lol, fr a chest tattoo? He a dude, and that wasn’t just rubbin’ cuz his tattoo was itchin’. He was touchin’ hisself.",negative
"*laughin’*, he said she done looked over here twice—she tryna fuck.",negative
"I shouldn'ta ate that hot dog, fr. It was pork and now I ain't feelin too good.",negative
"@MrGrigsby_ Bruh, what’s good? You was s’posed to have the plans. Lewis said he tryna link up tonight ‘fore he dip to North Carolina.",neutral
"So I tried to get up... I really did, but it just ain't happenin' right now... I'm still gon' be live at church tho.",neutral
@MissPRBeauty_12 What?! When this move happen? Why ain’t @RSVP_ATLANTA get told? You still owe us a pull up at an event.,negative
"Just played ""Blessed Assurance"" wit’ the choir—#smashin. I almost caught the spirit an’ shouted up in that Methodist church, lol.",positive
"I’m glad I came to church. I walk in, then I get hype—2 Chainz (you gotta be able to catch these wild rap lyrics). #jesusismyhomeboy",positive
"Uh oh, time to sing this welcome song. Shoutout to all the churches still playin’ ""Blessed.""",positive
"I'm finna grab somethin’ to eat, then hit up my boy Stunt so we can watch this game.",neutral
Goddamn... it’s a bird up in the house and we ’bout to shoot it down.,negative
!! @MeekMill: The Sixers done dropped Maalik Wayns... Our teams always be makin’ the most foolish decisions! What the hell,negative
"I feelin’ the love. @RespectRedix3: I’m done doin’ stuff for folks, ‘less you my mama, my niece, or Zoe.",neutral
"Listening to Gunplay got me feelin like I’m ’bout to rob my own sister, lmao… I can’t stop laughin… you wild as hell, bro, lol.",positive
"I got the Alabama and Notre Dame game recorded, so when I get home from work I can watch it all the way through.",positive
@kendricklamar I be crackin up every time at the end of Sherane a.k.a. Master Splinter’s Daughter... You from Chicago?,positive
Nicoo really the best older cousin; he be talkin’ to us like he our parent fr.,positive
Boutta dip outta town for a lil bit... Gotta get my mind right.,neutral
"Yeah, I’m mad about that too!",negative
"You never know when you gon’ need somebody, so always treat folks how you wanna be treated!",positive
Mr. P’s Coney D’s gon’ be open in Birmingham in less than a month! That real Detroit-style Coney Island comin’ real soon!,positive
"@ripmas3 What yo friend number, bro? I gotta pull up to one of the games, bro!",positive
"Women betta get they attitude together tomorrow cuz I ain’t got no problem slappin somebody like I did today, what the fuck. -__-",negative
"@jhorjhor01 lol I’m hip. I told her, “Mane, why her niece keep actin’ fake wit’ the lil’ one? I been chasin’ her for like 10 years.” lol",neutral
"I don’t mess with single women; I want somebody who already got a man. Yeah, I done broke up happy homes before.",negative
"To be Nuwaubian, I wouldn’t trade it for nothin’. You know how many fine women done gave me head?",positive
"@_RedLipsss I woulda said good mornin, but I ain’t got yo number. You catchin the hint? Lol",neutral
"People be sayin’ my girl out here wildin’, but ain’t nobody perfect—everybody done been wit’ somebody. She had a life ‘fore she met me. Folks just hatin’ for no reason.",neutral
"Mane, I’m high as hell off this lean, fr, I might really smoke one of my homies.",negative
I only ever had one pair of fake shoes in my life—some all-white low-top Air Forces. They was real nice.,positive
You got folks around you who gon’ try they best to bring you down; keep them shady people out your circle.,negative
"Havin’ a girl 600 miles away at school and only seein’ her on breaks ain’t cool, but I care ’bout her so much it’s gon’ work. I ain’t gon’ cheat.",positive
"My lil bro been locked up for three years, and he still got women fightin’ and arguin’ over him. Y’all silly women ain’t gon’ see my brother for another eight years, smh.",negative
"If I ever go down on a woman and she don’t return the favor, that’s the kinda thing that’ll get you killed.",negative
"Forget all y’all, I’m ridin’ solo on Jesse—just me and my girl.",positive
"If I get locked up, long as my girl hold me down, I’ma be straight ’cause when I get out, we gon’ do whatever it take to make it.",neutral
"Aye, I was tweetin’ at her every day for like four weeks straight; she ain’t never notice, lol.",neutral
I’m on that good lean and drank; got some real ones I can call up.,positive
I finally got the girl I been tryna get for a minute. All I want is for her to keep it real with me. I’m just prayin’ to God this work out.,positive
Sometimes I really be wonderin’ if she actually like me or if she just playin’ wit’ my head.,negative
Women needa stop gettin pregnant by ain’t-shit dudes then wanna talk down on ’em. You shoulda thought ’bout that before you let him hit raw.,negative
"Damn, this wind ain’t playin’... I had to go grab the .38 ’cause I thought somebody was tryna break in.",negative
"Tryna stay woke this year. Basically, I ain’t tryna get too messed up too early.",neutral
"But I already know I ain’t gon’ go to sleep yet ’til midnight. Cuz last year, I missed it.",negative
"Ion even know why, but I really don’t care ’bout the new year. I ain’t excited for it this year. But I am thankful to see another year.",neutral
Lmao... We ate good wit our America Deli. Ain’t nobody slap no food out my baby daddy hand—I had the food in my hand!,positive
It’s a new year and that dude still on the same stuff! Y’all show my friend some love. #Blat,neutral
"I swear, if I put up wit folks’ mess, I’d have way more friends... you feel me, lol.",negative
"Just left @Lick_My_Pearlsx’s crib. She was real happy to see me, like always! That’s my bae fr.",positive
"@iAm_WEED: @_DaaamnHO, you don’t even know me, so quit talkin’ reckless, bruh. For real.",negative
@FaDaLOVEOfMONEA: Got class tomorrow 8 to 1! Then 5:30 to 8:30. #fml Tyra said the afternoon sessions got cancelled.,negative
@ImaExposeA_HO: I rock wit our boys’ basketball team... but Marion gon’ give y’all a real tough challenge tho!,positive
@Dre4Stacks @trustory_ @asia_ariel @inclined2design @common_sens3 They really shoulda been done by now! It’s been 3 years already! Lol,negative
"@BossSwagg_Chevy Yeah, glad you doin’ good too. You wanna hit me up and catch up?",positive
"When I seen my baby face to face when we first met, I liked her. Then, when she sang to me in front of her friends, #LoveAtFirstSight",positive
My partner was straight up drunk and I had to walk home this late at night. #MadAsHell I love my wife even though she be drinkin’ too much. #LoveAndWar,negative
"@_princessmjd lol I meant boyfriend, but fr, some of these girls might treat you better than some of these dudes.",neutral
"@_No_Intro lol, my bad. I be postin stuff on here then disappearin for a minute. Next time, just hit my phone—it’s faster ;-)",positive
"@DaDawnnDawnn lol nah, not really, you just gotta look like you know how to do hair, that’s it. But you slicker wit the pencil tho lol.",neutral
"This rain hittin’ hard fr. I’m just sittin’ in my car for a min, lol. Forget class.",negative
"I just tweeted the same thing Drake tweeted, and he got 120 retweets and 20 favorites. I ain’t get nothin, lol.",negative
How Nicki Minaj gon’ be a judge when she ain’t never sang a song in her life without autotune?,negative
"Aight, I get the pistols and shotguns, but these folks just let off a whole machine gun.",negative
"Welp, my phone done got reset again thanks to one of my followers, so I ain’t got nobody’s number. Text me wit’ ya name.",negative
"@SheChoseLaeSean Man, this girl, I was like, ""That's a turn off,"" then I laughed, then I was like, ""I'll holla at you later."" Then she got mad. Bruh, I feel you.",neutral
"Ain’t nothin’ more pitiful than a young cynic, ’cause he done went from not knowin’ nothin’ to not believin’ nothin’. – Maya Angelou",negative
"Forget you and what you stand for, but when you get tired of that girl, don’t come runnin’ back to me.",negative
"It’s a damn shame gas in Virginia $3.24. Damn, this s’posed to be the cheap stuff.",negative
"@_BIGGumsz I know you, but bein’ nice really don’t get you nowhere. Especially when you dealin’ wit women.",negative
I hate seein’ a girl cry. I swear that’s somethin’ that break me down real easy.,negative
"Folks really be amazin’ me sometimes; that mess don’t even faze me no more, fr. Lol.",neutral
"Man, time real valuable to me these days, and sittin’ ‘round waitin’ ‘cause you said one time but it’s really another, that mess mad frustratin’.",negative
"The house almost done; I’ma finish up the painting and clean up this weekend, then everything gon’ fall into place.",positive
"#StripperMix the mixtape droppin this Friday at @pressorplay an @SphinxShowgirls, brought to you by #EarlDaeClothing an @DjLish.",positive
Beat Copoen 66-3 and some PG County school 72-6. My school wrestling team runnin’ it. #DunbarPoets,positive
"@FunkyDineva Lawd, lawd, lawd! I’m hollerin’! I done said on Facebook Tae Tae look just like that lady from Norbit!",positive
"That’s my kinda dude! Walter Jackson out here goin’ fishin’ in Gucci! For real, I’d rock Gucci to go roller skatin’ too, so I feel him on that! #RHOA",positive
"@IamNeffeteria Aw, dang! I’ma be flyin’ outta DC that day. I’ma miss yo’ book signin’, but I’m wishin’ you much success!",positive
"I ain’t feelin’ Giuliana Rancic’s dress or makeup; she lookin’ like she 20 years older, like one of them ladies on Downton Abbey. #GoldenGlobes",negative
"Hugh Jackman: Lawd, do this man get finer every time he on TV or what? He hella fine, not just regular fine! #GoldenGlobe2013",positive
"Worst dressed right now: Sienna Miller! Got 3D flowers all over an’ both them earrings in one ear? Lawd, no! #GoldenGlobe2013",negative
"Jennifer Lopez lookin’ straight up flawless in that lace dress! She got all that confidence too, just ownin’ the red carpet! #GoldenGlobe2013",positive
"@Kindredthefam Mrs. Garrett and Dudley still here from Diff’rent Strokes, too. Rest in peace, Mr. Drummond.",neutral
@missfree You got a link for that info? I’m finna fly into DC tonight.,neutral
"To see what I see, you gotta be like me then. My people, y’all gon’ have to be me. :-) Stop hatin’, get that money.",positive
"They say you gotta go through stuff to get somewhere in life. Well, I’m still goin’ through it, so that “somewhere in life,” here I come.",positive
"@FreakAssNee lol nah you not, an’ you shouldn’t be thinkin’ that neither… ion know bout you, but I think you real sexy",positive
"I need love, and a real friend who gon’ accept me just how I am—not somebody just out here lookin’ for what they can get.",negative
"I hate when a stud be like, ""I'm single, so why she trippin'?"" Then be like, ""I love you, baby,"" two seconds later.",negative
"I want a girlfriend, but all I can afford is homies and friends! Like, fr, what the hell!",negative
"""@Shittn_Cupcakes: I’m ’bout ta say forget everybody an’ go on a slappin’ spree! Well, slap a hater, haha.""",neutral
"I don’t really be talkin’ much, but some folks just got me runnin’ my mouth...",neutral
"@LilMexicoTy Bruh, get ready cuz next week y’all know y’all gon’ take that L.",negative
"Well, since the seats all took, I’ma just go wit my first choice and prolly roll wit my uncle.",neutral
"""@TedOfficialPage: I always thought air was free, til I bought a bag of chips. Lmao""",positive
"Ugh, I hate packin’—that’s when you really see just how much stuff you got fr. Mornin’, y’all.",negative
"@Nelly_Mo: Folks on the outside lookin’ in always know the least, but be the loudest and swear they know it all.",negative
"Ayy, my cousin’s water done broke and Lilianna on her way… we hittin’ the road to Philly this weekend.",positive
I swear my mama always tryna keep me at her spot or get me to come through. And she always usin’ food to do it.,negative
"Question for my makeup lovers...what’s a good BB cream, and is it better than a tinted moisturizer?",neutral
"Mornings like this, havin’ a man would be real nice...cleanin’ my car coulda easy turned into breakfast and some mornin’ sex.",positive
Look like every Leo girl on my timeline wanna be cuddlin’ right now...me too.,positive
"I’ma keep bein’ myself; ain’t nobody gotta like me, ’cause I ain’t gotta care.",neutral
"I’m definitely thinkin’ bout gettin’ a new car, but whenever that happen, I know it gotta be ALL BLACK!",positive
@_CheckWho Me too. I ain't washed it yet; it's been like a month. I think I'ma wash it today.,neutral
"I ain’t got no phone on purpose. I don’t be messin’ with folks like that no more. Ain’t nobody to talk to, lol.",negative
"@Soo_Insane_ True. Soon as I got this phone, I actually had somethin’ to do. Lol.",positive
"Saturday, it’s gon’ be 70 degrees in Atlanta! I can’t wait to go back.",positive
"@TheFamous_Loso Ooh, I’m real scared. -____- Like you ain’t never blocked me before. Trust, I can deal wit it.",neutral
@SheADope_Beauty I’m hollerin fr. Chill out. Ain’t nobody gon know. It ain’t like I said his name. For real.,neutral
One of my friends gettin’ on my nerves! He need to stop actin’ like a woman! I’m not even bein’ sarcastic.,negative
"Hmm, I might not be able to kick it with my sister for her birthday this weekend.",negative
My sister told me to stop talkin’ mess on here… I ain’t just statin’ #facts.,negative
"I ain’t tryna leave, but if I stay here I’ma end up sayin somethin I’ma regret, smh. #TTBO",negative
"@187Blaze, see the way my bank account set up, I got a checkin’ and a savin’s, but all my money in my savin’s...",neutral
"@urnawtynurse I know, bestie. It don’t feel the same, but @vetajo here wit me and we havin these lemon drops.",positive
"@StefaunsWife: @x_SayMYnamee You ain't have to leave me an' run off to the city. I know, but I wanna come home so bad!",negative
@FuckinSamson I ain’t in church... I’m bored.. he s’posed to be my church buddy today..... :(,negative
Why one of my followers gon’ say they comin’ over and then don’t even show up? I coulda been doin’ somethin’ else. What the hell!,negative
"@_GardenOfWeeden hold up, I’ma find out when I go to the store for some ginger ale… Condom mission!! ^__^",positive
That’s why I’m so bored. Where Raven been at all day?,negative
"@HDDProduction Lol, my bad... You stronger than me, ’cause I woulda been cryin’. I’m weak.",positive
Mornin’! I’m back up under my covers after takin’ care of my mornin’ hygiene and whatnot! :-),positive
How you get mad just ’cause you don’t like my tone? That’s makin’ me mad fr! Ugh.,negative
"I’m finna let Yona hack my page, but I don’t even know my password if she log out!",neutral
I already know I’ma get my 5th and 3rd period switched. I ain’t takin that class.,negative
". And oh yeah. Ha, is them box braids not even finished or whatever they s’posed to be called?",neutral
"One my followers be like, “I can dress and twerk real good.” Girl, yo old ratchet self can’t even twerk. Girl, gone and sit down.",negative
I’m so glad I don’t take Mr. Blackwood class no more. You gotta sneak just to try pull your phone out in there! I couldn’t deal.,negative
Who dis on my timeline wit a egg as they avatar? They tweets must ain’t hatched yet.,negative
"@My_D_3OOk, lol, where you see my baby picture at? I been givin’ them girls that stank look since I was little. ;))",positive
"Trojan BareSkin condom. I can’t wait to try it. <<<<< But that commercial tho, got me weak.",positive
"…She done been wit too many dudes, she even got a song made bout her. Nasty ass woman, go sit down.",negative
These women be talkin’ too much. Good thing I ain’t no fool. These women be coughin’ too much. (In Gotti’s voice),negative
"Had to switch it from ""Freshmen"" cuz not all the freshmen be on Instagram—some of ’em is, though. Lol!",neutral
"I gotta say, I had a good time at the bowling alley wit my boys.",positive
"Ha, I’m still thinkin’ ‘bout that mess from last night. Ha, dude tried to run over Kelcey and he just stood there, ain’t even try to move.",negative
I wish that woman would try say somethin’ to me. I’ma put her on blast. She so nasty. Twitter finna be lit after this!,negative
"Lol, I know they be mad seein’ me pop up on they timeline. Oh well! ;))",positive
"Jus’ ’cause they say they gon’ support you don’t mean they love you, man. #Boosie",negative
"Yeah, I know, and believe it or not, even now, I still got your back, even though we be on and off. But I’m still gon’ stick by you.",positive
"LOL. Smh, girl. Mama, I be in my own lil world. Tellin’ me I needa leave, and that same night I get a text like, “Good night, I miss you since you left me.” ;)",negative
"Bitch, please, they gotta be on somethin’ or sum. Chile, poof, be gone.",negative
"Hahaha mane, you already know that’s my song! You stay lurkin’. ;)",positive
"Hahaha, oh wow, I’m done! I ain’t tryna get in no trouble—Darien just popped up outta nowhere.",neutral
"Say my name, boy. Let me know I’m runnin’ this. We grown, so we can show how we feel.",neutral
"Naw, what the hell, I just realized that boy got his thang out in his profile pic. Whew, that’s nasty.",negative
"But if anybody s’posed to be called “Lit Musty,” it’s Jamal, ’cause he really be musty. And when I tell him, he just be like he came from P.E.",negative
"""@THUGLife_Bihh: - This pickle hittin fr! (You only did that cuz you seen me tweet bout a ugly one!)""",negative
"@meshaloveable, Uh-huh, I did text you back. Lemme go head an’ send it again then!",neutral
"@meshaloveable, When I had that phone, mine usedta do the same thing. You gotta take the battery out and put it back in.",neutral
And Ima just leave it at that. Lol. But I’m waitin on Darien to get out the shower.,neutral
"Lmao, chill out. We can’t let Twitter find out what we be talkin’ about. What happen in second period stay in second period!",neutral
"LOL, them girls waitin’ on that income tax; they know that’s the only way they gon’ get some new shoes and school clothes. Haha, smh.",neutral
"I wonder, my baby get any texts from me? Blew her phone up just like she did mine!",negative
"I just got off the phone wit Darien. Well, now I’m textin him!",positive
"@YUNGB672, Mhya say she gon’ FaceTime you back when her screen come on.",neutral
"LOL, what you sayin', Matt? When the last time we ____? Umm, let me think. LOL, you stay bein’ nosy!",positive
@YounqePeach: I don’t fool wit no two-faced women (couldn’t have said it no better myself),negative
"Long as my man love me, I don’t care ’bout these haters.",positive
That talk wit Ricka was real needed; feel like I got a lot off my chest.,positive
"Mane, Nasia so ugly, she done messed up my Instagram wit that ugly pic! Haha. #ImAG I say what I want ;) #IonGotNoWorries",negative
"Errybody goin’ to D.C. My brother Darius might be goin’ on Saturday. Smh, this ain’t cool, man. I hope he ain’t gotta go.",negative
"Yeah, we got them .30s and them Glocks, yeah, we keep ’em on us. We expose them fake dudes.",negative
"Here go my number so you can call me, and don’t forget my name Charlie.",neutral
"Fredo in the back, and you really gotta watch out—he got hundred-round drums and he finna mess you up.",negative
"Just playin’, forget all that Josh—I’ma talk to my girl, so Daja, take care of yo’self.",neutral
I’m young an’ livin’ reckless; I’m ridin’ wit’ a Glock 40.,negative
"Look like you ain’t give the actual tweet, just the tweet ID and timestamp. Go ‘head and drop the real tweet so I can switch it from AAE to SAE for you.",negative
"If they don’t keep my baby out this studio tryna rap, I know somebody out here makin’ a whole fool outta him. They needa stop leadin’ Doc on.",negative
"@2DesireNeicey Lol, true, but I’on even know if I gotta take a drug test for my job or not -_-",neutral
"@2DesireNeicey Why I gotta lie? Plus, I can see if my mama can get you in.",negative
"You a coward. Ms. Wells already told me you snitched, and I walked home wit my friend. You real coward for that, and now my friend in trouble cuz of you. @DJMIR_MACK",negative
"If it look like a duck, quack like a duck, an’ walk like a duck, then it’s prolly somebody actin’ like a duck. Lol.",neutral
"@SouthernMoor Lol, I already knew this—even though it’s UGA all day, y’all still a SEC powerhouse.",positive
"@ayoNico That ain’t even that bad. I know it been way harder criminals who done cried after they got sentenced, lol.",neutral
"@calmdOwnKD lol, money and who he be around done messed up how he see things. He tryna get back, but it just ain’t the same.",negative
"@devonthedude_ Appreciate it, fam, that’s all I ever wanted, lol. All that extra hatin’ ain’t even necessary.",positive
"Casey Anthony got off but still owe her lawyer $500,000 and got $200,000 in back taxes. Damn.",negative
I’on think these folks know what “having money” really mean. You ain’t got money if you goin’ broke every week—that just mean that’s some lil pocket change.,negative
I got you if you got me; I’d ride or die for you if you’d ride or die for me!,positive
"@VH1PNUT: You got a man, but you on Instagram in ya drawers. He real lucky to have a good woman.",negative
These folks so fake. I’m tryna figure out why it took Guivens dyin’ for him to get all them likes on his pictures. #YallSoFake,negative
I get along wit everybody and care bout everybody til you give me a reason not to.,positive
"Ion really care bout you if I don’t talk to you every day, I’m just sayin.",negative
"She might look real good, but if she ain’t got no personality, I ain’t interested.",negative
That’s why I can count my real friends on my fingers. #PeopleFoldUnderPressure,negative
"It’s hot as hell up in this house, but it feel good outside. Good mornin’!",positive
"Folks callin’ me at 4 in the mornin’ talkin’ ‘bout “what you doin’”—like, what you think I’m doin’? Writin’ books or somethin’?!",negative
What this dude talkin’ bout? I’m ’bout to start not likin’ him! Go to sleep—it’s past yo’ bedtime anyway.,negative
"You might be at the top to them, but to me, you still a whole nobody. #GetYoWeightUp",negative
"@NiecyNevaBasic They ain’t even come back last night... smh. I’m just now wakin’ up... on some real lazy ish. Lol. What’s the move, girl? <3",neutral
Hair and nails the move... see y’all in a few hours. #PDBnMISS YOU @NiecyNevaBasic ... I’m mad the vacation over! lol,positive
"@xxxkakey girl, yo tongue... lawd have mercy. I ain’t never thought I’d wanna mess with a woman, but you can most def get it... five inches of fun!",positive
"@Domodaloudest86 Mornin’, cuz! Why the school closed too? Had to call Tamika.",neutral
"@RebelToUhmerica Aight, that’s wassup. Keep doin ya thing. Lemme know if you got somethin new. I’m a fan.",positive
I gotta chill cuz the same dude I’m worried about ain’t even thinkin’ ’bout me.,negative
"@ChevyRunDeep Oh, aight. I was tryna see your bus card if you was at the crib...",neutral
"I can't believe I just got back to Naples at 5 a.m. and I already been at work for 40 minutes... smh, this wild.",neutral
"I gotta take these twists out my hair tonight after work, and I ain’t lookin forward to it!",negative
"Mane, I’m mad hungry, and I just remembered I still got half my burger from Friday’s last night! #winning",positive
That burger really hit the spot... Ion even know why I ain’t sleep yet though.,positive
So I had a dream that made me come fr real... wildest thing that ever happened to me.,positive
I hope I don’t ever have another dream that make me come for real—that mess had me shook.,negative
"I woke up right in the middle of it and went right back to sleep like it ain’t even happen, smh.",negative
This girl at my job so pressed to hook me up…I don’t even know why…but now I got a date with the dude she tryna set me up with.,positive
"Man, I’m so frustrated... I hate when somebody mad at me and don’t even say nothin’ about it.",negative
These folks ’bout to not get no tip! I’m already annoyed and I just got here five minutes ago.,negative
I gotta do laundry either tonight or tomorrow before work so I’m ready for Lauderdale on Thursday.,neutral
"@VJ_954 Damn...that really caught me off guard, lol. But I think he Haitian anyway, given that name.",neutral
@MissMurda954 hahaha I wasn’t finna do that! Ion even know how you did that wit that dry ass powder!,neutral
"I can’t stand when somebody who ain’t got no business delegatin’ try to give me tasks… so, uh, I ain’t doin’ nothin’ she told me to do!",negative
"What make it worse is he keep blowin’ up my phone, talkin’ ‘bout he sorry and beggin’ me not to do this.",negative
I been up since 9 and ain’t ate nothin’. Got a real bad hunger headache!,negative
I ain’t had a Publix sub in forever! Think that’s gon’ be my birthday lunch!,positive
I'm finna go get me a bottle of wine and call it a day.,neutral
"I’m real satisfied wit life right now. Only thing I’m missin is these two degrees, then I’ma be all set.",positive
"Don’t be askin’ me if I can do somethin’, and don’t be askin’ if you can do somethin’—none of that!",negative
"Shakin my head @DopeitsDiana @TweetMeOnTheLo: Ray Allen in the Super Bowl. I hope he get a ring before he retire. Me too, girl, he ’bout to get the Heisman.",positive
"My boo gon’ be here soon...once again I ain’t feelin’ like leavin’ the house, so no beach tonight.",neutral
My mama tried to buy me that nasty milk for folks who can’t do lactose...I just looked at her like she lost her mind.,negative
"Ugh, I can't wait to see my baby. I'm finna give him the biggest hug and kiss!",positive
I’m really doin good keepin quiet ’cause there’s so much I could say right now.,positive
"There’s so much I wanna say to him and hear from him, but I can’t even go there!",negative
"If the Falcons and Patriots make it to the Super Bowl, me and my mama gon’ be ENEMIES!",negative
"I ain’t never laughed as hard as I did today, thanks to them and my brother!",positive
"He just gotta give me that look. When he give me that look, then the panties comin’ off!",positive
You got me feelin’ like you comparin’ me to them no-good women you used to mess with!,negative
"Watch—one day I’ma just leave and go somewhere, ain’t gon’ tell him nothin’.",negative
"If you can’t even tell me how you really feel bout me, then you really ain’t got no business messin wit me. Period!",negative
"It’s funny how I keep tryna leave this relationship, but you always find a way to pull me back… Guess you just can’t get enough of me.",neutral
"@MsTerryMcMillan Hey, don’t stop doin’ what God blessed you to do; just keep pushin’ forward.",positive
"I almost ain’t make it to see a new year. On New Year’s Eve, God blessed me to come outta that terrible situation alive. Whew... thank you, Lord!",positive
"@DaRealTreEz the realest person I ever met in my life. Since we was kids, bruh always kept it 100 wit me. That’s my brother for life.",positive
I like makin’ folks read between the lines so everybody else get lost tryna find they way.,positive
"If you usin’ a toy, y’all might as well just let a real dude hit, I’m weak as hell.",negative
The folks who be drinkin’ all the time now gon’ be the ones buyin’ that cheap vodka so they can have more.,negative
I hate when my sister be tryna talk to me like I’m one of her friends.,negative
"My sister asked me, ""How it feel goin’ through high school knowin’ somebody hate you?"" Honestly, it’s like, I ain’t even tryna please folks—forget them, fr.",negative
They say just ’cause you single don’t mean you available. But what about how not everybody in a relationship in love?,neutral
"I always see somebody noddin they head at the gas station bumpin @TheRealYoungKT’s ""Make It Say.""",positive
"""@Kris_witdatlean: @BrouwnSkinn, look like you was chewin’ on a Lemonhead in yo profile pic. Lol, that’s funny.""",positive
"My lil sis said she hate how folks be usin’ “ratchet” wrong too, lol.",neutral
"""@Delonte_fresh: Jordan droppin’ the originals next month. Ion like it, but whatever, I’ma still cop ’em ’cause you a sneakerhead, right?""",neutral
"It ain’t gon make your hair grow or fix your eye, so put that out!",negative
"Feel like I’m just too close to love you, so I’ma go head and dip.",negative
It took Naynay five whole hours to get out the shower! #Signed; Boosta,negative
I’on even know what I’d do if I lost @DESHALOVELYNESM’s friendship! #SheAGoodOne!,positive
I ain’t just tryna survive no more. I know life a prize; just ‘cause you livin’ don’t mean you really alive!,negative
Boutta take this walk to the rec center where the white folks be at. Just thinkin!,neutral
I be gettin’ less sleep on break than when I’m at school. Don’t even make sense how I’m workin’ harder now than when classes in. What the hell.,negative
Up and ain’t got nothin’ to do… And my body really ain’t tryna let me go back to sleep.,negative
"I’m a ride-or-die Patriots losin’ cheerleader. I don’t want them to win at all. So, good luck Ravens. #wantpatriotstolose",negative
Lemme see if the Ravens gon’ take advantage of this drive. I wanna see some points on the board. #panthersfan,neutral
@FuckYoTweetzTho: Folks be standin’ in line for hours for some Jordans but can’t even spend a hour wit they kid.,negative
@Bella22Vita: !!!! @caramel_brulee: So me and @Bella22Vita ’bout to go on this cruise... time to make some more friends!!,positive
"I been wit my man for four years, and I still feel the same ’bout him as I did from day one. :)",positive
"@x0stephybaybee lol. One tryna save you, and the other tryna recruit you... ;-)",neutral
"@Am_18_Januar lol I know, but maybe if you gave me a hug I woulda got happy. You know I’m happy to see you, I just seen you at the wrong time though.",positive
"I don't wanna lose your love, I don't wanna say goodbye, real love hard to find.",negative
"@Prettyst_By_Far grrrr fuck California lol just playin, I ain’t goin to California, and was my sex good when we did it?",neutral
"@DaRealist_Redd So you gon actually say somethin, or we just gon keep doin this over and over?",negative
